CE13	MARKETVIEW_20050204.1322-CE1
CE2	MARKETVIEW_20050204.1322-CE2
CE3	MARKETVIEW_20050204.1322-CE3
CE1	MARKETVIEW_20050204.1322-CE4
CE4	MARKETVIEW_20050204.1322-CE5
CE5	MARKETVIEW_20050204.1322-CE6
CE6	MARKETVIEW_20050204.1322-CE7
CE7	MARKETVIEW_20050204.1322-CE8
CE8	MARKETVIEW_20050204.1322-CE9
CE9	MARKETVIEW_20050204.1322-CE10
CE10	MARKETVIEW_20050204.1322-CE11
CE11	MARKETVIEW_20050204.1322-CE12
CE12	MARKETVIEW_20050204.1322-CE13
E14	MARKETVIEW_20050204.1322-E1
E16	MARKETVIEW_20050204.1322-E2
E20	MARKETVIEW_20050204.1322-E3
E2	MARKETVIEW_20050204.1322-E4
E3	MARKETVIEW_20050204.1322-E5
E5	MARKETVIEW_20050204.1322-E6
E6	MARKETVIEW_20050204.1322-E7
E7	MARKETVIEW_20050204.1322-E8
E8	MARKETVIEW_20050204.1322-E9
E9	MARKETVIEW_20050204.1322-E10
E18	MARKETVIEW_20050204.1322-E11
E11	MARKETVIEW_20050204.1322-E12
E12	MARKETVIEW_20050204.1322-E13
E13	MARKETVIEW_20050204.1322-E14
EM1	MARKETVIEW_20050204.1322-E11-1
EM18	MARKETVIEW_20050204.1322-E1-2
EM11	MARKETVIEW_20050204.1322-E2-3
EM2	MARKETVIEW_20050204.1322-E5-4
EM4	MARKETVIEW_20050204.1322-E6-5
EM5	MARKETVIEW_20050204.1322-E7-6
EM6	MARKETVIEW_20050204.1322-E4-7
EM7	MARKETVIEW_20050204.1322-E8-8
EM8	MARKETVIEW_20050204.1322-E9-9
EM9	MARKETVIEW_20050204.1322-E8-10
EM10	MARKETVIEW_20050204.1322-E10-11
EM3	MARKETVIEW_20050204.1322-E3-12
EM12	MARKETVIEW_20050204.1322-E7-13
EM13	MARKETVIEW_20050204.1322-E4-14
EM14	MARKETVIEW_20050204.1322-E4-15
EM15	MARKETVIEW_20050204.1322-E12-16
EM16	MARKETVIEW_20050204.1322-E13-17
EM17	MARKETVIEW_20050204.1322-E14-18
R3	MARKETVIEW_20050204.1322-R1
R4	MARKETVIEW_20050204.1322-R2
R5	MARKETVIEW_20050204.1322-R3
R1	MARKETVIEW_20050204.1322-R4
R2	MARKETVIEW_20050204.1322-R5
RM3	MARKETVIEW_20050204.1322-R1-1
RM4	MARKETVIEW_20050204.1322-R2-1
RM5	MARKETVIEW_20050204.1322-R3-1
RM1	MARKETVIEW_20050204.1322-R4-1
RM2	MARKETVIEW_20050204.1322-R3-2
Q1	MARKETVIEW_20050204.1322-T1
Q2	MARKETVIEW_20050204.1322-T2
Q3	MARKETVIEW_20050204.1322-T3
Q4	MARKETVIEW_20050204.1322-T4
Q5	MARKETVIEW_20050204.1322-V1
Q7	MARKETVIEW_20050204.1322-T5
Q8	MARKETVIEW_20050204.1322-T6
Q9	MARKETVIEW_20050204.1322-T7
Q6	MARKETVIEW_20050204.1322-T8
QM5	MARKETVIEW_20050204.1322-V1-1
