CE1	CNNHL_ENG_20030604_230238.5-CE1
CE9	CNNHL_ENG_20030604_230238.5-CE2
CE10	CNNHL_ENG_20030604_230238.5-CE3
CE11	CNNHL_ENG_20030604_230238.5-CE4
CE12	CNNHL_ENG_20030604_230238.5-CE5
CE2	CNNHL_ENG_20030604_230238.5-CE6
CE3	CNNHL_ENG_20030604_230238.5-CE7
CE4	CNNHL_ENG_20030604_230238.5-CE8
CE5	CNNHL_ENG_20030604_230238.5-CE9
CE6	CNNHL_ENG_20030604_230238.5-CE10
CE7	CNNHL_ENG_20030604_230238.5-CE11
CE8	CNNHL_ENG_20030604_230238.5-CE12
E12	CNNHL_ENG_20030604_230238.5-E1
E13	CNNHL_ENG_20030604_230238.5-E2
E14	CNNHL_ENG_20030604_230238.5-E3
E15	CNNHL_ENG_20030604_230238.5-E4
E16	CNNHL_ENG_20030604_230238.5-E5
E17	CNNHL_ENG_20030604_230238.5-E6
E1	CNNHL_ENG_20030604_230238.5-E7
E19	CNNHL_ENG_20030604_230238.5-E8
E21	CNNHL_ENG_20030604_230238.5-E9
E2	CNNHL_ENG_20030604_230238.5-E10
E3	CNNHL_ENG_20030604_230238.5-E11
E4	CNNHL_ENG_20030604_230238.5-E12
E5	CNNHL_ENG_20030604_230238.5-E13
E6	CNNHL_ENG_20030604_230238.5-E14
E7	CNNHL_ENG_20030604_230238.5-E15
E8	CNNHL_ENG_20030604_230238.5-E16
E9	CNNHL_ENG_20030604_230238.5-E17
E10	CNNHL_ENG_20030604_230238.5-E18
EM1	CNNHL_ENG_20030604_230238.5-E7-1
EM23	CNNHL_ENG_20030604_230238.5-E2-2
EM24	CNNHL_ENG_20030604_230238.5-E12-3
EM25	CNNHL_ENG_20030604_230238.5-E12-4
EM26	CNNHL_ENG_20030604_230238.5-E3-5
EM27	CNNHL_ENG_20030604_230238.5-E5-6
EM28	CNNHL_ENG_20030604_230238.5-E4-7
EM29	CNNHL_ENG_20030604_230238.5-E6-8
EM30	CNNHL_ENG_20030604_230238.5-E12-9
EM31	CNNHL_ENG_20030604_230238.5-E12-10
EM32	CNNHL_ENG_20030604_230238.5-E8-11
EM8	CNNHL_ENG_20030604_230238.5-E9-12
EM2	CNNHL_ENG_20030604_230238.5-E10-13
EM3	CNNHL_ENG_20030604_230238.5-E11-14
EM4	CNNHL_ENG_20030604_230238.5-E12-15
EM5	CNNHL_ENG_20030604_230238.5-E13-16
EM6	CNNHL_ENG_20030604_230238.5-E14-17
EM7	CNNHL_ENG_20030604_230238.5-E12-18
EM9	CNNHL_ENG_20030604_230238.5-E12-19
EM10	CNNHL_ENG_20030604_230238.5-E12-20
EM11	CNNHL_ENG_20030604_230238.5-E12-21
EM12	CNNHL_ENG_20030604_230238.5-E15-22
EM13	CNNHL_ENG_20030604_230238.5-E16-23
EM14	CNNHL_ENG_20030604_230238.5-E14-24
EM15	CNNHL_ENG_20030604_230238.5-E12-25
EM16	CNNHL_ENG_20030604_230238.5-E12-26
EM17	CNNHL_ENG_20030604_230238.5-E14-27
EM18	CNNHL_ENG_20030604_230238.5-E12-28
EM19	CNNHL_ENG_20030604_230238.5-E17-29
EM20	CNNHL_ENG_20030604_230238.5-E18-30
EM21	CNNHL_ENG_20030604_230238.5-E12-31
EM22	CNNHL_ENG_20030604_230238.5-E1-32
R1	CNNHL_ENG_20030604_230238.5-R1
R2	CNNHL_ENG_20030604_230238.5-R2
R3	CNNHL_ENG_20030604_230238.5-R3
R4	CNNHL_ENG_20030604_230238.5-R4
R5	CNNHL_ENG_20030604_230238.5-R5
R6	CNNHL_ENG_20030604_230238.5-R6
R1	CNNHL_ENG_20030604_230238.5-R7
R7	CNNHL_ENG_20030604_230238.5-R8
RM1	CNNHL_ENG_20030604_230238.5-R1-1
RM2	CNNHL_ENG_20030604_230238.5-R2-1
RM3	CNNHL_ENG_20030604_230238.5-R7-1
RM4	CNNHL_ENG_20030604_230238.5-R3-1
RM5	CNNHL_ENG_20030604_230238.5-R4-1
RM6	CNNHL_ENG_20030604_230238.5-R5-1
RM7	CNNHL_ENG_20030604_230238.5-R6-1
RM8	CNNHL_ENG_20030604_230238.5-R8-1
V1	CNNHL_ENG_20030604_230238.5-EV1
V2	CNNHL_ENG_20030604_230238.5-EV2
V3	CNNHL_ENG_20030604_230238.5-EV3
V4	CNNHL_ENG_20030604_230238.5-EV4
V5	CNNHL_ENG_20030604_230238.5-EV5
V6	CNNHL_ENG_20030604_230238.5-EV6
VM1	CNNHL_ENG_20030604_230238.5-EV1-1
VM2	CNNHL_ENG_20030604_230238.5-EV1-2
VM3	CNNHL_ENG_20030604_230238.5-EV2-1
VM4	CNNHL_ENG_20030604_230238.5-EV1-3
VM5	CNNHL_ENG_20030604_230238.5-EV2-2
VM6	CNNHL_ENG_20030604_230238.5-EV2-3
VM7	CNNHL_ENG_20030604_230238.5-EV2-4
VM8	CNNHL_ENG_20030604_230238.5-EV2-5
VM9	CNNHL_ENG_20030604_230238.5-EV3-1
VM10	CNNHL_ENG_20030604_230238.5-EV4-1
VM11	CNNHL_ENG_20030604_230238.5-EV5-1
VM12	CNNHL_ENG_20030604_230238.5-EV6-1
Q1	CNNHL_ENG_20030604_230238.5-T1
Q2	CNNHL_ENG_20030604_230238.5-T2
Q3	CNNHL_ENG_20030604_230238.5-T3
Q4	CNNHL_ENG_20030604_230238.5-T4
Q7	CNNHL_ENG_20030604_230238.5-V1
Q8	CNNHL_ENG_20030604_230238.5-V2
Q9	CNNHL_ENG_20030604_230238.5-V3
Q10	CNNHL_ENG_20030604_230238.5-V4
Q12	CNNHL_ENG_20030604_230238.5-T5
Q13	CNNHL_ENG_20030604_230238.5-V5
Q14	CNNHL_ENG_20030604_230238.5-V6
Q16	CNNHL_ENG_20030604_230238.5-V7
Q17	CNNHL_ENG_20030604_230238.5-V8
Q5	CNNHL_ENG_20030604_230238.5-V9
Q6	CNNHL_ENG_20030604_230238.5-V10
Q11	CNNHL_ENG_20030604_230238.5-V11
Q15	CNNHL_ENG_20030604_230238.5-T6
QM7	CNNHL_ENG_20030604_230238.5-V1-1
QM8	CNNHL_ENG_20030604_230238.5-V2-1
QM9	CNNHL_ENG_20030604_230238.5-V3-1
QM10	CNNHL_ENG_20030604_230238.5-V4-1
QM13	CNNHL_ENG_20030604_230238.5-V5-1
QM14	CNNHL_ENG_20030604_230238.5-V6-1
QM16	CNNHL_ENG_20030604_230238.5-V7-1
QM17	CNNHL_ENG_20030604_230238.5-V8-1
QM5	CNNHL_ENG_20030604_230238.5-V9-1
QM6	CNNHL_ENG_20030604_230238.5-V10-1
QM11	CNNHL_ENG_20030604_230238.5-V11-1
