CE10	CNN_ENG_20030509_123601.13-CE1
CE3	CNN_ENG_20030509_123601.13-CE2
CE5	CNN_ENG_20030509_123601.13-CE3
CE4	CNN_ENG_20030509_123601.13-CE4
CE1	CNN_ENG_20030509_123601.13-CE5
CE2	CNN_ENG_20030509_123601.13-CE6
CE6	CNN_ENG_20030509_123601.13-CE7
CE11	CNN_ENG_20030509_123601.13-CE8
CE12	CNN_ENG_20030509_123601.13-CE9
CE7	CNN_ENG_20030509_123601.13-CE10
CE9	CNN_ENG_20030509_123601.13-CE11
CE8	CNN_ENG_20030509_123601.13-CE12
E23	CNN_ENG_20030509_123601.13-E1
E17	CNN_ENG_20030509_123601.13-E2
E18	CNN_ENG_20030509_123601.13-E3
E1	CNN_ENG_20030509_123601.13-E4
E19	CNN_ENG_20030509_123601.13-E5
E2	CNN_ENG_20030509_123601.13-E6
E3	CNN_ENG_20030509_123601.13-E7
E20	CNN_ENG_20030509_123601.13-E8
E21	CNN_ENG_20030509_123601.13-E9
E22	CNN_ENG_20030509_123601.13-E10
E6	CNN_ENG_20030509_123601.13-E11
E7	CNN_ENG_20030509_123601.13-E12
E8	CNN_ENG_20030509_123601.13-E13
E9	CNN_ENG_20030509_123601.13-E14
EM1	CNN_ENG_20030509_123601.13-E4-1
EM23	CNN_ENG_20030509_123601.13-E6-2
EM24	CNN_ENG_20030509_123601.13-E6-3
EM25	CNN_ENG_20030509_123601.13-E4-4
EM3	CNN_ENG_20030509_123601.13-E1-5
EM26	CNN_ENG_20030509_123601.13-E6-6
EM27	CNN_ENG_20030509_123601.13-E6-7
EM29	CNN_ENG_20030509_123601.13-E7-8
EM31	CNN_ENG_20030509_123601.13-E6-9
EM32	CNN_ENG_20030509_123601.13-E6-10
EM33	CNN_ENG_20030509_123601.13-E6-11
EM34	CNN_ENG_20030509_123601.13-E6-12
EM8	CNN_ENG_20030509_123601.13-E2-13
EM9	CNN_ENG_20030509_123601.13-E3-14
EM4	CNN_ENG_20030509_123601.13-E5-15
EM6	CNN_ENG_20030509_123601.13-E5-16
EM2	CNN_ENG_20030509_123601.13-E6-17
EM22	CNN_ENG_20030509_123601.13-E8-18
EM5	CNN_ENG_20030509_123601.13-E6-19
EM7	CNN_ENG_20030509_123601.13-E6-20
EM28	CNN_ENG_20030509_123601.13-E9-21
EM30	CNN_ENG_20030509_123601.13-E10-22
EM10	CNN_ENG_20030509_123601.13-E6-23
EM11	CNN_ENG_20030509_123601.13-E4-24
EM12	CNN_ENG_20030509_123601.13-E7-25
EM13	CNN_ENG_20030509_123601.13-E6-26
EM14	CNN_ENG_20030509_123601.13-E11-27
EM15	CNN_ENG_20030509_123601.13-E6-28
EM16	CNN_ENG_20030509_123601.13-E6-29
EM17	CNN_ENG_20030509_123601.13-E6-30
EM18	CNN_ENG_20030509_123601.13-E12-31
EM19	CNN_ENG_20030509_123601.13-E13-32
EM20	CNN_ENG_20030509_123601.13-E12-33
EM21	CNN_ENG_20030509_123601.13-E14-34
R7	CNN_ENG_20030509_123601.13-R1
R8	CNN_ENG_20030509_123601.13-R2
R2	CNN_ENG_20030509_123601.13-R3
R1	CNN_ENG_20030509_123601.13-R4
R3	CNN_ENG_20030509_123601.13-R5
R5	CNN_ENG_20030509_123601.13-R6
R4	CNN_ENG_20030509_123601.13-R7
R6	CNN_ENG_20030509_123601.13-R8
R9	CNN_ENG_20030509_123601.13-R9
RM7	CNN_ENG_20030509_123601.13-R1-1
RM8	CNN_ENG_20030509_123601.13-R2-1
RM2	CNN_ENG_20030509_123601.13-R3-1
RM1	CNN_ENG_20030509_123601.13-R4-1
RM3	CNN_ENG_20030509_123601.13-R5-1
RM5	CNN_ENG_20030509_123601.13-R6-1
RM4	CNN_ENG_20030509_123601.13-R7-1
RM6	CNN_ENG_20030509_123601.13-R8-1
RM9	CNN_ENG_20030509_123601.13-R9-1
V5	CNN_ENG_20030509_123601.13-EV1
V3	CNN_ENG_20030509_123601.13-EV2
V1	CNN_ENG_20030509_123601.13-EV3
V2	CNN_ENG_20030509_123601.13-EV4
V4	CNN_ENG_20030509_123601.13-EV5
VM5	CNN_ENG_20030509_123601.13-EV1-1
VM3	CNN_ENG_20030509_123601.13-EV2-1
VM1	CNN_ENG_20030509_123601.13-EV3-1
VM2	CNN_ENG_20030509_123601.13-EV4-1
VM4	CNN_ENG_20030509_123601.13-EV5-1
VM6	CNN_ENG_20030509_123601.13-EV5-2
Q1	CNN_ENG_20030509_123601.13-T1
Q2	CNN_ENG_20030509_123601.13-T2
Q3	CNN_ENG_20030509_123601.13-T3
Q4	CNN_ENG_20030509_123601.13-V1
Q5	CNN_ENG_20030509_123601.13-T4
Q6	CNN_ENG_20030509_123601.13-T5
Q7	CNN_ENG_20030509_123601.13-T6
QM4	CNN_ENG_20030509_123601.13-V1-1
