CE10	CNNHL_ENG_20030416_133739.9-CE1
CE11	CNNHL_ENG_20030416_133739.9-CE2
CE12	CNNHL_ENG_20030416_133739.9-CE3
CE1	CNNHL_ENG_20030416_133739.9-CE4
CE2	CNNHL_ENG_20030416_133739.9-CE5
CE3	CNNHL_ENG_20030416_133739.9-CE6
CE4	CNNHL_ENG_20030416_133739.9-CE7
CE5	CNNHL_ENG_20030416_133739.9-CE8
CE6	CNNHL_ENG_20030416_133739.9-CE9
CE7	CNNHL_ENG_20030416_133739.9-CE10
CE9	CNNHL_ENG_20030416_133739.9-CE11
CE8	CNNHL_ENG_20030416_133739.9-CE12
E12	CNNHL_ENG_20030416_133739.9-E1
E13	CNNHL_ENG_20030416_133739.9-E2
E14	CNNHL_ENG_20030416_133739.9-E3
E15	CNNHL_ENG_20030416_133739.9-E4
E16	CNNHL_ENG_20030416_133739.9-E5
E1	CNNHL_ENG_20030416_133739.9-E6
E2	CNNHL_ENG_20030416_133739.9-E7
E3	CNNHL_ENG_20030416_133739.9-E8
E4	CNNHL_ENG_20030416_133739.9-E9
E5	CNNHL_ENG_20030416_133739.9-E10
E6	CNNHL_ENG_20030416_133739.9-E11
E7	CNNHL_ENG_20030416_133739.9-E12
E10	CNNHL_ENG_20030416_133739.9-E13
E11	CNNHL_ENG_20030416_133739.9-E14
EM1	CNNHL_ENG_20030416_133739.9-E6-1
EM19	CNNHL_ENG_20030416_133739.9-E6-2
EM18	CNNHL_ENG_20030416_133739.9-E1-3
EM20	CNNHL_ENG_20030416_133739.9-E2-4
EM21	CNNHL_ENG_20030416_133739.9-E6-5
EM22	CNNHL_ENG_20030416_133739.9-E3-6
EM23	CNNHL_ENG_20030416_133739.9-E4-7
EM24	CNNHL_ENG_20030416_133739.9-E5-8
EM25	CNNHL_ENG_20030416_133739.9-E6-9
EM10	CNNHL_ENG_20030416_133739.9-E7-10
EM3	CNNHL_ENG_20030416_133739.9-E6-11
EM2	CNNHL_ENG_20030416_133739.9-E7-12
EM4	CNNHL_ENG_20030416_133739.9-E8-13
EM5	CNNHL_ENG_20030416_133739.9-E9-14
EM6	CNNHL_ENG_20030416_133739.9-E10-15
EM7	CNNHL_ENG_20030416_133739.9-E8-16
EM8	CNNHL_ENG_20030416_133739.9-E6-17
EM9	CNNHL_ENG_20030416_133739.9-E6-18
EM11	CNNHL_ENG_20030416_133739.9-E11-19
EM12	CNNHL_ENG_20030416_133739.9-E12-20
EM15	CNNHL_ENG_20030416_133739.9-E6-21
EM16	CNNHL_ENG_20030416_133739.9-E9-22
EM17	CNNHL_ENG_20030416_133739.9-E6-23
EM13	CNNHL_ENG_20030416_133739.9-E13-24
EM14	CNNHL_ENG_20030416_133739.9-E14-25
R5	CNNHL_ENG_20030416_133739.9-R1
R6	CNNHL_ENG_20030416_133739.9-R2
R8	CNNHL_ENG_20030416_133739.9-R3
R1	CNNHL_ENG_20030416_133739.9-R4
R2	CNNHL_ENG_20030416_133739.9-R5
R3	CNNHL_ENG_20030416_133739.9-R6
R4	CNNHL_ENG_20030416_133739.9-R7
R7	CNNHL_ENG_20030416_133739.9-R8
RM5	CNNHL_ENG_20030416_133739.9-R2-1
RM8	CNNHL_ENG_20030416_133739.9-R3-1
RM1	CNNHL_ENG_20030416_133739.9-R4-1
RM2	CNNHL_ENG_20030416_133739.9-R5-1
RM3	CNNHL_ENG_20030416_133739.9-R6-1
RM4	CNNHL_ENG_20030416_133739.9-R7-1
RM7	CNNHL_ENG_20030416_133739.9-R8-1
RM6	CNNHL_ENG_20030416_133739.9-R1-1
V1	CNNHL_ENG_20030416_133739.9-EV1
V2	CNNHL_ENG_20030416_133739.9-EV2
V3	CNNHL_ENG_20030416_133739.9-EV3
VM1	CNNHL_ENG_20030416_133739.9-EV1-1
VM2	CNNHL_ENG_20030416_133739.9-EV2-1
VM3	CNNHL_ENG_20030416_133739.9-EV3-1
Q2	CNNHL_ENG_20030416_133739.9-T1
Q5	CNNHL_ENG_20030416_133739.9-T2
Q1	CNNHL_ENG_20030416_133739.9-T3
Q3	CNNHL_ENG_20030416_133739.9-T4
Q4	CNNHL_ENG_20030416_133739.9-T5
Q6	CNNHL_ENG_20030416_133739.9-T6
