CE8	CNN_ENG_20030404_163526.10-CE1
CE9	CNN_ENG_20030404_163526.10-CE2
CE10	CNN_ENG_20030404_163526.10-CE3
CE2	CNN_ENG_20030404_163526.10-CE4
CE3	CNN_ENG_20030404_163526.10-CE5
CE4	CNN_ENG_20030404_163526.10-CE6
CE5	CNN_ENG_20030404_163526.10-CE7
CE1	CNN_ENG_20030404_163526.10-CE8
CE6	CNN_ENG_20030404_163526.10-CE9
CE7	CNN_ENG_20030404_163526.10-CE10
E9	CNN_ENG_20030404_163526.10-E1
E10	CNN_ENG_20030404_163526.10-E2
E11	CNN_ENG_20030404_163526.10-E3
E12	CNN_ENG_20030404_163526.10-E4
E13	CNN_ENG_20030404_163526.10-E5
E14	CNN_ENG_20030404_163526.10-E6
E19	CNN_ENG_20030404_163526.10-E7
E1	CNN_ENG_20030404_163526.10-E8
E4	CNN_ENG_20030404_163526.10-E9
E5	CNN_ENG_20030404_163526.10-E10
E17	CNN_ENG_20030404_163526.10-E11
E7	CNN_ENG_20030404_163526.10-E12
E8	CNN_ENG_20030404_163526.10-E13
EM1	CNN_ENG_20030404_163526.10-E8-1
EM22	CNN_ENG_20030404_163526.10-E3-2
EM23	CNN_ENG_20030404_163526.10-E4-3
EM24	CNN_ENG_20030404_163526.10-E1-4
EM25	CNN_ENG_20030404_163526.10-E5-5
EM26	CNN_ENG_20030404_163526.10-E1-6
EM27	CNN_ENG_20030404_163526.10-E1-7
EM28	CNN_ENG_20030404_163526.10-E6-8
EM29	CNN_ENG_20030404_163526.10-E3-9
EM30	CNN_ENG_20030404_163526.10-E10-10
EM31	CNN_ENG_20030404_163526.10-E10-11
EM32	CNN_ENG_20030404_163526.10-E8-12
EM33	CNN_ENG_20030404_163526.10-E10-13
EM34	CNN_ENG_20030404_163526.10-E9-14
EM35	CNN_ENG_20030404_163526.10-E8-15
EM7	CNN_ENG_20030404_163526.10-E11-16
EM3	CNN_ENG_20030404_163526.10-E8-17
EM4	CNN_ENG_20030404_163526.10-E9-18
EM5	CNN_ENG_20030404_163526.10-E8-19
EM6	CNN_ENG_20030404_163526.10-E10-20
EM2	CNN_ENG_20030404_163526.10-E7-21
EM8	CNN_ENG_20030404_163526.10-E8-22
EM9	CNN_ENG_20030404_163526.10-E12-23
EM10	CNN_ENG_20030404_163526.10-E12-24
EM11	CNN_ENG_20030404_163526.10-E10-25
EM12	CNN_ENG_20030404_163526.10-E8-26
EM13	CNN_ENG_20030404_163526.10-E9-27
EM14	CNN_ENG_20030404_163526.10-E8-28
EM15	CNN_ENG_20030404_163526.10-E10-29
EM16	CNN_ENG_20030404_163526.10-E10-30
EM17	CNN_ENG_20030404_163526.10-E8-31
EM18	CNN_ENG_20030404_163526.10-E8-32
EM19	CNN_ENG_20030404_163526.10-E10-33
EM20	CNN_ENG_20030404_163526.10-E13-34
EM21	CNN_ENG_20030404_163526.10-E2-35
R1	CNN_ENG_20030404_163526.10-R1
R2	CNN_ENG_20030404_163526.10-R2
R3	CNN_ENG_20030404_163526.10-R3
R4	CNN_ENG_20030404_163526.10-R4
RM1	CNN_ENG_20030404_163526.10-R1-1
RM2	CNN_ENG_20030404_163526.10-R2-1
RM3	CNN_ENG_20030404_163526.10-R3-1
RM4	CNN_ENG_20030404_163526.10-R4-1
V1	CNN_ENG_20030404_163526.10-EV1
V3	CNN_ENG_20030404_163526.10-EV2
V2	CNN_ENG_20030404_163526.10-EV3
VM1	CNN_ENG_20030404_163526.10-EV1-1
VM2	CNN_ENG_20030404_163526.10-EV1-2
VM4	CNN_ENG_20030404_163526.10-EV2-1
VM3	CNN_ENG_20030404_163526.10-EV3-1
Q1	CNN_ENG_20030404_163526.10-T1
Q2	CNN_ENG_20030404_163526.10-T2
Q6	CNN_ENG_20030404_163526.10-T3
Q3	CNN_ENG_20030404_163526.10-T4
Q4	CNN_ENG_20030404_163526.10-T5
Q5	CNN_ENG_20030404_163526.10-T6
Q7	CNN_ENG_20030404_163526.10-T7
Q8	CNN_ENG_20030404_163526.10-T8
