CE13	CNN_ENG_20030612_173004.10-CE1
CE14	CNN_ENG_20030612_173004.10-CE2
CE15	CNN_ENG_20030612_173004.10-CE3
CE16	CNN_ENG_20030612_173004.10-CE4
CE1	CNN_ENG_20030612_173004.10-CE5
CE17	CNN_ENG_20030612_173004.10-CE6
CE2	CNN_ENG_20030612_173004.10-CE7
CE3	CNN_ENG_20030612_173004.10-CE8
CE4	CNN_ENG_20030612_173004.10-CE9
CE5	CNN_ENG_20030612_173004.10-CE10
CE6	CNN_ENG_20030612_173004.10-CE11
CE7	CNN_ENG_20030612_173004.10-CE12
CE8	CNN_ENG_20030612_173004.10-CE13
CE9	CNN_ENG_20030612_173004.10-CE14
CE11	CNN_ENG_20030612_173004.10-CE15
CE10	CNN_ENG_20030612_173004.10-CE16
CE12	CNN_ENG_20030612_173004.10-CE17
E14	CNN_ENG_20030612_173004.10-E1
E18	CNN_ENG_20030612_173004.10-E2
E19	CNN_ENG_20030612_173004.10-E3
E21	CNN_ENG_20030612_173004.10-E4
E22	CNN_ENG_20030612_173004.10-E5
E23	CNN_ENG_20030612_173004.10-E6
E27	CNN_ENG_20030612_173004.10-E7
E1	CNN_ENG_20030612_173004.10-E8
E2	CNN_ENG_20030612_173004.10-E9
E3	CNN_ENG_20030612_173004.10-E10
E4	CNN_ENG_20030612_173004.10-E11
E5	CNN_ENG_20030612_173004.10-E12
E6	CNN_ENG_20030612_173004.10-E13
E7	CNN_ENG_20030612_173004.10-E14
E24	CNN_ENG_20030612_173004.10-E15
E9	CNN_ENG_20030612_173004.10-E16
E10	CNN_ENG_20030612_173004.10-E17
E12	CNN_ENG_20030612_173004.10-E18
E13	CNN_ENG_20030612_173004.10-E19
EM1	CNN_ENG_20030612_173004.10-E8-1
EM19	CNN_ENG_20030612_173004.10-E1-2
EM21	CNN_ENG_20030612_173004.10-E2-3
EM22	CNN_ENG_20030612_173004.10-E3-4
EM23	CNN_ENG_20030612_173004.10-E4-5
EM24	CNN_ENG_20030612_173004.10-E19-6
EM26	CNN_ENG_20030612_173004.10-E5-7
EM27	CNN_ENG_20030612_173004.10-E6-8
EM20	CNN_ENG_20030612_173004.10-E7-9
EM28	CNN_ENG_20030612_173004.10-E5-10
EM18	CNN_ENG_20030612_173004.10-E19-11
EM2	CNN_ENG_20030612_173004.10-E9-12
EM3	CNN_ENG_20030612_173004.10-E10-13
EM4	CNN_ENG_20030612_173004.10-E8-14
EM5	CNN_ENG_20030612_173004.10-E11-15
EM6	CNN_ENG_20030612_173004.10-E12-16
EM7	CNN_ENG_20030612_173004.10-E13-17
EM8	CNN_ENG_20030612_173004.10-E14-18
EM12	CNN_ENG_20030612_173004.10-E15-19
EM9	CNN_ENG_20030612_173004.10-E16-20
EM10	CNN_ENG_20030612_173004.10-E13-21
EM11	CNN_ENG_20030612_173004.10-E13-22
EM13	CNN_ENG_20030612_173004.10-E17-23
EM14	CNN_ENG_20030612_173004.10-E8-24
EM15	CNN_ENG_20030612_173004.10-E18-25
EM16	CNN_ENG_20030612_173004.10-E8-26
EM17	CNN_ENG_20030612_173004.10-E19-27
R1	CNN_ENG_20030612_173004.10-R1
RM1	CNN_ENG_20030612_173004.10-R1-1
V1	CNN_ENG_20030612_173004.10-EV1
V2	CNN_ENG_20030612_173004.10-EV2
V3	CNN_ENG_20030612_173004.10-EV3
V4	CNN_ENG_20030612_173004.10-EV4
V7	CNN_ENG_20030612_173004.10-EV5
V8	CNN_ENG_20030612_173004.10-EV6
V9	CNN_ENG_20030612_173004.10-EV7
V10	CNN_ENG_20030612_173004.10-EV8
V12	CNN_ENG_20030612_173004.10-EV9
V13	CNN_ENG_20030612_173004.10-EV10
V14	CNN_ENG_20030612_173004.10-EV11
V5	CNN_ENG_20030612_173004.10-EV12
V6	CNN_ENG_20030612_173004.10-EV13
V11	CNN_ENG_20030612_173004.10-EV14
VM1	CNN_ENG_20030612_173004.10-EV1-1
VM2	CNN_ENG_20030612_173004.10-EV2-1
VM3	CNN_ENG_20030612_173004.10-EV3-1
VM4	CNN_ENG_20030612_173004.10-EV4-1
VM7	CNN_ENG_20030612_173004.10-EV5-1
VM8	CNN_ENG_20030612_173004.10-EV6-1
VM9	CNN_ENG_20030612_173004.10-EV7-1
VM11	CNN_ENG_20030612_173004.10-EV8-1
VM14	CNN_ENG_20030612_173004.10-EV9-1
VM16	CNN_ENG_20030612_173004.10-EV10-1
VM17	CNN_ENG_20030612_173004.10-EV11-1
VM5	CNN_ENG_20030612_173004.10-EV12-1
VM6	CNN_ENG_20030612_173004.10-EV13-1
VM13	CNN_ENG_20030612_173004.10-EV14-1
VM15	CNN_ENG_20030612_173004.10-EV1-2
VM10	CNN_ENG_20030612_173004.10-EV7-2
VM12	CNN_ENG_20030612_173004.10-EV7-3
Q1	CNN_ENG_20030612_173004.10-T1
Q2	CNN_ENG_20030612_173004.10-T2
Q3	CNN_ENG_20030612_173004.10-T3
Q4	CNN_ENG_20030612_173004.10-T4
Q5	CNN_ENG_20030612_173004.10-T5
Q6	CNN_ENG_20030612_173004.10-T6
Q7	CNN_ENG_20030612_173004.10-T7
