CE13	AFP_ENG_20030427.0118-CE1
CE14	AFP_ENG_20030427.0118-CE2
CE15	AFP_ENG_20030427.0118-CE3
CE16	AFP_ENG_20030427.0118-CE4
CE17	AFP_ENG_20030427.0118-CE5
CE18	AFP_ENG_20030427.0118-CE6
CE19	AFP_ENG_20030427.0118-CE7
CE20	AFP_ENG_20030427.0118-CE8
CE21	AFP_ENG_20030427.0118-CE9
CE22	AFP_ENG_20030427.0118-CE10
CE23	AFP_ENG_20030427.0118-CE11
CE24	AFP_ENG_20030427.0118-CE12
CE25	AFP_ENG_20030427.0118-CE13
CE26	AFP_ENG_20030427.0118-CE14
CE27	AFP_ENG_20030427.0118-CE15
CE28	AFP_ENG_20030427.0118-CE16
CE29	AFP_ENG_20030427.0118-CE17
CE30	AFP_ENG_20030427.0118-CE18
CE1	AFP_ENG_20030427.0118-CE19
CE2	AFP_ENG_20030427.0118-CE20
CE3	AFP_ENG_20030427.0118-CE21
CE4	AFP_ENG_20030427.0118-CE22
CE5	AFP_ENG_20030427.0118-CE23
CE8	AFP_ENG_20030427.0118-CE24
CE9	AFP_ENG_20030427.0118-CE25
CE10	AFP_ENG_20030427.0118-CE26
CE11	AFP_ENG_20030427.0118-CE27
E17	AFP_ENG_20030427.0118-E1
E19	AFP_ENG_20030427.0118-E2
E20	AFP_ENG_20030427.0118-E3
E21	AFP_ENG_20030427.0118-E4
E22	AFP_ENG_20030427.0118-E5
E23	AFP_ENG_20030427.0118-E6
E24	AFP_ENG_20030427.0118-E7
E25	AFP_ENG_20030427.0118-E8
E26	AFP_ENG_20030427.0118-E9
E29	AFP_ENG_20030427.0118-E10
E30	AFP_ENG_20030427.0118-E11
E31	AFP_ENG_20030427.0118-E12
E33	AFP_ENG_20030427.0118-E13
E34	AFP_ENG_20030427.0118-E14
E35	AFP_ENG_20030427.0118-E15
E36	AFP_ENG_20030427.0118-E16
E37	AFP_ENG_20030427.0118-E17
E38	AFP_ENG_20030427.0118-E18
E39	AFP_ENG_20030427.0118-E19
E40	AFP_ENG_20030427.0118-E20
E41	AFP_ENG_20030427.0118-E21
E1	AFP_ENG_20030427.0118-E22
E42	AFP_ENG_20030427.0118-E23
E44	AFP_ENG_20030427.0118-E24
E45	AFP_ENG_20030427.0118-E25
E47	AFP_ENG_20030427.0118-E26
E48	AFP_ENG_20030427.0118-E27
E2	AFP_ENG_20030427.0118-E28
E3	AFP_ENG_20030427.0118-E29
E4	AFP_ENG_20030427.0118-E30
E5	AFP_ENG_20030427.0118-E31
E6	AFP_ENG_20030427.0118-E32
E10	AFP_ENG_20030427.0118-E33
E11	AFP_ENG_20030427.0118-E34
E12	AFP_ENG_20030427.0118-E35
E13	AFP_ENG_20030427.0118-E36
E14	AFP_ENG_20030427.0118-E37
EM1	AFP_ENG_20030427.0118-E22-1
EM18	AFP_ENG_20030427.0118-E1-2
EM19	AFP_ENG_20030427.0118-E35-3
EM20	AFP_ENG_20030427.0118-E33-4
EM21	AFP_ENG_20030427.0118-E2-5
EM22	AFP_ENG_20030427.0118-E34-6
EM23	AFP_ENG_20030427.0118-E33-7
EM24	AFP_ENG_20030427.0118-E37-8
EM25	AFP_ENG_20030427.0118-E3-9
