CE11	NYT_ENG_20030630.0079-CE1
CE12	NYT_ENG_20030630.0079-CE2
CE13	NYT_ENG_20030630.0079-CE3
CE14	NYT_ENG_20030630.0079-CE4
CE15	NYT_ENG_20030630.0079-CE5
CE16	NYT_ENG_20030630.0079-CE6
CE25	NYT_ENG_20030630.0079-CE7
CE18	NYT_ENG_20030630.0079-CE8
CE19	NYT_ENG_20030630.0079-CE9
CE26	NYT_ENG_20030630.0079-CE10
CE20	NYT_ENG_20030630.0079-CE11
CE27	NYT_ENG_20030630.0079-CE12
CE28	NYT_ENG_20030630.0079-CE13
CE24	NYT_ENG_20030630.0079-CE14
CE29	NYT_ENG_20030630.0079-CE15
CE30	NYT_ENG_20030630.0079-CE16
CE31	NYT_ENG_20030630.0079-CE17
CE32	NYT_ENG_20030630.0079-CE18
CE1	NYT_ENG_20030630.0079-CE19
CE33	NYT_ENG_20030630.0079-CE20
CE34	NYT_ENG_20030630.0079-CE21
CE35	NYT_ENG_20030630.0079-CE22
CE36	NYT_ENG_20030630.0079-CE23
CE37	NYT_ENG_20030630.0079-CE24
CE38	NYT_ENG_20030630.0079-CE25
CE40	NYT_ENG_20030630.0079-CE26
CE41	NYT_ENG_20030630.0079-CE27
CE42	NYT_ENG_20030630.0079-CE28
CE43	NYT_ENG_20030630.0079-CE29
CE44	NYT_ENG_20030630.0079-CE30
CE45	NYT_ENG_20030630.0079-CE31
CE46	NYT_ENG_20030630.0079-CE32
CE47	NYT_ENG_20030630.0079-CE33
CE48	NYT_ENG_20030630.0079-CE34
CE49	NYT_ENG_20030630.0079-CE35
CE50	NYT_ENG_20030630.0079-CE36
CE51	NYT_ENG_20030630.0079-CE37
CE52	NYT_ENG_20030630.0079-CE38
CE53	NYT_ENG_20030630.0079-CE39
CE54	NYT_ENG_20030630.0079-CE40
CE55	NYT_ENG_20030630.0079-CE41
CE56	NYT_ENG_20030630.0079-CE42
CE57	NYT_ENG_20030630.0079-CE43
CE59	NYT_ENG_20030630.0079-CE44
CE60	NYT_ENG_20030630.0079-CE45
CE61	NYT_ENG_20030630.0079-CE46
CE62	NYT_ENG_20030630.0079-CE47
CE63	NYT_ENG_20030630.0079-CE48
CE64	NYT_ENG_20030630.0079-CE49
CE65	NYT_ENG_20030630.0079-CE50
CE66	NYT_ENG_20030630.0079-CE51
CE67	NYT_ENG_20030630.0079-CE52
CE2	NYT_ENG_20030630.0079-CE53
CE69	NYT_ENG_20030630.0079-CE54
CE70	NYT_ENG_20030630.0079-CE55
CE71	NYT_ENG_20030630.0079-CE56
CE72	NYT_ENG_20030630.0079-CE57
CE3	NYT_ENG_20030630.0079-CE58
CE4	NYT_ENG_20030630.0079-CE59
CE5	NYT_ENG_20030630.0079-CE60
CE6	NYT_ENG_20030630.0079-CE61
CE7	NYT_ENG_20030630.0079-CE62
CE8	NYT_ENG_20030630.0079-CE63
CE9	NYT_ENG_20030630.0079-CE64
CE10	NYT_ENG_20030630.0079-CE65
E15	NYT_ENG_20030630.0079-E1
E16	NYT_ENG_20030630.0079-E2
E17	NYT_ENG_20030630.0079-E3
E18	NYT_ENG_20030630.0079-E4
E19	NYT_ENG_20030630.0079-E5
E20	NYT_ENG_20030630.0079-E6
E21	NYT_ENG_20030630.0079-E7
E22	NYT_ENG_20030630.0079-E8
E40	NYT_ENG_20030630.0079-E9
E41	NYT_ENG_20030630.0079-E10
E25	NYT_ENG_20030630.0079-E11
E26	NYT_ENG_20030630.0079-E12
E27	NYT_ENG_20030630.0079-E13
E42	NYT_ENG_20030630.0079-E14
E31	NYT_ENG_20030630.0079-E15
E1	NYT_ENG_20030630.0079-E16
E43	NYT_ENG_20030630.0079-E17
E38	NYT_ENG_20030630.0079-E18
E39	NYT_ENG_20030630.0079-E19
E44	NYT_ENG_20030630.0079-E20
E45	NYT_ENG_20030630.0079-E21
E46	NYT_ENG_20030630.0079-E22
E47	NYT_ENG_20030630.0079-E23
E48	NYT_ENG_20030630.0079-E24
E49	NYT_ENG_20030630.0079-E25
E51	NYT_ENG_20030630.0079-E26
E52	NYT_ENG_20030630.0079-E27
E53	NYT_ENG_20030630.0079-E28
E54	NYT_ENG_20030630.0079-E29
E55	NYT_ENG_20030630.0079-E30
E56	NYT_ENG_20030630.0079-E31
E57	NYT_ENG_20030630.0079-E32
E58	NYT_ENG_20030630.0079-E33
E59	NYT_ENG_20030630.0079-E34
E62	NYT_ENG_20030630.0079-E35
E63	NYT_ENG_20030630.0079-E36
E65	NYT_ENG_20030630.0079-E37
E66	NYT_ENG_20030630.0079-E38
E67	NYT_ENG_20030630.0079-E39
E68	NYT_ENG_20030630.0079-E40
E69	NYT_ENG_20030630.0079-E41
E70	NYT_ENG_20030630.0079-E42
E72	NYT_ENG_20030630.0079-E43
E73	NYT_ENG_20030630.0079-E44
E74	NYT_ENG_20030630.0079-E45
E75	NYT_ENG_20030630.0079-E46
E76	NYT_ENG_20030630.0079-E47
E77	NYT_ENG_20030630.0079-E48
E78	NYT_ENG_20030630.0079-E49
E79	NYT_ENG_20030630.0079-E50
E80	NYT_ENG_20030630.0079-E51
E81	NYT_ENG_20030630.0079-E52
E82	NYT_ENG_20030630.0079-E53
E83	NYT_ENG_20030630.0079-E54
E85	NYT_ENG_20030630.0079-E55
E86	NYT_ENG_20030630.0079-E56
E87	NYT_ENG_20030630.0079-E57
E88	NYT_ENG_20030630.0079-E58
E89	NYT_ENG_20030630.0079-E59
E2	NYT_ENG_20030630.0079-E60
E90	NYT_ENG_20030630.0079-E61
E91	NYT_ENG_20030630.0079-E62
E93	NYT_ENG_20030630.0079-E63
E94	NYT_ENG_20030630.0079-E64
E95	NYT_ENG_20030630.0079-E65
E96	NYT_ENG_20030630.0079-E66
E97	NYT_ENG_20030630.0079-E67
E98	NYT_ENG_20030630.0079-E68
E99	NYT_ENG_20030630.0079-E69
E100	NYT_ENG_20030630.0079-E70
E101	NYT_ENG_20030630.0079-E71
E102	NYT_ENG_20030630.0079-E72
E103	NYT_ENG_20030630.0079-E73
E105	NYT_ENG_20030630.0079-E74
E106	NYT_ENG_20030630.0079-E75
E107	NYT_ENG_20030630.0079-E76
E109	NYT_ENG_20030630.0079-E77
E110	NYT_ENG_20030630.0079-E78
E3	NYT_ENG_20030630.0079-E79
E4	NYT_ENG_20030630.0079-E80
E5	NYT_ENG_20030630.0079-E81
E6	NYT_ENG_20030630.0079-E82
E8	NYT_ENG_20030630.0079-E83
E9	NYT_ENG_20030630.0079-E84
E11	NYT_ENG_20030630.0079-E85
E12	NYT_ENG_20030630.0079-E86
E13	NYT_ENG_20030630.0079-E87
E14	NYT_ENG_20030630.0079-E88
EM1	NYT_ENG_20030630.0079-E16-1
EM20	NYT_ENG_20030630.0079-E60-2
EM21	NYT_ENG_20030630.0079-E2-3
EM22	NYT_ENG_20030630.0079-E3-4
EM23	NYT_ENG_20030630.0079-E4-5
EM24	NYT_ENG_20030630.0079-E5-6
EM25	NYT_ENG_20030630.0079-E5-7
EM26	NYT_ENG_20030630.0079-E4-8
EM27	NYT_ENG_20030630.0079-E6-9
EM28	NYT_ENG_20030630.0079-E6-10
EM29	NYT_ENG_20030630.0079-E60-11
EM30	NYT_ENG_20030630.0079-E4-12
EM31	NYT_ENG_20030630.0079-E81-13
EM32	NYT_ENG_20030630.0079-E82-14
EM33	NYT_ENG_20030630.0079-E82-15
EM34	NYT_ENG_20030630.0079-E81-16
EM35	NYT_ENG_20030630.0079-E83-17
EM67	NYT_ENG_20030630.0079-E81-18
EM37	NYT_ENG_20030630.0079-E7-19
EM68	NYT_ENG_20030630.0079-E9-20
EM39	NYT_ENG_20030630.0079-E81-21
EM40	NYT_ENG_20030630.0079-E82-22
EM41	NYT_ENG_20030630.0079-E81-23
EM42	NYT_ENG_20030630.0079-E60-24
EM43	NYT_ENG_20030630.0079-E81-25
EM44	NYT_ENG_20030630.0079-E60-26
EM45	NYT_ENG_20030630.0079-E81-27
EM46	NYT_ENG_20030630.0079-E81-28
EM48	NYT_ENG_20030630.0079-E8-29
EM69	NYT_ENG_20030630.0079-E81-30
EM51	NYT_ENG_20030630.0079-E11-31
EM54	NYT_ENG_20030630.0079-E81-32
EM55	NYT_ENG_20030630.0079-E12-33
EM47	NYT_ENG_20030630.0079-E10-34
EM57	NYT_ENG_20030630.0079-E13-35
EM58	NYT_ENG_20030630.0079-E13-36
EM70	NYT_ENG_20030630.0079-E82-37
EM71	NYT_ENG_20030630.0079-E14-38
EM62	NYT_ENG_20030630.0079-E60-39
EM72	NYT_ENG_20030630.0079-E81-40
EM59	NYT_ENG_20030630.0079-E15-41
EM73	NYT_ENG_20030630.0079-E17-42
EM63	NYT_ENG_20030630.0079-E60-43
EM74	NYT_ENG_20030630.0079-E81-44
EM75	NYT_ENG_20030630.0079-E20-45
EM36	NYT_ENG_20030630.0079-E60-46
EM38	NYT_ENG_20030630.0079-E60-47
EM56	NYT_ENG_20030630.0079-E18-48
EM49	NYT_ENG_20030630.0079-E19-49
EM50	NYT_ENG_20030630.0079-E18-50
EM76	NYT_ENG_20030630.0079-E81-51
EM77	NYT_ENG_20030630.0079-E82-52
EM78	NYT_ENG_20030630.0079-E21-53
EM79	NYT_ENG_20030630.0079-E22-54
EM80	NYT_ENG_20030630.0079-E22-55
EM81	NYT_ENG_20030630.0079-E81-56
EM82	NYT_ENG_20030630.0079-E23-57
EM83	NYT_ENG_20030630.0079-E24-58
EM84	NYT_ENG_20030630.0079-E23-59
EM85	NYT_ENG_20030630.0079-E81-60
EM86	NYT_ENG_20030630.0079-E81-61
EM87	NYT_ENG_20030630.0079-E81-62
EM88	NYT_ENG_20030630.0079-E88-63
EM89	NYT_ENG_20030630.0079-E25-64
EM91	NYT_ENG_20030630.0079-E26-65
EM92	NYT_ENG_20030630.0079-E27-66
EM93	NYT_ENG_20030630.0079-E87-67
EM94	NYT_ENG_20030630.0079-E28-68
EM95	NYT_ENG_20030630.0079-E29-69
EM96	NYT_ENG_20030630.0079-E30-70
EM97	NYT_ENG_20030630.0079-E81-71
EM98	NYT_ENG_20030630.0079-E10-72
EM99	NYT_ENG_20030630.0079-E31-73
EM100	NYT_ENG_20030630.0079-E81-74
EM101	NYT_ENG_20030630.0079-E32-75
EM102	NYT_ENG_20030630.0079-E33-76
EM103	NYT_ENG_20030630.0079-E81-77
EM104	NYT_ENG_20030630.0079-E34-78
EM105	NYT_ENG_20030630.0079-E34-79
EM106	NYT_ENG_20030630.0079-E35-80
EM107	NYT_ENG_20030630.0079-E81-81
EM108	NYT_ENG_20030630.0079-E81-82
EM2	NYT_ENG_20030630.0079-E60-83
EM109	NYT_ENG_20030630.0079-E36-84
EM110	NYT_ENG_20030630.0079-E37-85
EM111	NYT_ENG_20030630.0079-E38-86
EM112	NYT_ENG_20030630.0079-E39-87
EM113	NYT_ENG_20030630.0079-E40-88
EM114	NYT_ENG_20030630.0079-E41-89
EM115	NYT_ENG_20030630.0079-E42-90
EM117	NYT_ENG_20030630.0079-E60-91
EM61	NYT_ENG_20030630.0079-E43-92
EM64	NYT_ENG_20030630.0079-E44-93
EM116	NYT_ENG_20030630.0079-E45-94
EM118	NYT_ENG_20030630.0079-E60-95
EM119	NYT_ENG_20030630.0079-E46-96
EM120	NYT_ENG_20030630.0079-E10-97
EM121	NYT_ENG_20030630.0079-E47-98
EM122	NYT_ENG_20030630.0079-E48-99
EM123	NYT_ENG_20030630.0079-E10-100
EM124	NYT_ENG_20030630.0079-E49-101
EM125	NYT_ENG_20030630.0079-E83-102
EM126	NYT_ENG_20030630.0079-E50-103
EM127	NYT_ENG_20030630.0079-E50-104
EM128	NYT_ENG_20030630.0079-E20-105
EM129	NYT_ENG_20030630.0079-E51-106
EM130	NYT_ENG_20030630.0079-E52-107
EM131	NYT_ENG_20030630.0079-E20-108
EM132	NYT_ENG_20030630.0079-E52-109
EM133	NYT_ENG_20030630.0079-E53-110
EM134	NYT_ENG_20030630.0079-E81-111
EM135	NYT_ENG_20030630.0079-E20-112
EM136	NYT_ENG_20030630.0079-E54-113
EM137	NYT_ENG_20030630.0079-E55-114
EM138	NYT_ENG_20030630.0079-E56-115
EM139	NYT_ENG_20030630.0079-E57-116
EM140	NYT_ENG_20030630.0079-E58-117
EM141	NYT_ENG_20030630.0079-E10-118
EM142	NYT_ENG_20030630.0079-E59-119
EM143	NYT_ENG_20030630.0079-E61-120
EM144	NYT_ENG_20030630.0079-E62-121
EM146	NYT_ENG_20030630.0079-E63-122
EM147	NYT_ENG_20030630.0079-E79-123
EM148	NYT_ENG_20030630.0079-E64-124
EM149	NYT_ENG_20030630.0079-E65-125
EM150	NYT_ENG_20030630.0079-E66-126
EM151	NYT_ENG_20030630.0079-E67-127
EM152	NYT_ENG_20030630.0079-E68-128
EM153	NYT_ENG_20030630.0079-E69-129
EM154	NYT_ENG_20030630.0079-E70-130
EM155	NYT_ENG_20030630.0079-E81-131
EM156	NYT_ENG_20030630.0079-E20-132
EM157	NYT_ENG_20030630.0079-E81-133
EM158	NYT_ENG_20030630.0079-E71-134
EM159	NYT_ENG_20030630.0079-E72-135
EM160	NYT_ENG_20030630.0079-E73-136
EM161	NYT_ENG_20030630.0079-E88-137
EM162	NYT_ENG_20030630.0079-E74-138
EM163	NYT_ENG_20030630.0079-E75-139
EM164	NYT_ENG_20030630.0079-E74-140
EM165	NYT_ENG_20030630.0079-E76-141
EM166	NYT_ENG_20030630.0079-E72-142
EM167	NYT_ENG_20030630.0079-E72-143
EM168	NYT_ENG_20030630.0079-E77-144
EM169	NYT_ENG_20030630.0079-E74-145
EM170	NYT_ENG_20030630.0079-E81-146
EM171	NYT_ENG_20030630.0079-E78-147
EM3	NYT_ENG_20030630.0079-E80-148
EM4	NYT_ENG_20030630.0079-E81-149
EM5	NYT_ENG_20030630.0079-E82-150
EM52	NYT_ENG_20030630.0079-E79-151
EM7	NYT_ENG_20030630.0079-E81-152
EM53	NYT_ENG_20030630.0079-E81-153
EM9	NYT_ENG_20030630.0079-E83-154
EM10	NYT_ENG_20030630.0079-E84-155
EM11	NYT_ENG_20030630.0079-E85-156
EM12	NYT_ENG_20030630.0079-E86-157
EM13	NYT_ENG_20030630.0079-E87-158
EM65	NYT_ENG_20030630.0079-E4-159
EM66	NYT_ENG_20030630.0079-E4-160
EM16	NYT_ENG_20030630.0079-E60-161
EM17	NYT_ENG_20030630.0079-E87-162
EM18	NYT_ENG_20030630.0079-E88-163
EM19	NYT_ENG_20030630.0079-E1-164
R1	NYT_ENG_20030630.0079-R1
R2	NYT_ENG_20030630.0079-R2
R3	NYT_ENG_20030630.0079-R3
R6	NYT_ENG_20030630.0079-R4
R7	NYT_ENG_20030630.0079-R5
R8	NYT_ENG_20030630.0079-R6
R9	NYT_ENG_20030630.0079-R7
R10	NYT_ENG_20030630.0079-R8
R11	NYT_ENG_20030630.0079-R9
R12	NYT_ENG_20030630.0079-R10
R13	NYT_ENG_20030630.0079-R11
R14	NYT_ENG_20030630.0079-R12
R15	NYT_ENG_20030630.0079-R13
R16	NYT_ENG_20030630.0079-R14
R18	NYT_ENG_20030630.0079-R15
R19	NYT_ENG_20030630.0079-R16
R20	NYT_ENG_20030630.0079-R17
R21	NYT_ENG_20030630.0079-R18
R22	NYT_ENG_20030630.0079-R19
R23	NYT_ENG_20030630.0079-R20
R24	NYT_ENG_20030630.0079-R21
R25	NYT_ENG_20030630.0079-R22
R26	NYT_ENG_20030630.0079-R23
R27	NYT_ENG_20030630.0079-R24
R28	NYT_ENG_20030630.0079-R25
R30	NYT_ENG_20030630.0079-R26
R31	NYT_ENG_20030630.0079-R27
R32	NYT_ENG_20030630.0079-R28
R33	NYT_ENG_20030630.0079-R29
R34	NYT_ENG_20030630.0079-R30
R35	NYT_ENG_20030630.0079-R31
R36	NYT_ENG_20030630.0079-R32
R37	NYT_ENG_20030630.0079-R33
R38	NYT_ENG_20030630.0079-R34
R39	NYT_ENG_20030630.0079-R35
R40	NYT_ENG_20030630.0079-R36
RM1	NYT_ENG_20030630.0079-R1-1
RM2	NYT_ENG_20030630.0079-R2-1
RM3	NYT_ENG_20030630.0079-R3-1
RM6	NYT_ENG_20030630.0079-R4-1
RM7	NYT_ENG_20030630.0079-R5-1
RM8	NYT_ENG_20030630.0079-R6-1
RM9	NYT_ENG_20030630.0079-R7-1
RM10	NYT_ENG_20030630.0079-R8-1
RM11	NYT_ENG_20030630.0079-R9-1
RM12	NYT_ENG_20030630.0079-R3-2
RM13	NYT_ENG_20030630.0079-R11-1
RM14	NYT_ENG_20030630.0079-R12-1
RM15	NYT_ENG_20030630.0079-R13-1
