CE11	NYT_ENG_20030403.0008-CE1
CE13	NYT_ENG_20030403.0008-CE2
CE14	NYT_ENG_20030403.0008-CE3
CE15	NYT_ENG_20030403.0008-CE4
CE16	NYT_ENG_20030403.0008-CE5
CE17	NYT_ENG_20030403.0008-CE6
CE18	NYT_ENG_20030403.0008-CE7
CE19	NYT_ENG_20030403.0008-CE8
CE20	NYT_ENG_20030403.0008-CE9
CE21	NYT_ENG_20030403.0008-CE10
CE22	NYT_ENG_20030403.0008-CE11
CE23	NYT_ENG_20030403.0008-CE12
CE24	NYT_ENG_20030403.0008-CE13
CE25	NYT_ENG_20030403.0008-CE14
CE26	NYT_ENG_20030403.0008-CE15
CE27	NYT_ENG_20030403.0008-CE16
CE28	NYT_ENG_20030403.0008-CE17
CE29	NYT_ENG_20030403.0008-CE18
CE30	NYT_ENG_20030403.0008-CE19
CE31	NYT_ENG_20030403.0008-CE20
CE32	NYT_ENG_20030403.0008-CE21
CE33	NYT_ENG_20030403.0008-CE22
CE34	NYT_ENG_20030403.0008-CE23
CE35	NYT_ENG_20030403.0008-CE24
CE36	NYT_ENG_20030403.0008-CE25
CE1	NYT_ENG_20030403.0008-CE26
CE37	NYT_ENG_20030403.0008-CE27
CE38	NYT_ENG_20030403.0008-CE28
CE39	NYT_ENG_20030403.0008-CE29
CE40	NYT_ENG_20030403.0008-CE30
CE41	NYT_ENG_20030403.0008-CE31
CE42	NYT_ENG_20030403.0008-CE32
CE43	NYT_ENG_20030403.0008-CE33
CE44	NYT_ENG_20030403.0008-CE34
CE45	NYT_ENG_20030403.0008-CE35
CE46	NYT_ENG_20030403.0008-CE36
CE47	NYT_ENG_20030403.0008-CE37
CE48	NYT_ENG_20030403.0008-CE38
CE49	NYT_ENG_20030403.0008-CE39
CE50	NYT_ENG_20030403.0008-CE40
CE51	NYT_ENG_20030403.0008-CE41
CE52	NYT_ENG_20030403.0008-CE42
CE53	NYT_ENG_20030403.0008-CE43
CE54	NYT_ENG_20030403.0008-CE44
CE55	NYT_ENG_20030403.0008-CE45
CE56	NYT_ENG_20030403.0008-CE46
CE57	NYT_ENG_20030403.0008-CE47
CE58	NYT_ENG_20030403.0008-CE48
CE59	NYT_ENG_20030403.0008-CE49
CE60	NYT_ENG_20030403.0008-CE50
CE61	NYT_ENG_20030403.0008-CE51
CE62	NYT_ENG_20030403.0008-CE52
CE63	NYT_ENG_20030403.0008-CE53
CE64	NYT_ENG_20030403.0008-CE54
CE65	NYT_ENG_20030403.0008-CE55
CE66	NYT_ENG_20030403.0008-CE56
CE67	NYT_ENG_20030403.0008-CE57
CE68	NYT_ENG_20030403.0008-CE58
CE69	NYT_ENG_20030403.0008-CE59
CE2	NYT_ENG_20030403.0008-CE60
CE70	NYT_ENG_20030403.0008-CE61
CE71	NYT_ENG_20030403.0008-CE62
CE72	NYT_ENG_20030403.0008-CE63
CE73	NYT_ENG_20030403.0008-CE64
CE74	NYT_ENG_20030403.0008-CE65
CE75	NYT_ENG_20030403.0008-CE66
CE76	NYT_ENG_20030403.0008-CE67
CE77	NYT_ENG_20030403.0008-CE68
CE78	NYT_ENG_20030403.0008-CE69
CE79	NYT_ENG_20030403.0008-CE70
CE80	NYT_ENG_20030403.0008-CE71
CE81	NYT_ENG_20030403.0008-CE72
CE82	NYT_ENG_20030403.0008-CE73
CE83	NYT_ENG_20030403.0008-CE74
CE84	NYT_ENG_20030403.0008-CE75
CE85	NYT_ENG_20030403.0008-CE76
CE86	NYT_ENG_20030403.0008-CE77
CE87	NYT_ENG_20030403.0008-CE78
CE88	NYT_ENG_20030403.0008-CE79
CE89	NYT_ENG_20030403.0008-CE80
CE90	NYT_ENG_20030403.0008-CE81
CE91	NYT_ENG_20030403.0008-CE82
CE92	NYT_ENG_20030403.0008-CE83
CE4	NYT_ENG_20030403.0008-CE84
CE5	NYT_ENG_20030403.0008-CE85
CE6	NYT_ENG_20030403.0008-CE86
CE7	NYT_ENG_20030403.0008-CE87
CE8	NYT_ENG_20030403.0008-CE88
CE9	NYT_ENG_20030403.0008-CE89
E17	NYT_ENG_20030403.0008-E1
E18	NYT_ENG_20030403.0008-E2
E20	NYT_ENG_20030403.0008-E3
E21	NYT_ENG_20030403.0008-E4
E22	NYT_ENG_20030403.0008-E5
E23	NYT_ENG_20030403.0008-E6
E24	NYT_ENG_20030403.0008-E7
E25	NYT_ENG_20030403.0008-E8
E26	NYT_ENG_20030403.0008-E9
E27	NYT_ENG_20030403.0008-E10
E28	NYT_ENG_20030403.0008-E11
E29	NYT_ENG_20030403.0008-E12
E30	NYT_ENG_20030403.0008-E13
E32	NYT_ENG_20030403.0008-E14
E33	NYT_ENG_20030403.0008-E15
E35	NYT_ENG_20030403.0008-E16
E37	NYT_ENG_20030403.0008-E17
E38	NYT_ENG_20030403.0008-E18
E39	NYT_ENG_20030403.0008-E19
E40	NYT_ENG_20030403.0008-E20
E41	NYT_ENG_20030403.0008-E21
E1	NYT_ENG_20030403.0008-E22
E42	NYT_ENG_20030403.0008-E23
E43	NYT_ENG_20030403.0008-E24
E44	NYT_ENG_20030403.0008-E25
E45	NYT_ENG_20030403.0008-E26
E46	NYT_ENG_20030403.0008-E27
E47	NYT_ENG_20030403.0008-E28
E48	NYT_ENG_20030403.0008-E29
E49	NYT_ENG_20030403.0008-E30
E50	NYT_ENG_20030403.0008-E31
E51	NYT_ENG_20030403.0008-E32
