CE11	AFP_ENG_20030630.0271-CE1
CE12	AFP_ENG_20030630.0271-CE2
CE13	AFP_ENG_20030630.0271-CE3
CE14	AFP_ENG_20030630.0271-CE4
CE15	AFP_ENG_20030630.0271-CE5
CE16	AFP_ENG_20030630.0271-CE6
CE17	AFP_ENG_20030630.0271-CE7
CE18	AFP_ENG_20030630.0271-CE8
CE20	AFP_ENG_20030630.0271-CE9
CE21	AFP_ENG_20030630.0271-CE10
CE22	AFP_ENG_20030630.0271-CE11
CE23	AFP_ENG_20030630.0271-CE12
CE24	AFP_ENG_20030630.0271-CE13
CE26	AFP_ENG_20030630.0271-CE14
CE27	AFP_ENG_20030630.0271-CE15
CE28	AFP_ENG_20030630.0271-CE16
CE29	AFP_ENG_20030630.0271-CE17
CE30	AFP_ENG_20030630.0271-CE18
CE31	AFP_ENG_20030630.0271-CE19
CE32	AFP_ENG_20030630.0271-CE20
CE34	AFP_ENG_20030630.0271-CE21
CE35	AFP_ENG_20030630.0271-CE22
CE36	AFP_ENG_20030630.0271-CE23
CE37	AFP_ENG_20030630.0271-CE24
CE1	AFP_ENG_20030630.0271-CE25
CE38	AFP_ENG_20030630.0271-CE26
CE39	AFP_ENG_20030630.0271-CE27
CE40	AFP_ENG_20030630.0271-CE28
CE42	AFP_ENG_20030630.0271-CE29
CE43	AFP_ENG_20030630.0271-CE30
CE44	AFP_ENG_20030630.0271-CE31
CE45	AFP_ENG_20030630.0271-CE32
CE47	AFP_ENG_20030630.0271-CE33
CE48	AFP_ENG_20030630.0271-CE34
CE49	AFP_ENG_20030630.0271-CE35
CE50	AFP_ENG_20030630.0271-CE36
CE51	AFP_ENG_20030630.0271-CE37
CE52	AFP_ENG_20030630.0271-CE38
CE53	AFP_ENG_20030630.0271-CE39
CE54	AFP_ENG_20030630.0271-CE40
CE55	AFP_ENG_20030630.0271-CE41
CE56	AFP_ENG_20030630.0271-CE42
CE57	AFP_ENG_20030630.0271-CE43
CE59	AFP_ENG_20030630.0271-CE44
CE60	AFP_ENG_20030630.0271-CE45
CE61	AFP_ENG_20030630.0271-CE46
CE62	AFP_ENG_20030630.0271-CE47
CE63	AFP_ENG_20030630.0271-CE48
CE64	AFP_ENG_20030630.0271-CE49
CE65	AFP_ENG_20030630.0271-CE50
CE66	AFP_ENG_20030630.0271-CE51
CE67	AFP_ENG_20030630.0271-CE52
CE2	AFP_ENG_20030630.0271-CE53
CE68	AFP_ENG_20030630.0271-CE54
CE69	AFP_ENG_20030630.0271-CE55
CE70	AFP_ENG_20030630.0271-CE56
CE3	AFP_ENG_20030630.0271-CE57
CE71	AFP_ENG_20030630.0271-CE58
CE4	AFP_ENG_20030630.0271-CE59
CE5	AFP_ENG_20030630.0271-CE60
CE6	AFP_ENG_20030630.0271-CE61
CE7	AFP_ENG_20030630.0271-CE62
CE8	AFP_ENG_20030630.0271-CE63
