CE9	APW_ENG_20030422.0469-CE1
CE10	APW_ENG_20030422.0469-CE2
CE11	APW_ENG_20030422.0469-CE3
CE12	APW_ENG_20030422.0469-CE4
CE13	APW_ENG_20030422.0469-CE5
CE14	APW_ENG_20030422.0469-CE6
CE15	APW_ENG_20030422.0469-CE7
CE16	APW_ENG_20030422.0469-CE8
CE17	APW_ENG_20030422.0469-CE9
CE18	APW_ENG_20030422.0469-CE10
CE19	APW_ENG_20030422.0469-CE11
CE20	APW_ENG_20030422.0469-CE12
CE21	APW_ENG_20030422.0469-CE13
CE22	APW_ENG_20030422.0469-CE14
CE23	APW_ENG_20030422.0469-CE15
CE24	APW_ENG_20030422.0469-CE16
CE25	APW_ENG_20030422.0469-CE17
CE26	APW_ENG_20030422.0469-CE18
CE27	APW_ENG_20030422.0469-CE19
CE28	APW_ENG_20030422.0469-CE20
CE29	APW_ENG_20030422.0469-CE21
CE1	APW_ENG_20030422.0469-CE22
CE30	APW_ENG_20030422.0469-CE23
CE31	APW_ENG_20030422.0469-CE24
CE32	APW_ENG_20030422.0469-CE25
CE33	APW_ENG_20030422.0469-CE26
CE34	APW_ENG_20030422.0469-CE27
CE35	APW_ENG_20030422.0469-CE28
CE36	APW_ENG_20030422.0469-CE29
CE37	APW_ENG_20030422.0469-CE30
CE38	APW_ENG_20030422.0469-CE31
CE39	APW_ENG_20030422.0469-CE32
CE40	APW_ENG_20030422.0469-CE33
CE41	APW_ENG_20030422.0469-CE34
CE42	APW_ENG_20030422.0469-CE35
CE43	APW_ENG_20030422.0469-CE36
CE44	APW_ENG_20030422.0469-CE37
CE45	APW_ENG_20030422.0469-CE38
CE46	APW_ENG_20030422.0469-CE39
CE47	APW_ENG_20030422.0469-CE40
CE48	APW_ENG_20030422.0469-CE41
CE49	APW_ENG_20030422.0469-CE42
CE50	APW_ENG_20030422.0469-CE43
CE51	APW_ENG_20030422.0469-CE44
CE52	APW_ENG_20030422.0469-CE45
CE53	APW_ENG_20030422.0469-CE46
CE54	APW_ENG_20030422.0469-CE47
CE55	APW_ENG_20030422.0469-CE48
CE2	APW_ENG_20030422.0469-CE49
CE56	APW_ENG_20030422.0469-CE50
CE57	APW_ENG_20030422.0469-CE51
CE58	APW_ENG_20030422.0469-CE52
CE59	APW_ENG_20030422.0469-CE53
CE60	APW_ENG_20030422.0469-CE54
CE61	APW_ENG_20030422.0469-CE55
CE62	APW_ENG_20030422.0469-CE56
CE3	APW_ENG_20030422.0469-CE57
CE4	APW_ENG_20030422.0469-CE58
CE5	APW_ENG_20030422.0469-CE59
CE6	APW_ENG_20030422.0469-CE60
CE7	APW_ENG_20030422.0469-CE61
CE8	APW_ENG_20030422.0469-CE62
E15	APW_ENG_20030422.0469-E1
E16	APW_ENG_20030422.0469-E2
E17	APW_ENG_20030422.0469-E3
E18	APW_ENG_20030422.0469-E4
E19	APW_ENG_20030422.0469-E5
E20	APW_ENG_20030422.0469-E6
E22	APW_ENG_20030422.0469-E7
E23	APW_ENG_20030422.0469-E8
E24	APW_ENG_20030422.0469-E9
E26	APW_ENG_20030422.0469-E10
E27	APW_ENG_20030422.0469-E11
E29	APW_ENG_20030422.0469-E12
E30	APW_ENG_20030422.0469-E13
E31	APW_ENG_20030422.0469-E14
E32	APW_ENG_20030422.0469-E15
E33	APW_ENG_20030422.0469-E16
E34	APW_ENG_20030422.0469-E17
E35	APW_ENG_20030422.0469-E18
E36	APW_ENG_20030422.0469-E19
E37	APW_ENG_20030422.0469-E20
E38	APW_ENG_20030422.0469-E21
E39	APW_ENG_20030422.0469-E22
E40	APW_ENG_20030422.0469-E23
E41	APW_ENG_20030422.0469-E24
E1	APW_ENG_20030422.0469-E25
E42	APW_ENG_20030422.0469-E26
E43	APW_ENG_20030422.0469-E27
E44	APW_ENG_20030422.0469-E28
E45	APW_ENG_20030422.0469-E29
E46	APW_ENG_20030422.0469-E30
E47	APW_ENG_20030422.0469-E31
E48	APW_ENG_20030422.0469-E32
E49	APW_ENG_20030422.0469-E33
E50	APW_ENG_20030422.0469-E34
E51	APW_ENG_20030422.0469-E35
E52	APW_ENG_20030422.0469-E36
E53	APW_ENG_20030422.0469-E37
E54	APW_ENG_20030422.0469-E38
E56	APW_ENG_20030422.0469-E39
E57	APW_ENG_20030422.0469-E40
E58	APW_ENG_20030422.0469-E41
E59	APW_ENG_20030422.0469-E42
E60	APW_ENG_20030422.0469-E43
E61	APW_ENG_20030422.0469-E44
E62	APW_ENG_20030422.0469-E45
E63	APW_ENG_20030422.0469-E46
E64	APW_ENG_20030422.0469-E47
E65	APW_ENG_20030422.0469-E48
E66	APW_ENG_20030422.0469-E49
E67	APW_ENG_20030422.0469-E50
E68	APW_ENG_20030422.0469-E51
