CE6	HADOUTA_20050221.1055-CE1
CE24	HADOUTA_20050221.1055-CE2
CE25	HADOUTA_20050221.1055-CE3
CE26	HADOUTA_20050221.1055-CE4
CE9	HADOUTA_20050221.1055-CE5
CE13	HADOUTA_20050221.1055-CE6
CE14	HADOUTA_20050221.1055-CE7
CE15	HADOUTA_20050221.1055-CE8
CE8	HADOUTA_20050221.1055-CE9
CE10	HADOUTA_20050221.1055-CE10
CE3	HADOUTA_20050221.1055-CE11
CE16	HADOUTA_20050221.1055-CE12
CE17	HADOUTA_20050221.1055-CE13
CE18	HADOUTA_20050221.1055-CE14
CE19	HADOUTA_20050221.1055-CE15
CE20	HADOUTA_20050221.1055-CE16
CE21	HADOUTA_20050221.1055-CE17
CE22	HADOUTA_20050221.1055-CE18
CE1	HADOUTA_20050221.1055-CE19
CE7	HADOUTA_20050221.1055-CE20
CE4	HADOUTA_20050221.1055-CE21
CE5	HADOUTA_20050221.1055-CE22
CE2	HADOUTA_20050221.1055-CE23
CE11	HADOUTA_20050221.1055-CE24
E13	HADOUTA_20050221.1055-E1
E72	HADOUTA_20050221.1055-E2
E73	HADOUTA_20050221.1055-E3
E17	HADOUTA_20050221.1055-E4
E18	HADOUTA_20050221.1055-E5
E26	HADOUTA_20050221.1055-E6
E27	HADOUTA_20050221.1055-E7
E28	HADOUTA_20050221.1055-E8
E1	HADOUTA_20050221.1055-E9
E20	HADOUTA_20050221.1055-E10
E23	HADOUTA_20050221.1055-E11
E38	HADOUTA_20050221.1055-E12
E30	HADOUTA_20050221.1055-E13
E31	HADOUTA_20050221.1055-E14
E45	HADOUTA_20050221.1055-E15
E50	HADOUTA_20050221.1055-E16
E52	HADOUTA_20050221.1055-E17
E56	HADOUTA_20050221.1055-E18
E57	HADOUTA_20050221.1055-E19
E67	HADOUTA_20050221.1055-E20
E1	HADOUTA_20050221.1055-E21
E68	HADOUTA_20050221.1055-E22
E69	HADOUTA_20050221.1055-E23
E3	HADOUTA_20050221.1055-E24
E6	HADOUTA_20050221.1055-E25
E71	HADOUTA_20050221.1055-E26
E8	HADOUTA_20050221.1055-E27
E25	HADOUTA_20050221.1055-E28
EM1	HADOUTA_20050221.1055-E9-1
EM81	HADOUTA_20050221.1055-E9-2
EM9	HADOUTA_20050221.1055-E25-3
EM10	HADOUTA_20050221.1055-E1-4
EM159	HADOUTA_20050221.1055-E2-5
EM13	HADOUTA_20050221.1055-E25-6
EM14	HADOUTA_20050221.1055-E25-7
EM15	HADOUTA_20050221.1055-E1-8
EM84	HADOUTA_20050221.1055-E25-9
EM16	HADOUTA_20050221.1055-E1-10
EM19	HADOUTA_20050221.1055-E1-11
EM160	HADOUTA_20050221.1055-E3-12
EM20	HADOUTA_20050221.1055-E25-13
EM85	HADOUTA_20050221.1055-E9-14
EM21	HADOUTA_20050221.1055-E1-15
EM22	HADOUTA_20050221.1055-E25-16
EM23	HADOUTA_20050221.1055-E9-17
EM24	HADOUTA_20050221.1055-E9-18
EM25	HADOUTA_20050221.1055-E24-19
EM26	HADOUTA_20050221.1055-E9-20
EM28	HADOUTA_20050221.1055-E21-21
EM29	HADOUTA_20050221.1055-E4-22
EM30	HADOUTA_20050221.1055-E9-23
EM31	HADOUTA_20050221.1055-E21-24
EM32	HADOUTA_20050221.1055-E5-25
EM33	HADOUTA_20050221.1055-E21-26
EM34	HADOUTA_20050221.1055-E9-27
EM35	HADOUTA_20050221.1055-E25-28
EM36	HADOUTA_20050221.1055-E21-29
EM37	HADOUTA_20050221.1055-E9-30
EM38	HADOUTA_20050221.1055-E25-31
EM39	HADOUTA_20050221.1055-E9-32
EM40	HADOUTA_20050221.1055-E9-33
EM87	HADOUTA_20050221.1055-E9-34
EM88	HADOUTA_20050221.1055-E9-35
EM90	HADOUTA_20050221.1055-E9-36
EM91	HADOUTA_20050221.1055-E6-37
EM92	HADOUTA_20050221.1055-E7-38
EM93	HADOUTA_20050221.1055-E7-39
EM95	HADOUTA_20050221.1055-E8-40
EM96	HADOUTA_20050221.1055-E6-41
EM98	HADOUTA_20050221.1055-E9-42
EM41	HADOUTA_20050221.1055-E4-43
EM97	HADOUTA_20050221.1055-E9-44
EM42	HADOUTA_20050221.1055-E9-45
EM43	HADOUTA_20050221.1055-E9-46
EM45	HADOUTA_20050221.1055-E4-47
EM46	HADOUTA_20050221.1055-E21-48
EM47	HADOUTA_20050221.1055-E9-49
EM11	HADOUTA_20050221.1055-E25-50
EM99	HADOUTA_20050221.1055-E9-51
EM73	HADOUTA_20050221.1055-E9-52
EM48	HADOUTA_20050221.1055-E10-53
EM100	HADOUTA_20050221.1055-E9-54
EM101	HADOUTA_20050221.1055-E9-55
EM50	HADOUTA_20050221.1055-E11-56
EM75	HADOUTA_20050221.1055-E12-57
EM83	HADOUTA_20050221.1055-E9-58
EM55	HADOUTA_20050221.1055-E9-59
EM56	HADOUTA_20050221.1055-E9-60
EM102	HADOUTA_20050221.1055-E9-61
EM58	HADOUTA_20050221.1055-E25-62
EM59	HADOUTA_20050221.1055-E9-63
EM60	HADOUTA_20050221.1055-E9-64
EM61	HADOUTA_20050221.1055-E9-65
EM62	HADOUTA_20050221.1055-E9-66
EM63	HADOUTA_20050221.1055-E25-67
EM64	HADOUTA_20050221.1055-E25-68
EM65	HADOUTA_20050221.1055-E1-69
EM66	HADOUTA_20050221.1055-E1-70
EM67	HADOUTA_20050221.1055-E9-71
EM69	HADOUTA_20050221.1055-E9-72
EM70	HADOUTA_20050221.1055-E9-73
EM105	HADOUTA_20050221.1055-E9-74
EM103	HADOUTA_20050221.1055-E13-75
EM104	HADOUTA_20050221.1055-E13-76
EM106	HADOUTA_20050221.1055-E9-77
EM107	HADOUTA_20050221.1055-E9-78
EM108	HADOUTA_20050221.1055-E25-79
EM110	HADOUTA_20050221.1055-E9-80
EM112	HADOUTA_20050221.1055-E9-81
EM113	HADOUTA_20050221.1055-E9-82
EM114	HADOUTA_20050221.1055-E14-83
EM115	HADOUTA_20050221.1055-E9-84
EM86	HADOUTA_20050221.1055-E9-85
EM119	HADOUTA_20050221.1055-E9-86
EM120	HADOUTA_20050221.1055-E21-87
EM121	HADOUTA_20050221.1055-E9-88
EM49	HADOUTA_20050221.1055-E21-89
EM89	HADOUTA_20050221.1055-E9-90
EM52	HADOUTA_20050221.1055-E21-91
EM53	HADOUTA_20050221.1055-E21-92
EM57	HADOUTA_20050221.1055-E21-93
EM51	HADOUTA_20050221.1055-E21-94
EM116	HADOUTA_20050221.1055-E21-95
EM117	HADOUTA_20050221.1055-E21-96
EM124	HADOUTA_20050221.1055-E21-97
EM125	HADOUTA_20050221.1055-E21-98
EM157	HADOUTA_20050221.1055-E9-99
EM131	HADOUTA_20050221.1055-E9-100
EM132	HADOUTA_20050221.1055-E25-101
EM133	HADOUTA_20050221.1055-E9-102
EM134	HADOUTA_20050221.1055-E9-103
EM135	HADOUTA_20050221.1055-E25-104
EM136	HADOUTA_20050221.1055-E25-105
EM138	HADOUTA_20050221.1055-E21-106
EM139	HADOUTA_20050221.1055-E21-107
EM140	HADOUTA_20050221.1055-E25-108
EM137	HADOUTA_20050221.1055-E24-109
EM94	HADOUTA_20050221.1055-E7-110
EM126	HADOUTA_20050221.1055-E9-111
EM127	HADOUTA_20050221.1055-E9-112
EM128	HADOUTA_20050221.1055-E9-113
EM109	HADOUTA_20050221.1055-E9-114
EM111	HADOUTA_20050221.1055-E9-115
EM122	HADOUTA_20050221.1055-E9-116
EM123	HADOUTA_20050221.1055-E15-117
EM129	HADOUTA_20050221.1055-E25-118
EM130	HADOUTA_20050221.1055-E25-119
EM141	HADOUTA_20050221.1055-E9-120
EM68	HADOUTA_20050221.1055-E9-121
EM143	HADOUTA_20050221.1055-E16-122
EM144	HADOUTA_20050221.1055-E25-123
EM145	HADOUTA_20050221.1055-E17-124
EM146	HADOUTA_20050221.1055-E17-125
EM148	HADOUTA_20050221.1055-E17-126
EM149	HADOUTA_20050221.1055-E18-127
EM150	HADOUTA_20050221.1055-E19-128
EM151	HADOUTA_20050221.1055-E17-129
EM152	HADOUTA_20050221.1055-E18-130
EM153	HADOUTA_20050221.1055-E18-131
EM154	HADOUTA_20050221.1055-E17-132
EM155	HADOUTA_20050221.1055-E17-133
EM156	HADOUTA_20050221.1055-E17-134
EM118	HADOUTA_20050221.1055-E9-135
EM147	HADOUTA_20050221.1055-E20-136
EM44	HADOUTA_20050221.1055-E21-137
EM142	HADOUTA_20050221.1055-E22-138
EM17	HADOUTA_20050221.1055-E23-139
EM71	HADOUTA_20050221.1055-E25-140
EM2	HADOUTA_20050221.1055-E24-141
EM18	HADOUTA_20050221.1055-E1-142
EM3	HADOUTA_20050221.1055-E24-143
EM27	HADOUTA_20050221.1055-E9-144
EM158	HADOUTA_20050221.1055-E26-145
EM4	HADOUTA_20050221.1055-E24-146
EM5	HADOUTA_20050221.1055-E25-147
EM54	HADOUTA_20050221.1055-E21-148
EM6	HADOUTA_20050221.1055-E24-149
EM7	HADOUTA_20050221.1055-E24-150
EM8	HADOUTA_20050221.1055-E27-151
EM72	HADOUTA_20050221.1055-E25-152
EM74	HADOUTA_20050221.1055-E25-153
EM76	HADOUTA_20050221.1055-E25-154
EM77	HADOUTA_20050221.1055-E25-155
EM78	HADOUTA_20050221.1055-E28-156
EM79	HADOUTA_20050221.1055-E9-157
EM80	HADOUTA_20050221.1055-E9-158
R5	HADOUTA_20050221.1055-R1
R1	HADOUTA_20050221.1055-R2
R2	HADOUTA_20050221.1055-R3
R3	HADOUTA_20050221.1055-R4
R4	HADOUTA_20050221.1055-R5
RM5	HADOUTA_20050221.1055-R1-1
RM1	HADOUTA_20050221.1055-R1-2
RM2	HADOUTA_20050221.1055-R3-1
RM3	HADOUTA_20050221.1055-R4-1
RM4	HADOUTA_20050221.1055-R3-2
Q2	HADOUTA_20050221.1055-T1
Q3	HADOUTA_20050221.1055-T2
Q4	HADOUTA_20050221.1055-T3
Q5	HADOUTA_20050221.1055-T4
Q1	HADOUTA_20050221.1055-T5
