CE11	DIGRESSING_20050202.0153-CE1
CE12	DIGRESSING_20050202.0153-CE2
CE13	DIGRESSING_20050202.0153-CE3
CE14	DIGRESSING_20050202.0153-CE4
CE16	DIGRESSING_20050202.0153-CE5
CE17	DIGRESSING_20050202.0153-CE6
CE15	DIGRESSING_20050202.0153-CE7
CE22	DIGRESSING_20050202.0153-CE8
CE36	DIGRESSING_20050202.0153-CE9
CE19	DIGRESSING_20050202.0153-CE10
CE20	DIGRESSING_20050202.0153-CE11
CE21	DIGRESSING_20050202.0153-CE12
CE23	DIGRESSING_20050202.0153-CE13
CE24	DIGRESSING_20050202.0153-CE14
CE25	DIGRESSING_20050202.0153-CE15
CE26	DIGRESSING_20050202.0153-CE16
CE27	DIGRESSING_20050202.0153-CE17
CE28	DIGRESSING_20050202.0153-CE18
CE1	DIGRESSING_20050202.0153-CE19
CE29	DIGRESSING_20050202.0153-CE20
CE30	DIGRESSING_20050202.0153-CE21
CE31	DIGRESSING_20050202.0153-CE22
CE32	DIGRESSING_20050202.0153-CE23
CE33	DIGRESSING_20050202.0153-CE24
CE34	DIGRESSING_20050202.0153-CE25
CE35	DIGRESSING_20050202.0153-CE26
CE37	DIGRESSING_20050202.0153-CE27
CE39	DIGRESSING_20050202.0153-CE28
CE40	DIGRESSING_20050202.0153-CE29
CE41	DIGRESSING_20050202.0153-CE30
CE42	DIGRESSING_20050202.0153-CE31
CE43	DIGRESSING_20050202.0153-CE32
CE44	DIGRESSING_20050202.0153-CE33
CE45	DIGRESSING_20050202.0153-CE34
CE46	DIGRESSING_20050202.0153-CE35
CE49	DIGRESSING_20050202.0153-CE36
CE50	DIGRESSING_20050202.0153-CE37
CE51	DIGRESSING_20050202.0153-CE38
CE52	DIGRESSING_20050202.0153-CE39
CE18	DIGRESSING_20050202.0153-CE40
CE2	DIGRESSING_20050202.0153-CE41
CE38	DIGRESSING_20050202.0153-CE42
CE47	DIGRESSING_20050202.0153-CE43
CE48	DIGRESSING_20050202.0153-CE44
CE3	DIGRESSING_20050202.0153-CE45
CE4	DIGRESSING_20050202.0153-CE46
CE5	DIGRESSING_20050202.0153-CE47
CE6	DIGRESSING_20050202.0153-CE48
CE7	DIGRESSING_20050202.0153-CE49
CE8	DIGRESSING_20050202.0153-CE50
CE9	DIGRESSING_20050202.0153-CE51
CE10	DIGRESSING_20050202.0153-CE52
E12	DIGRESSING_20050202.0153-E1
E13	DIGRESSING_20050202.0153-E2
E14	DIGRESSING_20050202.0153-E3
E15	DIGRESSING_20050202.0153-E4
E16	DIGRESSING_20050202.0153-E5
E17	DIGRESSING_20050202.0153-E6
E18	DIGRESSING_20050202.0153-E7
E63	DIGRESSING_20050202.0153-E8
E64	DIGRESSING_20050202.0153-E9
E19	DIGRESSING_20050202.0153-E10
E20	DIGRESSING_20050202.0153-E11
E21	DIGRESSING_20050202.0153-E12
E1	DIGRESSING_20050202.0153-E13
E22	DIGRESSING_20050202.0153-E14
E23	DIGRESSING_20050202.0153-E15
E24	DIGRESSING_20050202.0153-E16
E25	DIGRESSING_20050202.0153-E17
E26	DIGRESSING_20050202.0153-E18
E27	DIGRESSING_20050202.0153-E19
E29	DIGRESSING_20050202.0153-E20
E30	DIGRESSING_20050202.0153-E21
E31	DIGRESSING_20050202.0153-E22
E32	DIGRESSING_20050202.0153-E23
E33	DIGRESSING_20050202.0153-E24
E34	DIGRESSING_20050202.0153-E25
E35	DIGRESSING_20050202.0153-E26
E36	DIGRESSING_20050202.0153-E27
E37	DIGRESSING_20050202.0153-E28
E38	DIGRESSING_20050202.0153-E29
E39	DIGRESSING_20050202.0153-E30
E41	DIGRESSING_20050202.0153-E31
E42	DIGRESSING_20050202.0153-E32
E43	DIGRESSING_20050202.0153-E33
E44	DIGRESSING_20050202.0153-E34
E45	DIGRESSING_20050202.0153-E35
E46	DIGRESSING_20050202.0153-E36
E49	DIGRESSING_20050202.0153-E37
E50	DIGRESSING_20050202.0153-E38
E51	DIGRESSING_20050202.0153-E39
E52	DIGRESSING_20050202.0153-E40
E53	DIGRESSING_20050202.0153-E41
E54	DIGRESSING_20050202.0153-E42
E56	DIGRESSING_20050202.0153-E43
E57	DIGRESSING_20050202.0153-E44
E58	DIGRESSING_20050202.0153-E45
E59	DIGRESSING_20050202.0153-E46
E60	DIGRESSING_20050202.0153-E47
E61	DIGRESSING_20050202.0153-E48
E2	DIGRESSING_20050202.0153-E49
E68	DIGRESSING_20050202.0153-E50
E69	DIGRESSING_20050202.0153-E51
E70	DIGRESSING_20050202.0153-E52
E3	DIGRESSING_20050202.0153-E53
E4	DIGRESSING_20050202.0153-E54
E5	DIGRESSING_20050202.0153-E55
E7	DIGRESSING_20050202.0153-E56
E8	DIGRESSING_20050202.0153-E57
E9	DIGRESSING_20050202.0153-E58
E10	DIGRESSING_20050202.0153-E59
E11	DIGRESSING_20050202.0153-E60
EM1	DIGRESSING_20050202.0153-E13-1
EM19	DIGRESSING_20050202.0153-E54-2
EM148	DIGRESSING_20050202.0153-E49-3
EM20	DIGRESSING_20050202.0153-E57-4
EM21	DIGRESSING_20050202.0153-E54-5
EM24	DIGRESSING_20050202.0153-E54-6
EM23	DIGRESSING_20050202.0153-E2-7
EM22	DIGRESSING_20050202.0153-E2-8
EM25	DIGRESSING_20050202.0153-E3-9
EM26	DIGRESSING_20050202.0153-E3-10
EM27	DIGRESSING_20050202.0153-E3-11
EM28	DIGRESSING_20050202.0153-E4-12
EM30	DIGRESSING_20050202.0153-E3-13
EM31	DIGRESSING_20050202.0153-E3-14
EM32	DIGRESSING_20050202.0153-E3-15
EM33	DIGRESSING_20050202.0153-E4-16
EM34	DIGRESSING_20050202.0153-E5-17
EM35	DIGRESSING_20050202.0153-E6-18
EM69	DIGRESSING_20050202.0153-E8-19
EM36	DIGRESSING_20050202.0153-E57-20
EM29	DIGRESSING_20050202.0153-E7-21
EM119	DIGRESSING_20050202.0153-E9-22
EM121	DIGRESSING_20050202.0153-E3-23
EM188	DIGRESSING_20050202.0153-E48-24
EM122	DIGRESSING_20050202.0153-E3-25
EM39	DIGRESSING_20050202.0153-E13-26
EM38	DIGRESSING_20050202.0153-E13-27
EM41	DIGRESSING_20050202.0153-E13-28
EM42	DIGRESSING_20050202.0153-E13-29
EM43	DIGRESSING_20050202.0153-E3-30
EM44	DIGRESSING_20050202.0153-E10-31
EM45	DIGRESSING_20050202.0153-E4-32
EM46	DIGRESSING_20050202.0153-E57-33
EM47	DIGRESSING_20050202.0153-E3-34
EM48	DIGRESSING_20050202.0153-E3-35
EM49	DIGRESSING_20050202.0153-E4-36
EM50	DIGRESSING_20050202.0153-E59-37
EM51	DIGRESSING_20050202.0153-E4-38
EM52	DIGRESSING_20050202.0153-E48-39
EM180	DIGRESSING_20050202.0153-E4-40
EM53	DIGRESSING_20050202.0153-E59-41
EM54	DIGRESSING_20050202.0153-E11-42
EM55	DIGRESSING_20050202.0153-E11-43
EM56	DIGRESSING_20050202.0153-E3-44
EM57	DIGRESSING_20050202.0153-E12-45
EM58	DIGRESSING_20050202.0153-E57-46
EM59	DIGRESSING_20050202.0153-E3-47
EM60	DIGRESSING_20050202.0153-E3-48
EM62	DIGRESSING_20050202.0153-E59-49
EM61	DIGRESSING_20050202.0153-E4-50
EM63	DIGRESSING_20050202.0153-E3-51
EM64	DIGRESSING_20050202.0153-E14-52
EM65	DIGRESSING_20050202.0153-E54-53
EM66	DIGRESSING_20050202.0153-E15-54
EM67	DIGRESSING_20050202.0153-E15-55
EM68	DIGRESSING_20050202.0153-E15-56
EM70	DIGRESSING_20050202.0153-E16-57
EM71	DIGRESSING_20050202.0153-E17-58
EM72	DIGRESSING_20050202.0153-E18-59
EM73	DIGRESSING_20050202.0153-E19-60
EM74	DIGRESSING_20050202.0153-E3-61
EM75	DIGRESSING_20050202.0153-E20-62
EM76	DIGRESSING_20050202.0153-E4-63
EM77	DIGRESSING_20050202.0153-E21-64
EM78	DIGRESSING_20050202.0153-E22-65
EM79	DIGRESSING_20050202.0153-E23-66
EM80	DIGRESSING_20050202.0153-E24-67
