CE4	HADOUTA_20041215.0106-CE1
CE3	HADOUTA_20041215.0106-CE2
CE5	HADOUTA_20041215.0106-CE3
CE6	HADOUTA_20041215.0106-CE4
CE1	HADOUTA_20041215.0106-CE5
CE2	HADOUTA_20041215.0106-CE6
CE7	HADOUTA_20041215.0106-CE7
E9	HADOUTA_20041215.0106-E1
E10	HADOUTA_20041215.0106-E2
E12	HADOUTA_20041215.0106-E3
E13	HADOUTA_20041215.0106-E4
E1	HADOUTA_20041215.0106-E5
E2	HADOUTA_20041215.0106-E6
E7	HADOUTA_20041215.0106-E7
EM42	HADOUTA_20041215.0106-E7-1
EM7	HADOUTA_20041215.0106-E5-2
EM6	HADOUTA_20041215.0106-E6-3
EM4	HADOUTA_20041215.0106-E2-4
EM9	HADOUTA_20041215.0106-E1-5
EM10	HADOUTA_20041215.0106-E1-6
EM11	HADOUTA_20041215.0106-E1-7
EM8	HADOUTA_20041215.0106-E6-8
EM14	HADOUTA_20041215.0106-E5-9
EM17	HADOUTA_20041215.0106-E5-10
EM5	HADOUTA_20041215.0106-E6-11
EM16	HADOUTA_20041215.0106-E4-12
EM25	HADOUTA_20041215.0106-E2-13
EM18	HADOUTA_20041215.0106-E3-14
EM15	HADOUTA_20041215.0106-E3-15
EM22	HADOUTA_20041215.0106-E5-16
EM20	HADOUTA_20041215.0106-E5-17
EM13	HADOUTA_20041215.0106-E5-18
EM27	HADOUTA_20041215.0106-E5-19
EM2	HADOUTA_20041215.0106-E5-20
EM1	HADOUTA_20041215.0106-E5-21
EM3	HADOUTA_20041215.0106-E6-22
EM21	HADOUTA_20041215.0106-E5-23
EM34	HADOUTA_20041215.0106-E2-24
EM35	HADOUTA_20041215.0106-E5-25
EM12	HADOUTA_20041215.0106-E5-26
EM19	HADOUTA_20041215.0106-E5-27
EM23	HADOUTA_20041215.0106-E2-28
EM43	HADOUTA_20041215.0106-E5-29
EM24	HADOUTA_20041215.0106-E2-30
EM26	HADOUTA_20041215.0106-E5-31
EM28	HADOUTA_20041215.0106-E5-32
EM29	HADOUTA_20041215.0106-E5-33
EM30	HADOUTA_20041215.0106-E2-34
EM31	HADOUTA_20041215.0106-E2-35
EM32	HADOUTA_20041215.0106-E5-36
EM33	HADOUTA_20041215.0106-E2-37
EM36	HADOUTA_20041215.0106-E7-38
EM37	HADOUTA_20041215.0106-E7-39
EM38	HADOUTA_20041215.0106-E7-40
EM39	HADOUTA_20041215.0106-E7-41
EM40	HADOUTA_20041215.0106-E7-42
EM41	HADOUTA_20041215.0106-E7-43
R1	HADOUTA_20041215.0106-R1
R2	HADOUTA_20041215.0106-R2
R3	HADOUTA_20041215.0106-R3
RM1	HADOUTA_20041215.0106-R1-1
RM2	HADOUTA_20041215.0106-R2-1
RM3	HADOUTA_20041215.0106-R3-1
V1	HADOUTA_20041215.0106-EV1
VM1	HADOUTA_20041215.0106-EV1-1
Q1	HADOUTA_20041215.0106-T1
Q2	HADOUTA_20041215.0106-T2
