CE5	HADOUTA_20041226.1238-CE1
CE1	HADOUTA_20041226.1238-CE2
CE2	HADOUTA_20041226.1238-CE3
CE3	HADOUTA_20041226.1238-CE4
CE4	HADOUTA_20041226.1238-CE5
E8	HADOUTA_20041226.1238-E1
E9	HADOUTA_20041226.1238-E2
E3	HADOUTA_20041226.1238-E3
E4	HADOUTA_20041226.1238-E4
E7	HADOUTA_20041226.1238-E5
EM25	HADOUTA_20041226.1238-E1-1
EM18	HADOUTA_20041226.1238-E2-2
EM20	HADOUTA_20041226.1238-E2-3
EM21	HADOUTA_20041226.1238-E2-4
EM26	HADOUTA_20041226.1238-E2-5
EM2	HADOUTA_20041226.1238-E2-6
EM1	HADOUTA_20041226.1238-E2-7
EM4	HADOUTA_20041226.1238-E2-8
EM12	HADOUTA_20041226.1238-E2-9
EM5	HADOUTA_20041226.1238-E3-10
EM6	HADOUTA_20041226.1238-E4-11
EM7	HADOUTA_20041226.1238-E2-12
EM3	HADOUTA_20041226.1238-E3-13
EM8	HADOUTA_20041226.1238-E2-14
EM9	HADOUTA_20041226.1238-E2-15
EM23	HADOUTA_20041226.1238-E2-16
EM24	HADOUTA_20041226.1238-E2-17
EM10	HADOUTA_20041226.1238-E2-18
EM11	HADOUTA_20041226.1238-E2-19
EM13	HADOUTA_20041226.1238-E5-20
EM14	HADOUTA_20041226.1238-E2-21
EM15	HADOUTA_20041226.1238-E2-22
EM16	HADOUTA_20041226.1238-E2-23
EM17	HADOUTA_20041226.1238-E2-24
EM19	HADOUTA_20041226.1238-E2-25
EM22	HADOUTA_20041226.1238-E2-26
Q1	HADOUTA_20041226.1238-T1
Q2	HADOUTA_20041226.1238-T2
Q3	HADOUTA_20041226.1238-T3
Q4	HADOUTA_20041226.1238-T4
