CE10	MISRDIGITAL_20050126.0079-CE1
CE11	MISRDIGITAL_20050126.0079-CE2
CE12	MISRDIGITAL_20050126.0079-CE3
CE1	MISRDIGITAL_20050126.0079-CE4
CE14	MISRDIGITAL_20050126.0079-CE5
CE15	MISRDIGITAL_20050126.0079-CE6
CE4	MISRDIGITAL_20050126.0079-CE7
CE13	MISRDIGITAL_20050126.0079-CE8
CE2	MISRDIGITAL_20050126.0079-CE9
CE3	MISRDIGITAL_20050126.0079-CE10
CE5	MISRDIGITAL_20050126.0079-CE11
CE6	MISRDIGITAL_20050126.0079-CE12
CE7	MISRDIGITAL_20050126.0079-CE13
CE8	MISRDIGITAL_20050126.0079-CE14
CE9	MISRDIGITAL_20050126.0079-CE15
E8	MISRDIGITAL_20050126.0079-E1
E9	MISRDIGITAL_20050126.0079-E2
E10	MISRDIGITAL_20050126.0079-E3
E12	MISRDIGITAL_20050126.0079-E4
E13	MISRDIGITAL_20050126.0079-E5
E17	MISRDIGITAL_20050126.0079-E6
E1	MISRDIGITAL_20050126.0079-E7
E25	MISRDIGITAL_20050126.0079-E8
E2	MISRDIGITAL_20050126.0079-E9
E3	MISRDIGITAL_20050126.0079-E10
E4	MISRDIGITAL_20050126.0079-E11
E5	MISRDIGITAL_20050126.0079-E12
E6	MISRDIGITAL_20050126.0079-E13
E14	MISRDIGITAL_20050126.0079-E14
E7	MISRDIGITAL_20050126.0079-E15
EM3	MISRDIGITAL_20050126.0079-E7-1
EM29	MISRDIGITAL_20050126.0079-E11-2
EM31	MISRDIGITAL_20050126.0079-E11-3
EM32	MISRDIGITAL_20050126.0079-E11-4
EM33	MISRDIGITAL_20050126.0079-E1-5
EM34	MISRDIGITAL_20050126.0079-E2-6
EM35	MISRDIGITAL_20050126.0079-E1-7
EM36	MISRDIGITAL_20050126.0079-E1-8
EM37	MISRDIGITAL_20050126.0079-E1-9
EM38	MISRDIGITAL_20050126.0079-E9-10
EM39	MISRDIGITAL_20050126.0079-E7-11
EM40	MISRDIGITAL_20050126.0079-E1-12
EM41	MISRDIGITAL_20050126.0079-E1-13
EM42	MISRDIGITAL_20050126.0079-E1-14
EM43	MISRDIGITAL_20050126.0079-E1-15
EM44	MISRDIGITAL_20050126.0079-E3-16
EM45	MISRDIGITAL_20050126.0079-E7-17
EM48	MISRDIGITAL_20050126.0079-E9-18
EM50	MISRDIGITAL_20050126.0079-E7-19
EM49	MISRDIGITAL_20050126.0079-E7-20
EM51	MISRDIGITAL_20050126.0079-E7-21
EM2	MISRDIGITAL_20050126.0079-E14-22
EM53	MISRDIGITAL_20050126.0079-E8-23
EM54	MISRDIGITAL_20050126.0079-E4-24
EM55	MISRDIGITAL_20050126.0079-E5-25
EM4	MISRDIGITAL_20050126.0079-E14-26
EM6	MISRDIGITAL_20050126.0079-E6-27
EM30	MISRDIGITAL_20050126.0079-E11-28
EM7	MISRDIGITAL_20050126.0079-E6-29
EM56	MISRDIGITAL_20050126.0079-E5-30
EM9	MISRDIGITAL_20050126.0079-E6-31
EM11	MISRDIGITAL_20050126.0079-E6-32
EM12	MISRDIGITAL_20050126.0079-E6-33
EM14	MISRDIGITAL_20050126.0079-E6-34
EM15	MISRDIGITAL_20050126.0079-E6-35
EM17	MISRDIGITAL_20050126.0079-E6-36
EM52	MISRDIGITAL_20050126.0079-E8-37
EM46	MISRDIGITAL_20050126.0079-E3-38
EM47	MISRDIGITAL_20050126.0079-E3-39
EM1	MISRDIGITAL_20050126.0079-E14-40
EM5	MISRDIGITAL_20050126.0079-E9-41
EM10	MISRDIGITAL_20050126.0079-E10-42
EM8	MISRDIGITAL_20050126.0079-E10-43
EM13	MISRDIGITAL_20050126.0079-E7-44
EM16	MISRDIGITAL_20050126.0079-E10-45
EM18	MISRDIGITAL_20050126.0079-E10-46
EM19	MISRDIGITAL_20050126.0079-E10-47
EM20	MISRDIGITAL_20050126.0079-E11-48
EM21	MISRDIGITAL_20050126.0079-E11-49
EM22	MISRDIGITAL_20050126.0079-E12-50
EM23	MISRDIGITAL_20050126.0079-E13-51
EM24	MISRDIGITAL_20050126.0079-E12-52
EM25	MISRDIGITAL_20050126.0079-E12-53
EM26	MISRDIGITAL_20050126.0079-E12-54
EM27	MISRDIGITAL_20050126.0079-E15-55
EM28	MISRDIGITAL_20050126.0079-E11-56
R3	MISRDIGITAL_20050126.0079-R1
R1	MISRDIGITAL_20050126.0079-R2
R2	MISRDIGITAL_20050126.0079-R3
R4	MISRDIGITAL_20050126.0079-R4
R5	MISRDIGITAL_20050126.0079-R5
R6	MISRDIGITAL_20050126.0079-R6
RM3	MISRDIGITAL_20050126.0079-R1-1
RM1	MISRDIGITAL_20050126.0079-R2-1
RM2	MISRDIGITAL_20050126.0079-R3-1
RM4	MISRDIGITAL_20050126.0079-R4-1
RM5	MISRDIGITAL_20050126.0079-R5-1
RM6	MISRDIGITAL_20050126.0079-R2-2
V5	MISRDIGITAL_20050126.0079-EV1
V4	MISRDIGITAL_20050126.0079-EV2
V1	MISRDIGITAL_20050126.0079-EV3
V2	MISRDIGITAL_20050126.0079-EV4
V3	MISRDIGITAL_20050126.0079-EV5
VM5	MISRDIGITAL_20050126.0079-EV1-1
VM4	MISRDIGITAL_20050126.0079-EV2-1
VM1	MISRDIGITAL_20050126.0079-EV3-1
VM2	MISRDIGITAL_20050126.0079-EV4-1
VM3	MISRDIGITAL_20050126.0079-EV5-1
Q2	MISRDIGITAL_20050126.0079-T1
Q3	MISRDIGITAL_20050126.0079-T2
Q1	MISRDIGITAL_20050126.0079-T3
Q4	MISRDIGITAL_20050126.0079-T4
