CE10	MISRDIGITAL_20050216.0005-CE1
CE9	MISRDIGITAL_20050216.0005-CE2
CE11	MISRDIGITAL_20050216.0005-CE3
CE13	MISRDIGITAL_20050216.0005-CE4
CE34	MISRDIGITAL_20050216.0005-CE5
CE14	MISRDIGITAL_20050216.0005-CE6
CE15	MISRDIGITAL_20050216.0005-CE7
CE40	MISRDIGITAL_20050216.0005-CE8
CE21	MISRDIGITAL_20050216.0005-CE9
CE19	MISRDIGITAL_20050216.0005-CE10
CE20	MISRDIGITAL_20050216.0005-CE11
CE28	MISRDIGITAL_20050216.0005-CE12
CE23	MISRDIGITAL_20050216.0005-CE13
CE24	MISRDIGITAL_20050216.0005-CE14
CE25	MISRDIGITAL_20050216.0005-CE15
CE26	MISRDIGITAL_20050216.0005-CE16
CE1	MISRDIGITAL_20050216.0005-CE17
CE46	MISRDIGITAL_20050216.0005-CE18
CE42	MISRDIGITAL_20050216.0005-CE19
CE4	MISRDIGITAL_20050216.0005-CE20
CE29	MISRDIGITAL_20050216.0005-CE21
CE49	MISRDIGITAL_20050216.0005-CE22
CE31	MISRDIGITAL_20050216.0005-CE23
CE50	MISRDIGITAL_20050216.0005-CE24
CE51	MISRDIGITAL_20050216.0005-CE25
CE45	MISRDIGITAL_20050216.0005-CE26
CE33	MISRDIGITAL_20050216.0005-CE27
CE38	MISRDIGITAL_20050216.0005-CE28
CE35	MISRDIGITAL_20050216.0005-CE29
CE36	MISRDIGITAL_20050216.0005-CE30
CE37	MISRDIGITAL_20050216.0005-CE31
CE47	MISRDIGITAL_20050216.0005-CE32
CE48	MISRDIGITAL_20050216.0005-CE33
CE54	MISRDIGITAL_20050216.0005-CE34
CE55	MISRDIGITAL_20050216.0005-CE35
CE56	MISRDIGITAL_20050216.0005-CE36
CE57	MISRDIGITAL_20050216.0005-CE37
CE5	MISRDIGITAL_20050216.0005-CE38
CE8	MISRDIGITAL_20050216.0005-CE39
CE17	MISRDIGITAL_20050216.0005-CE40
CE22	MISRDIGITAL_20050216.0005-CE41
CE27	MISRDIGITAL_20050216.0005-CE42
CE18	MISRDIGITAL_20050216.0005-CE43
CE30	MISRDIGITAL_20050216.0005-CE44
CE32	MISRDIGITAL_20050216.0005-CE45
CE41	MISRDIGITAL_20050216.0005-CE46
CE44	MISRDIGITAL_20050216.0005-CE47
CE43	MISRDIGITAL_20050216.0005-CE48
CE53	MISRDIGITAL_20050216.0005-CE49
CE12	MISRDIGITAL_20050216.0005-CE50
CE3	MISRDIGITAL_20050216.0005-CE51
CE2	MISRDIGITAL_20050216.0005-CE52
CE16	MISRDIGITAL_20050216.0005-CE53
CE6	MISRDIGITAL_20050216.0005-CE54
CE39	MISRDIGITAL_20050216.0005-CE55
CE7	MISRDIGITAL_20050216.0005-CE56
E77	MISRDIGITAL_20050216.0005-E1
E13	MISRDIGITAL_20050216.0005-E2
E15	MISRDIGITAL_20050216.0005-E3
E19	MISRDIGITAL_20050216.0005-E4
E25	MISRDIGITAL_20050216.0005-E5
E103	MISRDIGITAL_20050216.0005-E6
E20	MISRDIGITAL_20050216.0005-E7
E21	MISRDIGITAL_20050216.0005-E8
E63	MISRDIGITAL_20050216.0005-E9
E107	MISRDIGITAL_20050216.0005-E10
E1	MISRDIGITAL_20050216.0005-E11
E29	MISRDIGITAL_20050216.0005-E12
E30	MISRDIGITAL_20050216.0005-E13
E31	MISRDIGITAL_20050216.0005-E14
E33	MISRDIGITAL_20050216.0005-E15
E34	MISRDIGITAL_20050216.0005-E16
E130	MISRDIGITAL_20050216.0005-E17
E35	MISRDIGITAL_20050216.0005-E18
E36	MISRDIGITAL_20050216.0005-E19
E109	MISRDIGITAL_20050216.0005-E20
E131	MISRDIGITAL_20050216.0005-E21
E132	MISRDIGITAL_20050216.0005-E22
E40	MISRDIGITAL_20050216.0005-E23
E43	MISRDIGITAL_20050216.0005-E24
E113	MISRDIGITAL_20050216.0005-E25
E46	MISRDIGITAL_20050216.0005-E26
E47	MISRDIGITAL_20050216.0005-E27
E114	MISRDIGITAL_20050216.0005-E28
E115	MISRDIGITAL_20050216.0005-E29
E134	MISRDIGITAL_20050216.0005-E30
E66	MISRDIGITAL_20050216.0005-E31
E50	MISRDIGITAL_20050216.0005-E32
E116	MISRDIGITAL_20050216.0005-E33
E52	MISRDIGITAL_20050216.0005-E34
