CE11	EGYDAYS_20050226.1158-CE1
CE10	EGYDAYS_20050226.1158-CE2
CE2	EGYDAYS_20050226.1158-CE3
CE3	EGYDAYS_20050226.1158-CE4
CE4	EGYDAYS_20050226.1158-CE5
CE5	EGYDAYS_20050226.1158-CE6
CE7	EGYDAYS_20050226.1158-CE7
CE1	EGYDAYS_20050226.1158-CE8
CE8	EGYDAYS_20050226.1158-CE9
CE6	EGYDAYS_20050226.1158-CE10
CE9	EGYDAYS_20050226.1158-CE11
E12	EGYDAYS_20050226.1158-E1
E14	EGYDAYS_20050226.1158-E2
E15	EGYDAYS_20050226.1158-E3
E1	EGYDAYS_20050226.1158-E4
E2	EGYDAYS_20050226.1158-E5
E3	EGYDAYS_20050226.1158-E6
E5	EGYDAYS_20050226.1158-E7
E7	EGYDAYS_20050226.1158-E8
E8	EGYDAYS_20050226.1158-E9
E9	EGYDAYS_20050226.1158-E10
E10	EGYDAYS_20050226.1158-E11
E11	EGYDAYS_20050226.1158-E12
EM3	EGYDAYS_20050226.1158-E4-1
EM25	EGYDAYS_20050226.1158-E5-2
EM27	EGYDAYS_20050226.1158-E5-3
EM29	EGYDAYS_20050226.1158-E5-4
EM28	EGYDAYS_20050226.1158-E1-5
EM30	EGYDAYS_20050226.1158-E1-6
EM31	EGYDAYS_20050226.1158-E4-7
EM32	EGYDAYS_20050226.1158-E1-8
EM33	EGYDAYS_20050226.1158-E1-9
EM34	EGYDAYS_20050226.1158-E5-10
EM9	EGYDAYS_20050226.1158-E5-11
EM10	EGYDAYS_20050226.1158-E10-12
EM14	EGYDAYS_20050226.1158-E5-13
EM26	EGYDAYS_20050226.1158-E2-14
EM1	EGYDAYS_20050226.1158-E3-15
EM4	EGYDAYS_20050226.1158-E4-16
EM5	EGYDAYS_20050226.1158-E5-17
EM6	EGYDAYS_20050226.1158-E4-18
EM7	EGYDAYS_20050226.1158-E5-19
EM8	EGYDAYS_20050226.1158-E6-20
EM16	EGYDAYS_20050226.1158-E5-21
EM35	EGYDAYS_20050226.1158-E4-22
EM11	EGYDAYS_20050226.1158-E5-23
EM2	EGYDAYS_20050226.1158-E4-24
EM12	EGYDAYS_20050226.1158-E7-25
EM13	EGYDAYS_20050226.1158-E4-26
EM15	EGYDAYS_20050226.1158-E8-27
EM17	EGYDAYS_20050226.1158-E5-28
EM18	EGYDAYS_20050226.1158-E5-29
EM19	EGYDAYS_20050226.1158-E9-30
EM20	EGYDAYS_20050226.1158-E10-31
EM21	EGYDAYS_20050226.1158-E5-32
EM22	EGYDAYS_20050226.1158-E9-33
EM23	EGYDAYS_20050226.1158-E12-34
EM24	EGYDAYS_20050226.1158-E11-35
R1	EGYDAYS_20050226.1158-R1
R2	EGYDAYS_20050226.1158-R2
RM1	EGYDAYS_20050226.1158-R1-1
RM2	EGYDAYS_20050226.1158-R2-1
V1	EGYDAYS_20050226.1158-EV1
VM1	EGYDAYS_20050226.1158-EV1-1
Q5	EGYDAYS_20050226.1158-T1
Q1	EGYDAYS_20050226.1158-T2
Q2	EGYDAYS_20050226.1158-T3
Q3	EGYDAYS_20050226.1158-T4
Q4	EGYDAYS_20050226.1158-T5
Q6	EGYDAYS_20050226.1158-T6
Q7	EGYDAYS_20050226.1158-T7
