CE5	MELEGY_20050220.1954-CE1
CE17	MELEGY_20050220.1954-CE2
CE6	MELEGY_20050220.1954-CE3
CE7	MELEGY_20050220.1954-CE4
CE8	MELEGY_20050220.1954-CE5
CE9	MELEGY_20050220.1954-CE6
CE11	MELEGY_20050220.1954-CE7
CE12	MELEGY_20050220.1954-CE8
CE13	MELEGY_20050220.1954-CE9
CE14	MELEGY_20050220.1954-CE10
CE15	MELEGY_20050220.1954-CE11
CE16	MELEGY_20050220.1954-CE12
CE18	MELEGY_20050220.1954-CE13
CE1	MELEGY_20050220.1954-CE14
CE19	MELEGY_20050220.1954-CE15
CE22	MELEGY_20050220.1954-CE16
CE24	MELEGY_20050220.1954-CE17
CE26	MELEGY_20050220.1954-CE18
CE25	MELEGY_20050220.1954-CE19
CE3	MELEGY_20050220.1954-CE20
CE20	MELEGY_20050220.1954-CE21
CE21	MELEGY_20050220.1954-CE22
CE10	MELEGY_20050220.1954-CE23
CE23	MELEGY_20050220.1954-CE24
CE2	MELEGY_20050220.1954-CE25
CE4	MELEGY_20050220.1954-CE26
E4	MELEGY_20050220.1954-E1
E5	MELEGY_20050220.1954-E2
E6	MELEGY_20050220.1954-E3
E7	MELEGY_20050220.1954-E4
E8	MELEGY_20050220.1954-E5
E9	MELEGY_20050220.1954-E6
E10	MELEGY_20050220.1954-E7
E11	MELEGY_20050220.1954-E8
E40	MELEGY_20050220.1954-E9
E12	MELEGY_20050220.1954-E10
E1	MELEGY_20050220.1954-E11
E14	MELEGY_20050220.1954-E12
E15	MELEGY_20050220.1954-E13
E16	MELEGY_20050220.1954-E14
E17	MELEGY_20050220.1954-E15
E19	MELEGY_20050220.1954-E16
E20	MELEGY_20050220.1954-E17
E22	MELEGY_20050220.1954-E18
E24	MELEGY_20050220.1954-E19
E26	MELEGY_20050220.1954-E20
E27	MELEGY_20050220.1954-E21
E29	MELEGY_20050220.1954-E22
E35	MELEGY_20050220.1954-E23
E30	MELEGY_20050220.1954-E24
E31	MELEGY_20050220.1954-E25
E36	MELEGY_20050220.1954-E26
E32	MELEGY_20050220.1954-E27
E39	MELEGY_20050220.1954-E28
E2	MELEGY_20050220.1954-E29
E3	MELEGY_20050220.1954-E30
E18	MELEGY_20050220.1954-E31
EM1	MELEGY_20050220.1954-E11-1
EM30	MELEGY_20050220.1954-E30-2
EM31	MELEGY_20050220.1954-E1-3
EM32	MELEGY_20050220.1954-E30-4
EM33	MELEGY_20050220.1954-E30-5
EM34	MELEGY_20050220.1954-E11-6
EM35	MELEGY_20050220.1954-E11-7
EM94	MELEGY_20050220.1954-E31-8
EM36	MELEGY_20050220.1954-E11-9
EM39	MELEGY_20050220.1954-E11-10
EM37	MELEGY_20050220.1954-E2-11
EM38	MELEGY_20050220.1954-E3-12
EM40	MELEGY_20050220.1954-E11-13
EM41	MELEGY_20050220.1954-E11-14
EM42	MELEGY_20050220.1954-E11-15
EM43	MELEGY_20050220.1954-E11-16
EM44	MELEGY_20050220.1954-E11-17
EM45	MELEGY_20050220.1954-E11-18
EM46	MELEGY_20050220.1954-E4-19
EM47	MELEGY_20050220.1954-E4-20
EM48	MELEGY_20050220.1954-E4-21
EM49	MELEGY_20050220.1954-E4-22
EM50	MELEGY_20050220.1954-E4-23
EM51	MELEGY_20050220.1954-E5-24
EM52	MELEGY_20050220.1954-E6-25
EM53	MELEGY_20050220.1954-E4-26
EM54	MELEGY_20050220.1954-E7-27
EM55	MELEGY_20050220.1954-E3-28
