CE7	AZZAMOH_20041227.0120-CE1
CE8	AZZAMOH_20041227.0120-CE2
CE9	AZZAMOH_20041227.0120-CE3
CE10	AZZAMOH_20041227.0120-CE4
CE11	AZZAMOH_20041227.0120-CE5
CE4	AZZAMOH_20041227.0120-CE6
CE25	AZZAMOH_20041227.0120-CE7
CE12	AZZAMOH_20041227.0120-CE8
CE13	AZZAMOH_20041227.0120-CE9
CE14	AZZAMOH_20041227.0120-CE10
CE15	AZZAMOH_20041227.0120-CE11
CE16	AZZAMOH_20041227.0120-CE12
CE17	AZZAMOH_20041227.0120-CE13
CE18	AZZAMOH_20041227.0120-CE14
CE2	AZZAMOH_20041227.0120-CE15
CE20	AZZAMOH_20041227.0120-CE16
CE22	AZZAMOH_20041227.0120-CE17
CE24	AZZAMOH_20041227.0120-CE18
CE23	AZZAMOH_20041227.0120-CE19
CE26	AZZAMOH_20041227.0120-CE20
CE19	AZZAMOH_20041227.0120-CE21
CE21	AZZAMOH_20041227.0120-CE22
CE27	AZZAMOH_20041227.0120-CE23
CE1	AZZAMOH_20041227.0120-CE24
CE3	AZZAMOH_20041227.0120-CE25
CE28	AZZAMOH_20041227.0120-CE26
CE6	AZZAMOH_20041227.0120-CE27
E7	AZZAMOH_20041227.0120-E1
E8	AZZAMOH_20041227.0120-E2
E9	AZZAMOH_20041227.0120-E3
E10	AZZAMOH_20041227.0120-E4
E29	AZZAMOH_20041227.0120-E5
E11	AZZAMOH_20041227.0120-E6
E12	AZZAMOH_20041227.0120-E7
E13	AZZAMOH_20041227.0120-E8
E14	AZZAMOH_20041227.0120-E9
E15	AZZAMOH_20041227.0120-E10
E17	AZZAMOH_20041227.0120-E11
E19	AZZAMOH_20041227.0120-E12
E1	AZZAMOH_20041227.0120-E13
E36	AZZAMOH_20041227.0120-E14
E21	AZZAMOH_20041227.0120-E15
E22	AZZAMOH_20041227.0120-E16
E23	AZZAMOH_20041227.0120-E17
E24	AZZAMOH_20041227.0120-E18
E25	AZZAMOH_20041227.0120-E19
E26	AZZAMOH_20041227.0120-E20
E27	AZZAMOH_20041227.0120-E21
E2	AZZAMOH_20041227.0120-E22
E37	AZZAMOH_20041227.0120-E23
E3	AZZAMOH_20041227.0120-E24
E38	AZZAMOH_20041227.0120-E25
E5	AZZAMOH_20041227.0120-E26
E6	AZZAMOH_20041227.0120-E27
EM2	AZZAMOH_20041227.0120-E13-1
