CE8	EBREAZ_20041122.0146-CE1
CE9	EBREAZ_20041122.0146-CE2
CE10	EBREAZ_20041122.0146-CE3
CE11	EBREAZ_20041122.0146-CE4
CE12	EBREAZ_20041122.0146-CE5
CE13	EBREAZ_20041122.0146-CE6
CE14	EBREAZ_20041122.0146-CE7
CE1	EBREAZ_20041122.0146-CE8
CE2	EBREAZ_20041122.0146-CE9
CE3	EBREAZ_20041122.0146-CE10
CE4	EBREAZ_20041122.0146-CE11
CE5	EBREAZ_20041122.0146-CE12
CE6	EBREAZ_20041122.0146-CE13
CE7	EBREAZ_20041122.0146-CE14
E11	EBREAZ_20041122.0146-E1
E12	EBREAZ_20041122.0146-E2
E13	EBREAZ_20041122.0146-E3
E14	EBREAZ_20041122.0146-E4
E15	EBREAZ_20041122.0146-E5
E1	EBREAZ_20041122.0146-E6
E17	EBREAZ_20041122.0146-E7
E2	EBREAZ_20041122.0146-E8
E3	EBREAZ_20041122.0146-E9
E4	EBREAZ_20041122.0146-E10
E5	EBREAZ_20041122.0146-E11
E7	EBREAZ_20041122.0146-E12
E8	EBREAZ_20041122.0146-E13
E9	EBREAZ_20041122.0146-E14
E10	EBREAZ_20041122.0146-E15
EM1	EBREAZ_20041122.0146-E6-1
EM22	EBREAZ_20041122.0146-E1-2
EM24	EBREAZ_20041122.0146-E1-3
EM25	EBREAZ_20041122.0146-E6-4
EM26	EBREAZ_20041122.0146-E6-5
EM27	EBREAZ_20041122.0146-E6-6
EM28	EBREAZ_20041122.0146-E2-7
EM31	EBREAZ_20041122.0146-E8-8
EM29	EBREAZ_20041122.0146-E3-9
EM32	EBREAZ_20041122.0146-E6-10
EM34	EBREAZ_20041122.0146-E2-11
EM33	EBREAZ_20041122.0146-E2-12
EM35	EBREAZ_20041122.0146-E4-13
EM38	EBREAZ_20041122.0146-E6-14
EM54	EBREAZ_20041122.0146-E6-15
EM55	EBREAZ_20041122.0146-E6-16
EM56	EBREAZ_20041122.0146-E11-17
EM57	EBREAZ_20041122.0146-E11-18
EM58	EBREAZ_20041122.0146-E11-19
EM59	EBREAZ_20041122.0146-E11-20
EM60	EBREAZ_20041122.0146-E11-21
EM61	EBREAZ_20041122.0146-E11-22
EM63	EBREAZ_20041122.0146-E9-23
EM62	EBREAZ_20041122.0146-E9-24
EM65	EBREAZ_20041122.0146-E11-25
EM66	EBREAZ_20041122.0146-E11-26
EM67	EBREAZ_20041122.0146-E11-27
EM68	EBREAZ_20041122.0146-E11-28
EM36	EBREAZ_20041122.0146-E5-29
EM39	EBREAZ_20041122.0146-E5-30
EM37	EBREAZ_20041122.0146-E5-31
EM40	EBREAZ_20041122.0146-E5-32
EM41	EBREAZ_20041122.0146-E5-33
EM42	EBREAZ_20041122.0146-E5-34
EM45	EBREAZ_20041122.0146-E5-35
EM44	EBREAZ_20041122.0146-E5-36
EM43	EBREAZ_20041122.0146-E5-37
EM47	EBREAZ_20041122.0146-E5-38
EM49	EBREAZ_20041122.0146-E5-39
EM53	EBREAZ_20041122.0146-E5-40
EM51	EBREAZ_20041122.0146-E5-41
EM30	EBREAZ_20041122.0146-E6-42
EM21	EBREAZ_20041122.0146-E15-43
EM23	EBREAZ_20041122.0146-E15-44
EM46	EBREAZ_20041122.0146-E7-45
EM48	EBREAZ_20041122.0146-E7-46
EM50	EBREAZ_20041122.0146-E7-47
EM52	EBREAZ_20041122.0146-E7-48
EM2	EBREAZ_20041122.0146-E8-49
EM3	EBREAZ_20041122.0146-E6-50
EM4	EBREAZ_20041122.0146-E9-51
EM5	EBREAZ_20041122.0146-E6-52
EM6	EBREAZ_20041122.0146-E10-53
EM7	EBREAZ_20041122.0146-E11-54
EM8	EBREAZ_20041122.0146-E11-55
EM64	EBREAZ_20041122.0146-E9-56
EM69	EBREAZ_20041122.0146-E6-57
EM9	EBREAZ_20041122.0146-E11-58
EM10	EBREAZ_20041122.0146-E11-59
EM11	EBREAZ_20041122.0146-E11-60
EM12	EBREAZ_20041122.0146-E12-61
EM13	EBREAZ_20041122.0146-E12-62
EM14	EBREAZ_20041122.0146-E12-63
EM15	EBREAZ_20041122.0146-E13-64
EM16	EBREAZ_20041122.0146-E12-65
EM17	EBREAZ_20041122.0146-E11-66
EM18	EBREAZ_20041122.0146-E6-67
EM19	EBREAZ_20041122.0146-E14-68
EM20	EBREAZ_20041122.0146-E15-69
R1	EBREAZ_20041122.0146-R1
R2	EBREAZ_20041122.0146-R2
RM2	EBREAZ_20041122.0146-R1-1
RM1	EBREAZ_20041122.0146-R2-1
Q1	EBREAZ_20041122.0146-T1
Q2	EBREAZ_20041122.0146-T2
