CE1	ZAYEDALSAIDI_20041124.2321-CE1
CE2	ZAYEDALSAIDI_20041124.2321-CE2
CE3	ZAYEDALSAIDI_20041124.2321-CE3
CE4	ZAYEDALSAIDI_20041124.2321-CE4
CE5	ZAYEDALSAIDI_20041124.2321-CE5
CE6	ZAYEDALSAIDI_20041124.2321-CE6
CE8	ZAYEDALSAIDI_20041124.2321-CE7
CE7	ZAYEDALSAIDI_20041124.2321-CE8
E1	ZAYEDALSAIDI_20041124.2321-E1
E2	ZAYEDALSAIDI_20041124.2321-E2
E3	ZAYEDALSAIDI_20041124.2321-E3
E4	ZAYEDALSAIDI_20041124.2321-E4
E5	ZAYEDALSAIDI_20041124.2321-E5
E6	ZAYEDALSAIDI_20041124.2321-E6
E7	ZAYEDALSAIDI_20041124.2321-E7
E8	ZAYEDALSAIDI_20041124.2321-E8
E9	ZAYEDALSAIDI_20041124.2321-E9
EM1	ZAYEDALSAIDI_20041124.2321-E1-1
EM2	ZAYEDALSAIDI_20041124.2321-E1-2
EM4	ZAYEDALSAIDI_20041124.2321-E1-3
EM3	ZAYEDALSAIDI_20041124.2321-E1-4
EM5	ZAYEDALSAIDI_20041124.2321-E2-5
EM6	ZAYEDALSAIDI_20041124.2321-E3-6
EM7	ZAYEDALSAIDI_20041124.2321-E4-7
EM8	ZAYEDALSAIDI_20041124.2321-E5-8
EM9	ZAYEDALSAIDI_20041124.2321-E5-9
EM10	ZAYEDALSAIDI_20041124.2321-E6-10
EM11	ZAYEDALSAIDI_20041124.2321-E6-11
EM14	ZAYEDALSAIDI_20041124.2321-E7-12
EM17	ZAYEDALSAIDI_20041124.2321-E1-13
EM15	ZAYEDALSAIDI_20041124.2321-E1-14
EM16	ZAYEDALSAIDI_20041124.2321-E2-15
EM13	ZAYEDALSAIDI_20041124.2321-E8-16
EM12	ZAYEDALSAIDI_20041124.2321-E9-17
Q3	ZAYEDALSAIDI_20041124.2321-T1
Q1	ZAYEDALSAIDI_20041124.2321-T2
Q2	ZAYEDALSAIDI_20041124.2321-T3
