CE40	DIGRESSING_20050213.0942-CE1
CE12	DIGRESSING_20050213.0942-CE2
CE13	DIGRESSING_20050213.0942-CE3
CE14	DIGRESSING_20050213.0942-CE4
CE15	DIGRESSING_20050213.0942-CE5
CE16	DIGRESSING_20050213.0942-CE6
CE17	DIGRESSING_20050213.0942-CE7
CE18	DIGRESSING_20050213.0942-CE8
CE19	DIGRESSING_20050213.0942-CE9
CE20	DIGRESSING_20050213.0942-CE10
CE22	DIGRESSING_20050213.0942-CE11
CE21	DIGRESSING_20050213.0942-CE12
CE23	DIGRESSING_20050213.0942-CE13
CE24	DIGRESSING_20050213.0942-CE14
CE25	DIGRESSING_20050213.0942-CE15
CE26	DIGRESSING_20050213.0942-CE16
CE27	DIGRESSING_20050213.0942-CE17
CE28	DIGRESSING_20050213.0942-CE18
CE29	DIGRESSING_20050213.0942-CE19
CE30	DIGRESSING_20050213.0942-CE20
CE31	DIGRESSING_20050213.0942-CE21
CE32	DIGRESSING_20050213.0942-CE22
CE33	DIGRESSING_20050213.0942-CE23
CE34	DIGRESSING_20050213.0942-CE24
CE35	DIGRESSING_20050213.0942-CE25
CE36	DIGRESSING_20050213.0942-CE26
CE37	DIGRESSING_20050213.0942-CE27
CE1	DIGRESSING_20050213.0942-CE28
CE38	DIGRESSING_20050213.0942-CE29
CE8	DIGRESSING_20050213.0942-CE30
CE41	DIGRESSING_20050213.0942-CE31
CE42	DIGRESSING_20050213.0942-CE32
CE2	DIGRESSING_20050213.0942-CE33
CE3	DIGRESSING_20050213.0942-CE34
CE4	DIGRESSING_20050213.0942-CE35
CE5	DIGRESSING_20050213.0942-CE36
CE6	DIGRESSING_20050213.0942-CE37
CE7	DIGRESSING_20050213.0942-CE38
CE39	DIGRESSING_20050213.0942-CE39
CE9	DIGRESSING_20050213.0942-CE40
CE10	DIGRESSING_20050213.0942-CE41
CE11	DIGRESSING_20050213.0942-CE42
E15	DIGRESSING_20050213.0942-E1
E16	DIGRESSING_20050213.0942-E2
E17	DIGRESSING_20050213.0942-E3
E18	DIGRESSING_20050213.0942-E4
E47	DIGRESSING_20050213.0942-E5
E20	DIGRESSING_20050213.0942-E6
E21	DIGRESSING_20050213.0942-E7
E22	DIGRESSING_20050213.0942-E8
E23	DIGRESSING_20050213.0942-E9
E24	DIGRESSING_20050213.0942-E10
E25	DIGRESSING_20050213.0942-E11
E26	DIGRESSING_20050213.0942-E12
E27	DIGRESSING_20050213.0942-E13
E28	DIGRESSING_20050213.0942-E14
E29	DIGRESSING_20050213.0942-E15
E30	DIGRESSING_20050213.0942-E16
E31	DIGRESSING_20050213.0942-E17
E32	DIGRESSING_20050213.0942-E18
E33	DIGRESSING_20050213.0942-E19
E34	DIGRESSING_20050213.0942-E20
E35	DIGRESSING_20050213.0942-E21
E36	DIGRESSING_20050213.0942-E22
E37	DIGRESSING_20050213.0942-E23
E38	DIGRESSING_20050213.0942-E24
E39	DIGRESSING_20050213.0942-E25
E40	DIGRESSING_20050213.0942-E26
E41	DIGRESSING_20050213.0942-E27
E44	DIGRESSING_20050213.0942-E28
E1	DIGRESSING_20050213.0942-E29
E51	DIGRESSING_20050213.0942-E30
E46	DIGRESSING_20050213.0942-E31
E48	DIGRESSING_20050213.0942-E32
E52	DIGRESSING_20050213.0942-E33
E2	DIGRESSING_20050213.0942-E34
E3	DIGRESSING_20050213.0942-E35
E4	DIGRESSING_20050213.0942-E36
E5	DIGRESSING_20050213.0942-E37
E6	DIGRESSING_20050213.0942-E38
E49	DIGRESSING_20050213.0942-E39
E9	DIGRESSING_20050213.0942-E40
E10	DIGRESSING_20050213.0942-E41
E11	DIGRESSING_20050213.0942-E42
E12	DIGRESSING_20050213.0942-E43
E13	DIGRESSING_20050213.0942-E44
E14	DIGRESSING_20050213.0942-E45
E50	DIGRESSING_20050213.0942-E46
EM1	DIGRESSING_20050213.0942-E29-1
EM20	DIGRESSING_20050213.0942-E1-2
EM21	DIGRESSING_20050213.0942-E2-3
EM22	DIGRESSING_20050213.0942-E3-4
EM23	DIGRESSING_20050213.0942-E4-5
EM9	DIGRESSING_20050213.0942-E32-6
EM26	DIGRESSING_20050213.0942-E4-7
EM25	DIGRESSING_20050213.0942-E6-8
EM28	DIGRESSING_20050213.0942-E2-9
EM27	DIGRESSING_20050213.0942-E7-10
EM29	DIGRESSING_20050213.0942-E8-11
EM30	DIGRESSING_20050213.0942-E9-12
EM32	DIGRESSING_20050213.0942-E10-13
EM31	DIGRESSING_20050213.0942-E11-14
EM33	DIGRESSING_20050213.0942-E12-15
EM34	DIGRESSING_20050213.0942-E13-16
EM35	DIGRESSING_20050213.0942-E14-17
EM36	DIGRESSING_20050213.0942-E15-18
EM37	DIGRESSING_20050213.0942-E16-19
EM38	DIGRESSING_20050213.0942-E17-20
EM39	DIGRESSING_20050213.0942-E18-21
EM40	DIGRESSING_20050213.0942-E19-22
EM41	DIGRESSING_20050213.0942-E20-23
EM42	DIGRESSING_20050213.0942-E21-24
EM43	DIGRESSING_20050213.0942-E22-25
EM44	DIGRESSING_20050213.0942-E23-26
EM45	DIGRESSING_20050213.0942-E24-27
EM46	DIGRESSING_20050213.0942-E26-28
EM47	DIGRESSING_20050213.0942-E27-29
EM48	DIGRESSING_20050213.0942-E25-30
EM49	DIGRESSING_20050213.0942-E28-31
EM55	DIGRESSING_20050213.0942-E30-32
EM51	DIGRESSING_20050213.0942-E31-33
EM52	DIGRESSING_20050213.0942-E25-34
EM56	DIGRESSING_20050213.0942-E33-35
EM50	DIGRESSING_20050213.0942-E25-36
EM18	DIGRESSING_20050213.0942-E44-37
EM19	DIGRESSING_20050213.0942-E44-38
EM2	DIGRESSING_20050213.0942-E29-39
EM3	DIGRESSING_20050213.0942-E29-40
EM4	DIGRESSING_20050213.0942-E34-41
EM5	DIGRESSING_20050213.0942-E35-42
EM6	DIGRESSING_20050213.0942-E36-43
EM7	DIGRESSING_20050213.0942-E37-44
EM16	DIGRESSING_20050213.0942-E44-45
EM8	DIGRESSING_20050213.0942-E38-46
EM10	DIGRESSING_20050213.0942-E36-47
EM53	DIGRESSING_20050213.0942-E39-48
EM24	DIGRESSING_20050213.0942-E5-49
EM12	DIGRESSING_20050213.0942-E40-50
EM13	DIGRESSING_20050213.0942-E41-51
EM14	DIGRESSING_20050213.0942-E42-52
EM15	DIGRESSING_20050213.0942-E43-53
EM17	DIGRESSING_20050213.0942-E45-54
EM54	DIGRESSING_20050213.0942-E46-55
R1	DIGRESSING_20050213.0942-R1
R3	DIGRESSING_20050213.0942-R2
R2	DIGRESSING_20050213.0942-R3
R4	DIGRESSING_20050213.0942-R4
R5	DIGRESSING_20050213.0942-R5
R6	DIGRESSING_20050213.0942-R6
R7	DIGRESSING_20050213.0942-R7
RM1	DIGRESSING_20050213.0942-R1-1
RM3	DIGRESSING_20050213.0942-R2-1
RM2	DIGRESSING_20050213.0942-R3-1
RM4	DIGRESSING_20050213.0942-R4-1
RM5	DIGRESSING_20050213.0942-R5-1
RM6	DIGRESSING_20050213.0942-R6-1
RM7	DIGRESSING_20050213.0942-R7-1
V1	DIGRESSING_20050213.0942-EV1
VM1	DIGRESSING_20050213.0942-EV1-1
Q2	DIGRESSING_20050213.0942-T1
Q3	DIGRESSING_20050213.0942-T2
Q4	DIGRESSING_20050213.0942-T3
Q5	DIGRESSING_20050213.0942-T4
Q6	DIGRESSING_20050213.0942-T5
Q1	DIGRESSING_20050213.0942-T6
