CE13	MISRDIGITAL_20041219.0000-CE1
CE14	MISRDIGITAL_20041219.0000-CE2
CE15	MISRDIGITAL_20041219.0000-CE3
CE16	MISRDIGITAL_20041219.0000-CE4
CE18	MISRDIGITAL_20041219.0000-CE5
CE23	MISRDIGITAL_20041219.0000-CE6
CE24	MISRDIGITAL_20041219.0000-CE7
CE25	MISRDIGITAL_20041219.0000-CE8
CE27	MISRDIGITAL_20041219.0000-CE9
CE29	MISRDIGITAL_20041219.0000-CE10
CE30	MISRDIGITAL_20041219.0000-CE11
CE31	MISRDIGITAL_20041219.0000-CE12
CE32	MISRDIGITAL_20041219.0000-CE13
CE11	MISRDIGITAL_20041219.0000-CE14
CE33	MISRDIGITAL_20041219.0000-CE15
CE28	MISRDIGITAL_20041219.0000-CE16
CE35	MISRDIGITAL_20041219.0000-CE17
CE2	MISRDIGITAL_20041219.0000-CE18
CE36	MISRDIGITAL_20041219.0000-CE19
CE38	MISRDIGITAL_20041219.0000-CE20
CE40	MISRDIGITAL_20041219.0000-CE21
CE42	MISRDIGITAL_20041219.0000-CE22
CE45	MISRDIGITAL_20041219.0000-CE23
CE46	MISRDIGITAL_20041219.0000-CE24
CE47	MISRDIGITAL_20041219.0000-CE25
CE48	MISRDIGITAL_20041219.0000-CE26
CE49	MISRDIGITAL_20041219.0000-CE27
CE50	MISRDIGITAL_20041219.0000-CE28
CE17	MISRDIGITAL_20041219.0000-CE29
CE51	MISRDIGITAL_20041219.0000-CE30
CE34	MISRDIGITAL_20041219.0000-CE31
CE52	MISRDIGITAL_20041219.0000-CE32
CE4	MISRDIGITAL_20041219.0000-CE33
CE19	MISRDIGITAL_20041219.0000-CE34
CE20	MISRDIGITAL_20041219.0000-CE35
CE21	MISRDIGITAL_20041219.0000-CE36
CE22	MISRDIGITAL_20041219.0000-CE37
CE39	MISRDIGITAL_20041219.0000-CE38
CE41	MISRDIGITAL_20041219.0000-CE39
CE1	MISRDIGITAL_20041219.0000-CE40
CE53	MISRDIGITAL_20041219.0000-CE41
CE6	MISRDIGITAL_20041219.0000-CE42
CE7	MISRDIGITAL_20041219.0000-CE43
CE8	MISRDIGITAL_20041219.0000-CE44
CE9	MISRDIGITAL_20041219.0000-CE45
CE10	MISRDIGITAL_20041219.0000-CE46
CE26	MISRDIGITAL_20041219.0000-CE47
CE37	MISRDIGITAL_20041219.0000-CE48
CE43	MISRDIGITAL_20041219.0000-CE49
CE54	MISRDIGITAL_20041219.0000-CE50
CE5	MISRDIGITAL_20041219.0000-CE51
CE12	MISRDIGITAL_20041219.0000-CE52
CE3	MISRDIGITAL_20041219.0000-CE53
E15	MISRDIGITAL_20041219.0000-E1
E16	MISRDIGITAL_20041219.0000-E2
E18	MISRDIGITAL_20041219.0000-E3
E19	MISRDIGITAL_20041219.0000-E4
E20	MISRDIGITAL_20041219.0000-E5
E22	MISRDIGITAL_20041219.0000-E6
E23	MISRDIGITAL_20041219.0000-E7
E25	MISRDIGITAL_20041219.0000-E8
E26	MISRDIGITAL_20041219.0000-E9
E27	MISRDIGITAL_20041219.0000-E10
E28	MISRDIGITAL_20041219.0000-E11
E30	MISRDIGITAL_20041219.0000-E12
E59	MISRDIGITAL_20041219.0000-E13
E1	MISRDIGITAL_20041219.0000-E14
E31	MISRDIGITAL_20041219.0000-E15
E32	MISRDIGITAL_20041219.0000-E16
E33	MISRDIGITAL_20041219.0000-E17
E35	MISRDIGITAL_20041219.0000-E18
E36	MISRDIGITAL_20041219.0000-E19
E38	MISRDIGITAL_20041219.0000-E20
E39	MISRDIGITAL_20041219.0000-E21
E41	MISRDIGITAL_20041219.0000-E22
E98	MISRDIGITAL_20041219.0000-E23
E44	MISRDIGITAL_20041219.0000-E24
E45	MISRDIGITAL_20041219.0000-E25
E46	MISRDIGITAL_20041219.0000-E26
E47	MISRDIGITAL_20041219.0000-E27
E99	MISRDIGITAL_20041219.0000-E28
E48	MISRDIGITAL_20041219.0000-E29
E49	MISRDIGITAL_20041219.0000-E30
E65	MISRDIGITAL_20041219.0000-E31
E50	MISRDIGITAL_20041219.0000-E32
E104	MISRDIGITAL_20041219.0000-E33
E100	MISRDIGITAL_20041219.0000-E34
E105	MISRDIGITAL_20041219.0000-E35
E53	MISRDIGITAL_20041219.0000-E36
E2	MISRDIGITAL_20041219.0000-E37
E71	MISRDIGITAL_20041219.0000-E38
E72	MISRDIGITAL_20041219.0000-E39
E74	MISRDIGITAL_20041219.0000-E40
E76	MISRDIGITAL_20041219.0000-E41
E80	MISRDIGITAL_20041219.0000-E42
E84	MISRDIGITAL_20041219.0000-E43
E91	MISRDIGITAL_20041219.0000-E44
E95	MISRDIGITAL_20041219.0000-E45
E96	MISRDIGITAL_20041219.0000-E46
E3	MISRDIGITAL_20041219.0000-E47
E4	MISRDIGITAL_20041219.0000-E48
E5	MISRDIGITAL_20041219.0000-E49
E6	MISRDIGITAL_20041219.0000-E50
E7	MISRDIGITAL_20041219.0000-E51
E8	MISRDIGITAL_20041219.0000-E52
E9	MISRDIGITAL_20041219.0000-E53
E10	MISRDIGITAL_20041219.0000-E54
E106	MISRDIGITAL_20041219.0000-E55
E12	MISRDIGITAL_20041219.0000-E56
E56	MISRDIGITAL_20041219.0000-E57
E13	MISRDIGITAL_20041219.0000-E58
EM1	MISRDIGITAL_20041219.0000-E14-1
EM17	MISRDIGITAL_20041219.0000-E1-2
EM18	MISRDIGITAL_20041219.0000-E2-3
EM19	MISRDIGITAL_20041219.0000-E2-4
EM20	MISRDIGITAL_20041219.0000-E2-5
EM21	MISRDIGITAL_20041219.0000-E2-6
EM22	MISRDIGITAL_20041219.0000-E58-7
EM23	MISRDIGITAL_20041219.0000-E3-8
EM24	MISRDIGITAL_20041219.0000-E2-9
EM25	MISRDIGITAL_20041219.0000-E58-10
EM26	MISRDIGITAL_20041219.0000-E58-11
EM27	MISRDIGITAL_20041219.0000-E2-12
EM31	MISRDIGITAL_20041219.0000-E4-13
EM28	MISRDIGITAL_20041219.0000-E4-14
EM29	MISRDIGITAL_20041219.0000-E4-15
EM30	MISRDIGITAL_20041219.0000-E14-16
EM113	MISRDIGITAL_20041219.0000-E12-17
EM33	MISRDIGITAL_20041219.0000-E58-18
EM34	MISRDIGITAL_20041219.0000-E58-19
EM39	MISRDIGITAL_20041219.0000-E2-20
EM40	MISRDIGITAL_20041219.0000-E2-21
EM41	MISRDIGITAL_20041219.0000-E5-22
EM42	MISRDIGITAL_20041219.0000-E5-23
EM44	MISRDIGITAL_20041219.0000-E5-24
EM45	MISRDIGITAL_20041219.0000-E14-25
EM46	MISRDIGITAL_20041219.0000-E14-26
EM51	MISRDIGITAL_20041219.0000-E41-27
EM32	MISRDIGITAL_20041219.0000-E4-28
EM52	MISRDIGITAL_20041219.0000-E6-29
EM53	MISRDIGITAL_20041219.0000-E7-30
EM3	MISRDIGITAL_20041219.0000-E14-31
EM54	MISRDIGITAL_20041219.0000-E7-32
EM55	MISRDIGITAL_20041219.0000-E7-33
EM56	MISRDIGITAL_20041219.0000-E8-34
EM57	MISRDIGITAL_20041219.0000-E58-35
EM58	MISRDIGITAL_20041219.0000-E58-36
EM61	MISRDIGITAL_20041219.0000-E9-37
EM63	MISRDIGITAL_20041219.0000-E10-38
EM150	MISRDIGITAL_20041219.0000-E12-39
EM64	MISRDIGITAL_20041219.0000-E11-40
EM12	MISRDIGITAL_20041219.0000-E13-41
EM65	MISRDIGITAL_20041219.0000-E9-42
EM66	MISRDIGITAL_20041219.0000-E9-43
EM4	MISRDIGITAL_20041219.0000-E14-44
EM69	MISRDIGITAL_20041219.0000-E12-45
EM70	MISRDIGITAL_20041219.0000-E12-46
EM71	MISRDIGITAL_20041219.0000-E15-47
EM13	MISRDIGITAL_20041219.0000-E13-48
EM72	MISRDIGITAL_20041219.0000-E15-49
EM73	MISRDIGITAL_20041219.0000-E15-50
EM74	MISRDIGITAL_20041219.0000-E15-51
EM75	MISRDIGITAL_20041219.0000-E16-52
EM76	MISRDIGITAL_20041219.0000-E15-53
EM77	MISRDIGITAL_20041219.0000-E15-54
EM78	MISRDIGITAL_20041219.0000-E15-55
EM62	MISRDIGITAL_20041219.0000-E17-56
EM79	MISRDIGITAL_20041219.0000-E1-57
EM80	MISRDIGITAL_20041219.0000-E1-58
EM81	MISRDIGITAL_20041219.0000-E14-59
EM82	MISRDIGITAL_20041219.0000-E1-60
EM83	MISRDIGITAL_20041219.0000-E1-61
EM85	MISRDIGITAL_20041219.0000-E1-62
EM14	MISRDIGITAL_20041219.0000-E13-63
EM86	MISRDIGITAL_20041219.0000-E1-64
EM98	MISRDIGITAL_20041219.0000-E14-65
EM87	MISRDIGITAL_20041219.0000-E14-66
EM88	MISRDIGITAL_20041219.0000-E18-67
EM159	MISRDIGITAL_20041219.0000-E1-68
EM91	MISRDIGITAL_20041219.0000-E19-69
EM90	MISRDIGITAL_20041219.0000-E19-70
EM92	MISRDIGITAL_20041219.0000-E19-71
EM93	MISRDIGITAL_20041219.0000-E37-72
