CE9	ALFILFILM_20050202.0740-CE1
CE11	ALFILFILM_20050202.0740-CE2
CE12	ALFILFILM_20050202.0740-CE3
CE13	ALFILFILM_20050202.0740-CE4
CE14	ALFILFILM_20050202.0740-CE5
CE15	ALFILFILM_20050202.0740-CE6
CE16	ALFILFILM_20050202.0740-CE7
CE19	ALFILFILM_20050202.0740-CE8
CE20	ALFILFILM_20050202.0740-CE9
CE21	ALFILFILM_20050202.0740-CE10
CE5	ALFILFILM_20050202.0740-CE11
CE10	ALFILFILM_20050202.0740-CE12
CE22	ALFILFILM_20050202.0740-CE13
CE23	ALFILFILM_20050202.0740-CE14
CE2	ALFILFILM_20050202.0740-CE15
CE24	ALFILFILM_20050202.0740-CE16
CE17	ALFILFILM_20050202.0740-CE17
CE25	ALFILFILM_20050202.0740-CE18
CE26	ALFILFILM_20050202.0740-CE19
CE27	ALFILFILM_20050202.0740-CE20
CE28	ALFILFILM_20050202.0740-CE21
CE29	ALFILFILM_20050202.0740-CE22
CE18	ALFILFILM_20050202.0740-CE23
CE30	ALFILFILM_20050202.0740-CE24
CE31	ALFILFILM_20050202.0740-CE25
CE32	ALFILFILM_20050202.0740-CE26
CE33	ALFILFILM_20050202.0740-CE27
CE34	ALFILFILM_20050202.0740-CE28
CE35	ALFILFILM_20050202.0740-CE29
CE36	ALFILFILM_20050202.0740-CE30
CE46	ALFILFILM_20050202.0740-CE31
CE37	ALFILFILM_20050202.0740-CE32
CE38	ALFILFILM_20050202.0740-CE33
CE39	ALFILFILM_20050202.0740-CE34
CE40	ALFILFILM_20050202.0740-CE35
CE41	ALFILFILM_20050202.0740-CE36
CE42	ALFILFILM_20050202.0740-CE37
CE43	ALFILFILM_20050202.0740-CE38
CE44	ALFILFILM_20050202.0740-CE39
CE45	ALFILFILM_20050202.0740-CE40
CE3	ALFILFILM_20050202.0740-CE41
CE4	ALFILFILM_20050202.0740-CE42
CE6	ALFILFILM_20050202.0740-CE43
CE1	ALFILFILM_20050202.0740-CE44
CE7	ALFILFILM_20050202.0740-CE45
CE8	ALFILFILM_20050202.0740-CE46
E13	ALFILFILM_20050202.0740-E1
E33	ALFILFILM_20050202.0740-E2
E15	ALFILFILM_20050202.0740-E3
E16	ALFILFILM_20050202.0740-E4
E18	ALFILFILM_20050202.0740-E5
E19	ALFILFILM_20050202.0740-E6
E20	ALFILFILM_20050202.0740-E7
E21	ALFILFILM_20050202.0740-E8
E22	ALFILFILM_20050202.0740-E9
E46	ALFILFILM_20050202.0740-E10
E24	ALFILFILM_20050202.0740-E11
E25	ALFILFILM_20050202.0740-E12
E26	ALFILFILM_20050202.0740-E13
E27	ALFILFILM_20050202.0740-E14
E28	ALFILFILM_20050202.0740-E15
E29	ALFILFILM_20050202.0740-E16
E74	ALFILFILM_20050202.0740-E17
E34	ALFILFILM_20050202.0740-E18
E36	ALFILFILM_20050202.0740-E19
E37	ALFILFILM_20050202.0740-E20
E38	ALFILFILM_20050202.0740-E21
E39	ALFILFILM_20050202.0740-E22
E41	ALFILFILM_20050202.0740-E23
E42	ALFILFILM_20050202.0740-E24
E87	ALFILFILM_20050202.0740-E25
E75	ALFILFILM_20050202.0740-E26
E44	ALFILFILM_20050202.0740-E27
E48	ALFILFILM_20050202.0740-E28
E49	ALFILFILM_20050202.0740-E29
E50	ALFILFILM_20050202.0740-E30
E92	ALFILFILM_20050202.0740-E31
E52	ALFILFILM_20050202.0740-E32
E53	ALFILFILM_20050202.0740-E33
E76	ALFILFILM_20050202.0740-E34
E54	ALFILFILM_20050202.0740-E35
E55	ALFILFILM_20050202.0740-E36
E56	ALFILFILM_20050202.0740-E37
E57	ALFILFILM_20050202.0740-E38
E58	ALFILFILM_20050202.0740-E39
E59	ALFILFILM_20050202.0740-E40
E60	ALFILFILM_20050202.0740-E41
E62	ALFILFILM_20050202.0740-E42
E63	ALFILFILM_20050202.0740-E43
E64	ALFILFILM_20050202.0740-E44
E65	ALFILFILM_20050202.0740-E45
E66	ALFILFILM_20050202.0740-E46
E67	ALFILFILM_20050202.0740-E47
E68	ALFILFILM_20050202.0740-E48
E69	ALFILFILM_20050202.0740-E49
E70	ALFILFILM_20050202.0740-E50
E88	ALFILFILM_20050202.0740-E51
E72	ALFILFILM_20050202.0740-E52
E73	ALFILFILM_20050202.0740-E53
E91	ALFILFILM_20050202.0740-E54
E85	ALFILFILM_20050202.0740-E55
E1	ALFILFILM_20050202.0740-E56
E2	ALFILFILM_20050202.0740-E57
E4	ALFILFILM_20050202.0740-E58
E31	ALFILFILM_20050202.0740-E59
E1	ALFILFILM_20050202.0740-E60
E86	ALFILFILM_20050202.0740-E61
E8	ALFILFILM_20050202.0740-E62
E9	ALFILFILM_20050202.0740-E63
