CE9	EBREAZ_20041212.0822-CE1
CE10	EBREAZ_20041212.0822-CE2
CE11	EBREAZ_20041212.0822-CE3
CE12	EBREAZ_20041212.0822-CE4
CE13	EBREAZ_20041212.0822-CE5
CE14	EBREAZ_20041212.0822-CE6
CE15	EBREAZ_20041212.0822-CE7
CE1	EBREAZ_20041212.0822-CE8
CE2	EBREAZ_20041212.0822-CE9
CE3	EBREAZ_20041212.0822-CE10
CE5	EBREAZ_20041212.0822-CE11
CE4	EBREAZ_20041212.0822-CE12
CE6	EBREAZ_20041212.0822-CE13
CE7	EBREAZ_20041212.0822-CE14
CE8	EBREAZ_20041212.0822-CE15
E9	EBREAZ_20041212.0822-E1
E10	EBREAZ_20041212.0822-E2
E11	EBREAZ_20041212.0822-E3
E12	EBREAZ_20041212.0822-E4
E14	EBREAZ_20041212.0822-E5
E15	EBREAZ_20041212.0822-E6
E16	EBREAZ_20041212.0822-E7
E1	EBREAZ_20041212.0822-E8
E21	EBREAZ_20041212.0822-E9
E2	EBREAZ_20041212.0822-E10
E3	EBREAZ_20041212.0822-E11
E4	EBREAZ_20041212.0822-E12
E5	EBREAZ_20041212.0822-E13
E6	EBREAZ_20041212.0822-E14
E7	EBREAZ_20041212.0822-E15
E8	EBREAZ_20041212.0822-E16
EM1	EBREAZ_20041212.0822-E8-1
EM25	EBREAZ_20041212.0822-E16-2
EM27	EBREAZ_20041212.0822-E16-3
EM28	EBREAZ_20041212.0822-E1-4
EM29	EBREAZ_20041212.0822-E16-5
EM30	EBREAZ_20041212.0822-E16-6
EM31	EBREAZ_20041212.0822-E16-7
EM32	EBREAZ_20041212.0822-E16-8
EM33	EBREAZ_20041212.0822-E16-9
EM34	EBREAZ_20041212.0822-E2-10
EM35	EBREAZ_20041212.0822-E3-11
EM38	EBREAZ_20041212.0822-E16-12
EM37	EBREAZ_20041212.0822-E15-13
EM39	EBREAZ_20041212.0822-E16-14
EM40	EBREAZ_20041212.0822-E4-15
EM69	EBREAZ_20041212.0822-E13-16
EM41	EBREAZ_20041212.0822-E16-17
EM42	EBREAZ_20041212.0822-E16-18
EM43	EBREAZ_20041212.0822-E15-19
EM44	EBREAZ_20041212.0822-E16-20
EM45	EBREAZ_20041212.0822-E15-21
EM46	EBREAZ_20041212.0822-E16-22
EM47	EBREAZ_20041212.0822-E16-23
EM48	EBREAZ_20041212.0822-E16-24
EM49	EBREAZ_20041212.0822-E5-25
EM50	EBREAZ_20041212.0822-E16-26
EM51	EBREAZ_20041212.0822-E5-27
EM52	EBREAZ_20041212.0822-E5-28
EM53	EBREAZ_20041212.0822-E5-29
EM54	EBREAZ_20041212.0822-E16-30
EM55	EBREAZ_20041212.0822-E4-31
EM56	EBREAZ_20041212.0822-E16-32
EM58	EBREAZ_20041212.0822-E16-33
EM57	EBREAZ_20041212.0822-E6-34
EM59	EBREAZ_20041212.0822-E16-35
EM60	EBREAZ_20041212.0822-E16-36
EM61	EBREAZ_20041212.0822-E16-37
EM62	EBREAZ_20041212.0822-E6-38
EM63	EBREAZ_20041212.0822-E6-39
EM64	EBREAZ_20041212.0822-E6-40
EM65	EBREAZ_20041212.0822-E6-41
EM66	EBREAZ_20041212.0822-E16-42
EM67	EBREAZ_20041212.0822-E7-43
EM21	EBREAZ_20041212.0822-E16-44
EM26	EBREAZ_20041212.0822-E16-45
EM36	EBREAZ_20041212.0822-E16-46
EM4	EBREAZ_20041212.0822-E9-47
EM68	EBREAZ_20041212.0822-E13-48
EM2	EBREAZ_20041212.0822-E8-49
EM3	EBREAZ_20041212.0822-E8-50
EM5	EBREAZ_20041212.0822-E10-51
EM6	EBREAZ_20041212.0822-E11-52
EM7	EBREAZ_20041212.0822-E11-53
EM8	EBREAZ_20041212.0822-E10-54
EM10	EBREAZ_20041212.0822-E12-55
EM9	EBREAZ_20041212.0822-E13-56
EM11	EBREAZ_20041212.0822-E10-57
EM12	EBREAZ_20041212.0822-E12-58
EM13	EBREAZ_20041212.0822-E13-59
EM15	EBREAZ_20041212.0822-E13-60
EM14	EBREAZ_20041212.0822-E12-61
EM16	EBREAZ_20041212.0822-E10-62
EM17	EBREAZ_20041212.0822-E10-63
EM18	EBREAZ_20041212.0822-E14-64
EM19	EBREAZ_20041212.0822-E15-65
EM20	EBREAZ_20041212.0822-E16-66
EM22	EBREAZ_20041212.0822-E16-67
EM23	EBREAZ_20041212.0822-E16-68
EM24	EBREAZ_20041212.0822-E16-69
R1	EBREAZ_20041212.0822-R1
R2	EBREAZ_20041212.0822-R2
R3	EBREAZ_20041212.0822-R3
R4	EBREAZ_20041212.0822-R4
RM1	EBREAZ_20041212.0822-R1-1
RM2	EBREAZ_20041212.0822-R1-2
RM3	EBREAZ_20041212.0822-R1-3
RM4	EBREAZ_20041212.0822-R4-1
Q1	EBREAZ_20041212.0822-T1
Q2	EBREAZ_20041212.0822-T2
