CE8	ALFILFILM_20050208.1659-CE1
CE9	ALFILFILM_20050208.1659-CE2
CE11	ALFILFILM_20050208.1659-CE3
CE12	ALFILFILM_20050208.1659-CE4
CE13	ALFILFILM_20050208.1659-CE5
CE14	ALFILFILM_20050208.1659-CE6
CE15	ALFILFILM_20050208.1659-CE7
CE16	ALFILFILM_20050208.1659-CE8
CE17	ALFILFILM_20050208.1659-CE9
CE18	ALFILFILM_20050208.1659-CE10
CE19	ALFILFILM_20050208.1659-CE11
CE20	ALFILFILM_20050208.1659-CE12
CE1	ALFILFILM_20050208.1659-CE13
CE21	ALFILFILM_20050208.1659-CE14
CE23	ALFILFILM_20050208.1659-CE15
CE24	ALFILFILM_20050208.1659-CE16
CE25	ALFILFILM_20050208.1659-CE17
CE26	ALFILFILM_20050208.1659-CE18
CE10	ALFILFILM_20050208.1659-CE19
CE22	ALFILFILM_20050208.1659-CE20
CE2	ALFILFILM_20050208.1659-CE21
CE3	ALFILFILM_20050208.1659-CE22
CE4	ALFILFILM_20050208.1659-CE23
CE5	ALFILFILM_20050208.1659-CE24
CE6	ALFILFILM_20050208.1659-CE25
CE7	ALFILFILM_20050208.1659-CE26
E11	ALFILFILM_20050208.1659-E1
E12	ALFILFILM_20050208.1659-E2
E13	ALFILFILM_20050208.1659-E3
E14	ALFILFILM_20050208.1659-E4
E15	ALFILFILM_20050208.1659-E5
E16	ALFILFILM_20050208.1659-E6
E17	ALFILFILM_20050208.1659-E7
E1	ALFILFILM_20050208.1659-E8
E18	ALFILFILM_20050208.1659-E9
E19	ALFILFILM_20050208.1659-E10
E20	ALFILFILM_20050208.1659-E11
E21	ALFILFILM_20050208.1659-E12
E22	ALFILFILM_20050208.1659-E13
E23	ALFILFILM_20050208.1659-E14
E24	ALFILFILM_20050208.1659-E15
E25	ALFILFILM_20050208.1659-E16
E26	ALFILFILM_20050208.1659-E17
E27	ALFILFILM_20050208.1659-E18
E28	ALFILFILM_20050208.1659-E19
E29	ALFILFILM_20050208.1659-E20
E30	ALFILFILM_20050208.1659-E21
E2	ALFILFILM_20050208.1659-E22
E40	ALFILFILM_20050208.1659-E23
E32	ALFILFILM_20050208.1659-E24
E39	ALFILFILM_20050208.1659-E25
E3	ALFILFILM_20050208.1659-E26
E4	ALFILFILM_20050208.1659-E27
E5	ALFILFILM_20050208.1659-E28
E6	ALFILFILM_20050208.1659-E29
E7	ALFILFILM_20050208.1659-E30
E8	ALFILFILM_20050208.1659-E31
E9	ALFILFILM_20050208.1659-E32
E10	ALFILFILM_20050208.1659-E33
EM1	ALFILFILM_20050208.1659-E22-1
EM24	ALFILFILM_20050208.1659-E8-2
EM25	ALFILFILM_20050208.1659-E8-3
EM26	ALFILFILM_20050208.1659-E8-4
EM27	ALFILFILM_20050208.1659-E8-5
EM29	ALFILFILM_20050208.1659-E8-6
EM28	ALFILFILM_20050208.1659-E32-7
EM23	ALFILFILM_20050208.1659-E32-8
EM32	ALFILFILM_20050208.1659-E32-9
EM30	ALFILFILM_20050208.1659-E32-10
EM31	ALFILFILM_20050208.1659-E32-11
EM33	ALFILFILM_20050208.1659-E32-12
EM34	ALFILFILM_20050208.1659-E32-13
EM35	ALFILFILM_20050208.1659-E32-14
EM36	ALFILFILM_20050208.1659-E32-15
EM38	ALFILFILM_20050208.1659-E32-16
EM37	ALFILFILM_20050208.1659-E32-17
EM39	ALFILFILM_20050208.1659-E1-18
EM40	ALFILFILM_20050208.1659-E1-19
EM41	ALFILFILM_20050208.1659-E32-20
EM43	ALFILFILM_20050208.1659-E32-21
EM42	ALFILFILM_20050208.1659-E32-22
EM44	ALFILFILM_20050208.1659-E32-23
EM45	ALFILFILM_20050208.1659-E32-24
EM46	ALFILFILM_20050208.1659-E32-25
EM47	ALFILFILM_20050208.1659-E32-26
EM49	ALFILFILM_20050208.1659-E32-27
EM48	ALFILFILM_20050208.1659-E32-28
EM50	ALFILFILM_20050208.1659-E2-29
EM51	ALFILFILM_20050208.1659-E2-30
EM52	ALFILFILM_20050208.1659-E8-31
EM53	ALFILFILM_20050208.1659-E8-32
EM54	ALFILFILM_20050208.1659-E8-33
EM55	ALFILFILM_20050208.1659-E8-34
EM57	ALFILFILM_20050208.1659-E32-35
EM58	ALFILFILM_20050208.1659-E32-36
EM59	ALFILFILM_20050208.1659-E2-37
EM60	ALFILFILM_20050208.1659-E32-38
EM65	ALFILFILM_20050208.1659-E3-39
EM66	ALFILFILM_20050208.1659-E8-40
EM67	ALFILFILM_20050208.1659-E29-41
EM69	ALFILFILM_20050208.1659-E28-42
EM71	ALFILFILM_20050208.1659-E4-43
EM70	ALFILFILM_20050208.1659-E5-44
EM72	ALFILFILM_20050208.1659-E8-45
EM73	ALFILFILM_20050208.1659-E8-46
EM74	ALFILFILM_20050208.1659-E8-47
EM76	ALFILFILM_20050208.1659-E8-48
EM75	ALFILFILM_20050208.1659-E6-49
EM77	ALFILFILM_20050208.1659-E7-50
EM79	ALFILFILM_20050208.1659-E8-51
EM81	ALFILFILM_20050208.1659-E32-52
EM80	ALFILFILM_20050208.1659-E32-53
EM83	ALFILFILM_20050208.1659-E32-54
EM82	ALFILFILM_20050208.1659-E30-55
EM84	ALFILFILM_20050208.1659-E30-56
EM85	ALFILFILM_20050208.1659-E32-57
EM86	ALFILFILM_20050208.1659-E9-58
EM87	ALFILFILM_20050208.1659-E10-59
EM89	ALFILFILM_20050208.1659-E30-60
EM90	ALFILFILM_20050208.1659-E11-61
EM91	ALFILFILM_20050208.1659-E30-62
EM92	ALFILFILM_20050208.1659-E12-63
EM93	ALFILFILM_20050208.1659-E13-64
EM94	ALFILFILM_20050208.1659-E14-65
EM95	ALFILFILM_20050208.1659-E15-66
EM96	ALFILFILM_20050208.1659-E10-67
EM97	ALFILFILM_20050208.1659-E16-68
EM98	ALFILFILM_20050208.1659-E32-69
EM99	ALFILFILM_20050208.1659-E32-70
EM100	ALFILFILM_20050208.1659-E11-71
EM101	ALFILFILM_20050208.1659-E11-72
EM102	ALFILFILM_20050208.1659-E32-73
EM103	ALFILFILM_20050208.1659-E32-74
EM104	ALFILFILM_20050208.1659-E8-75
EM105	ALFILFILM_20050208.1659-E8-76
EM106	ALFILFILM_20050208.1659-E8-77
EM107	ALFILFILM_20050208.1659-E8-78
EM108	ALFILFILM_20050208.1659-E8-79
EM109	ALFILFILM_20050208.1659-E8-80
EM111	ALFILFILM_20050208.1659-E8-81
EM113	ALFILFILM_20050208.1659-E8-82
EM114	ALFILFILM_20050208.1659-E8-83
EM115	ALFILFILM_20050208.1659-E8-84
EM116	ALFILFILM_20050208.1659-E17-85
EM117	ALFILFILM_20050208.1659-E18-86
EM119	ALFILFILM_20050208.1659-E17-87
EM120	ALFILFILM_20050208.1659-E8-88
EM118	ALFILFILM_20050208.1659-E8-89
EM122	ALFILFILM_20050208.1659-E8-90
EM124	ALFILFILM_20050208.1659-E8-91
EM121	ALFILFILM_20050208.1659-E17-92
EM123	ALFILFILM_20050208.1659-E17-93
EM125	ALFILFILM_20050208.1659-E17-94
EM126	ALFILFILM_20050208.1659-E8-95
EM137	ALFILFILM_20050208.1659-E8-96
EM128	ALFILFILM_20050208.1659-E8-97
EM129	ALFILFILM_20050208.1659-E19-98
EM130	ALFILFILM_20050208.1659-E20-99
EM131	ALFILFILM_20050208.1659-E21-100
EM132	ALFILFILM_20050208.1659-E27-101
EM133	ALFILFILM_20050208.1659-E27-102
EM134	ALFILFILM_20050208.1659-E8-103
EM135	ALFILFILM_20050208.1659-E32-104
EM138	ALFILFILM_20050208.1659-E23-105
EM56	ALFILFILM_20050208.1659-E24-106
EM62	ALFILFILM_20050208.1659-E24-107
EM63	ALFILFILM_20050208.1659-E24-108
EM64	ALFILFILM_20050208.1659-E24-109
EM112	ALFILFILM_20050208.1659-E25-110
