CE5	ALFILFILM_20050226.1400-CE1
CE6	ALFILFILM_20050226.1400-CE2
CE7	ALFILFILM_20050226.1400-CE3
CE9	ALFILFILM_20050226.1400-CE4
CE10	ALFILFILM_20050226.1400-CE5
CE11	ALFILFILM_20050226.1400-CE6
CE12	ALFILFILM_20050226.1400-CE7
CE13	ALFILFILM_20050226.1400-CE8
CE15	ALFILFILM_20050226.1400-CE9
CE16	ALFILFILM_20050226.1400-CE10
CE17	ALFILFILM_20050226.1400-CE11
CE18	ALFILFILM_20050226.1400-CE12
CE19	ALFILFILM_20050226.1400-CE13
CE20	ALFILFILM_20050226.1400-CE14
CE21	ALFILFILM_20050226.1400-CE15
CE22	ALFILFILM_20050226.1400-CE16
CE23	ALFILFILM_20050226.1400-CE17
CE2	ALFILFILM_20050226.1400-CE18
CE24	ALFILFILM_20050226.1400-CE19
CE25	ALFILFILM_20050226.1400-CE20
CE26	ALFILFILM_20050226.1400-CE21
CE27	ALFILFILM_20050226.1400-CE22
CE28	ALFILFILM_20050226.1400-CE23
CE14	ALFILFILM_20050226.1400-CE24
CE32	ALFILFILM_20050226.1400-CE25
CE33	ALFILFILM_20050226.1400-CE26
CE34	ALFILFILM_20050226.1400-CE27
CE35	ALFILFILM_20050226.1400-CE28
CE37	ALFILFILM_20050226.1400-CE29
CE38	ALFILFILM_20050226.1400-CE30
CE31	ALFILFILM_20050226.1400-CE31
CE29	ALFILFILM_20050226.1400-CE32
CE30	ALFILFILM_20050226.1400-CE33
CE39	ALFILFILM_20050226.1400-CE34
CE36	ALFILFILM_20050226.1400-CE35
CE8	ALFILFILM_20050226.1400-CE36
CE1	ALFILFILM_20050226.1400-CE37
CE3	ALFILFILM_20050226.1400-CE38
CE4	ALFILFILM_20050226.1400-CE39
E15	ALFILFILM_20050226.1400-E1
E16	ALFILFILM_20050226.1400-E2
E17	ALFILFILM_20050226.1400-E3
E18	ALFILFILM_20050226.1400-E4
E19	ALFILFILM_20050226.1400-E5
E20	ALFILFILM_20050226.1400-E6
E21	ALFILFILM_20050226.1400-E7
E22	ALFILFILM_20050226.1400-E8
E23	ALFILFILM_20050226.1400-E9
E24	ALFILFILM_20050226.1400-E10
E25	ALFILFILM_20050226.1400-E11
E26	ALFILFILM_20050226.1400-E12
E27	ALFILFILM_20050226.1400-E13
E28	ALFILFILM_20050226.1400-E14
E1	ALFILFILM_20050226.1400-E15
E29	ALFILFILM_20050226.1400-E16
E30	ALFILFILM_20050226.1400-E17
E31	ALFILFILM_20050226.1400-E18
E32	ALFILFILM_20050226.1400-E19
E33	ALFILFILM_20050226.1400-E20
E34	ALFILFILM_20050226.1400-E21
E35	ALFILFILM_20050226.1400-E22
E36	ALFILFILM_20050226.1400-E23
E37	ALFILFILM_20050226.1400-E24
E38	ALFILFILM_20050226.1400-E25
E56	ALFILFILM_20050226.1400-E26
E41	ALFILFILM_20050226.1400-E27
E42	ALFILFILM_20050226.1400-E28
E43	ALFILFILM_20050226.1400-E29
E44	ALFILFILM_20050226.1400-E30
E45	ALFILFILM_20050226.1400-E31
E47	ALFILFILM_20050226.1400-E32
E49	ALFILFILM_20050226.1400-E33
E51	ALFILFILM_20050226.1400-E34
E71	ALFILFILM_20050226.1400-E35
E53	ALFILFILM_20050226.1400-E36
E54	ALFILFILM_20050226.1400-E37
E72	ALFILFILM_20050226.1400-E38
E59	ALFILFILM_20050226.1400-E39
E60	ALFILFILM_20050226.1400-E40
E65	ALFILFILM_20050226.1400-E41
E69	ALFILFILM_20050226.1400-E42
E3	ALFILFILM_20050226.1400-E43
E4	ALFILFILM_20050226.1400-E44
E7	ALFILFILM_20050226.1400-E45
E8	ALFILFILM_20050226.1400-E46
E11	ALFILFILM_20050226.1400-E47
E12	ALFILFILM_20050226.1400-E48
E14	ALFILFILM_20050226.1400-E49
EM1	ALFILFILM_20050226.1400-E15-1
EM16	ALFILFILM_20050226.1400-E2-2
EM17	ALFILFILM_20050226.1400-E3-3
EM18	ALFILFILM_20050226.1400-E4-4
EM20	ALFILFILM_20050226.1400-E15-5
EM19	ALFILFILM_20050226.1400-E15-6
EM21	ALFILFILM_20050226.1400-E3-7
EM22	ALFILFILM_20050226.1400-E3-8
EM24	ALFILFILM_20050226.1400-E5-9
EM25	ALFILFILM_20050226.1400-E6-10
EM26	ALFILFILM_20050226.1400-E7-11
EM27	ALFILFILM_20050226.1400-E7-12
EM28	ALFILFILM_20050226.1400-E8-13
EM31	ALFILFILM_20050226.1400-E9-14
EM32	ALFILFILM_20050226.1400-E7-15
EM33	ALFILFILM_20050226.1400-E7-16
EM34	ALFILFILM_20050226.1400-E7-17
EM36	ALFILFILM_20050226.1400-E7-18
EM38	ALFILFILM_20050226.1400-E7-19
EM37	ALFILFILM_20050226.1400-E10-20
EM39	ALFILFILM_20050226.1400-E7-21
EM42	ALFILFILM_20050226.1400-E11-22
EM41	ALFILFILM_20050226.1400-E7-23
EM40	ALFILFILM_20050226.1400-E12-24
EM43	ALFILFILM_20050226.1400-E7-25
EM44	ALFILFILM_20050226.1400-E7-26
EM45	ALFILFILM_20050226.1400-E7-27
EM46	ALFILFILM_20050226.1400-E7-28
EM49	ALFILFILM_20050226.1400-E7-29
EM47	ALFILFILM_20050226.1400-E13-30
EM48	ALFILFILM_20050226.1400-E13-31
EM51	ALFILFILM_20050226.1400-E7-32
EM50	ALFILFILM_20050226.1400-E9-33
EM52	ALFILFILM_20050226.1400-E7-34
EM53	ALFILFILM_20050226.1400-E7-35
EM136	ALFILFILM_20050226.1400-E41-36
EM55	ALFILFILM_20050226.1400-E14-37
EM56	ALFILFILM_20050226.1400-E9-38
EM57	ALFILFILM_20050226.1400-E9-39
EM58	ALFILFILM_20050226.1400-E14-40
EM60	ALFILFILM_20050226.1400-E7-41
EM61	ALFILFILM_20050226.1400-E9-42
EM63	ALFILFILM_20050226.1400-E7-43
EM62	ALFILFILM_20050226.1400-E9-44
EM64	ALFILFILM_20050226.1400-E9-45
EM65	ALFILFILM_20050226.1400-E9-46
EM66	ALFILFILM_20050226.1400-E14-47
EM67	ALFILFILM_20050226.1400-E7-48
EM68	ALFILFILM_20050226.1400-E14-49
EM69	ALFILFILM_20050226.1400-E16-50
EM70	ALFILFILM_20050226.1400-E17-51
EM71	ALFILFILM_20050226.1400-E8-52
EM73	ALFILFILM_20050226.1400-E17-53
EM72	ALFILFILM_20050226.1400-E18-54
EM74	ALFILFILM_20050226.1400-E16-55
EM75	ALFILFILM_20050226.1400-E16-56
EM76	ALFILFILM_20050226.1400-E19-57
EM77	ALFILFILM_20050226.1400-E16-58
EM78	ALFILFILM_20050226.1400-E16-59
EM79	ALFILFILM_20050226.1400-E9-60
EM80	ALFILFILM_20050226.1400-E7-61
EM82	ALFILFILM_20050226.1400-E19-62
EM83	ALFILFILM_20050226.1400-E7-63
EM84	ALFILFILM_20050226.1400-E7-64
EM85	ALFILFILM_20050226.1400-E7-65
EM86	ALFILFILM_20050226.1400-E7-66
EM87	ALFILFILM_20050226.1400-E7-67
EM88	ALFILFILM_20050226.1400-E20-68
EM90	ALFILFILM_20050226.1400-E9-69
EM91	ALFILFILM_20050226.1400-E9-70
EM92	ALFILFILM_20050226.1400-E3-71
EM93	ALFILFILM_20050226.1400-E21-72
EM94	ALFILFILM_20050226.1400-E22-73
EM95	ALFILFILM_20050226.1400-E22-74
EM96	ALFILFILM_20050226.1400-E23-75
EM97	ALFILFILM_20050226.1400-E23-76
EM98	ALFILFILM_20050226.1400-E24-77
EM99	ALFILFILM_20050226.1400-E24-78
EM100	ALFILFILM_20050226.1400-E9-79
EM101	ALFILFILM_20050226.1400-E25-80
EM35	ALFILFILM_20050226.1400-E26-81
EM59	ALFILFILM_20050226.1400-E9-82
EM108	ALFILFILM_20050226.1400-E9-83
EM107	ALFILFILM_20050226.1400-E9-84
EM109	ALFILFILM_20050226.1400-E3-85
EM110	ALFILFILM_20050226.1400-E9-86
EM112	ALFILFILM_20050226.1400-E27-87
EM113	ALFILFILM_20050226.1400-E28-88
EM188	ALFILFILM_20050226.1400-E42-89
EM115	ALFILFILM_20050226.1400-E29-90
EM117	ALFILFILM_20050226.1400-E29-91
EM2	ALFILFILM_20050226.1400-E15-92
EM116	ALFILFILM_20050226.1400-E9-93
EM119	ALFILFILM_20050226.1400-E9-94
EM120	ALFILFILM_20050226.1400-E9-95
EM122	ALFILFILM_20050226.1400-E9-96
EM123	ALFILFILM_20050226.1400-E9-97
EM121	ALFILFILM_20050226.1400-E6-98
EM118	ALFILFILM_20050226.1400-E29-99
EM125	ALFILFILM_20050226.1400-E30-100
EM126	ALFILFILM_20050226.1400-E9-101
EM127	ALFILFILM_20050226.1400-E30-102
EM128	ALFILFILM_20050226.1400-E31-103
EM129	ALFILFILM_20050226.1400-E9-104
EM130	ALFILFILM_20050226.1400-E9-105
EM131	ALFILFILM_20050226.1400-E9-106
EM132	ALFILFILM_20050226.1400-E30-107
EM133	ALFILFILM_20050226.1400-E9-108
EM135	ALFILFILM_20050226.1400-E41-109
EM81	ALFILFILM_20050226.1400-E16-110
EM5	ALFILFILM_20050226.1400-E15-111
EM137	ALFILFILM_20050226.1400-E32-112
EM138	ALFILFILM_20050226.1400-E9-113
EM139	ALFILFILM_20050226.1400-E9-114
EM140	ALFILFILM_20050226.1400-E7-115
EM154	ALFILFILM_20050226.1400-E30-116
EM141	ALFILFILM_20050226.1400-E7-117
EM142	ALFILFILM_20050226.1400-E9-118
EM143	ALFILFILM_20050226.1400-E9-119
EM144	ALFILFILM_20050226.1400-E9-120
EM145	ALFILFILM_20050226.1400-E7-121
EM146	ALFILFILM_20050226.1400-E9-122
