CE13	ENSANKHORDA_20041118.1417-CE1
CE2	ENSANKHORDA_20041118.1417-CE2
CE15	ENSANKHORDA_20041118.1417-CE3
CE17	ENSANKHORDA_20041118.1417-CE4
CE18	ENSANKHORDA_20041118.1417-CE5
CE19	ENSANKHORDA_20041118.1417-CE6
CE20	ENSANKHORDA_20041118.1417-CE7
CE21	ENSANKHORDA_20041118.1417-CE8
CE27	ENSANKHORDA_20041118.1417-CE9
CE24	ENSANKHORDA_20041118.1417-CE10
CE25	ENSANKHORDA_20041118.1417-CE11
CE26	ENSANKHORDA_20041118.1417-CE12
CE7	ENSANKHORDA_20041118.1417-CE13
CE14	ENSANKHORDA_20041118.1417-CE14
CE22	ENSANKHORDA_20041118.1417-CE15
CE3	ENSANKHORDA_20041118.1417-CE16
CE23	ENSANKHORDA_20041118.1417-CE17
CE5	ENSANKHORDA_20041118.1417-CE18
CE6	ENSANKHORDA_20041118.1417-CE19
CE16	ENSANKHORDA_20041118.1417-CE20
CE4	ENSANKHORDA_20041118.1417-CE21
CE8	ENSANKHORDA_20041118.1417-CE22
CE10	ENSANKHORDA_20041118.1417-CE23
CE11	ENSANKHORDA_20041118.1417-CE24
CE12	ENSANKHORDA_20041118.1417-CE25
CE9	ENSANKHORDA_20041118.1417-CE26
CE1	ENSANKHORDA_20041118.1417-CE27
E15	ENSANKHORDA_20041118.1417-E1
E17	ENSANKHORDA_20041118.1417-E2
E19	ENSANKHORDA_20041118.1417-E3
E20	ENSANKHORDA_20041118.1417-E4
E21	ENSANKHORDA_20041118.1417-E5
E22	ENSANKHORDA_20041118.1417-E6
E24	ENSANKHORDA_20041118.1417-E7
E25	ENSANKHORDA_20041118.1417-E8
E26	ENSANKHORDA_20041118.1417-E9
E1	ENSANKHORDA_20041118.1417-E10
E30	ENSANKHORDA_20041118.1417-E11
E51	ENSANKHORDA_20041118.1417-E12
E31	ENSANKHORDA_20041118.1417-E13
E32	ENSANKHORDA_20041118.1417-E14
E33	ENSANKHORDA_20041118.1417-E15
E34	ENSANKHORDA_20041118.1417-E16
E41	ENSANKHORDA_20041118.1417-E17
E43	ENSANKHORDA_20041118.1417-E18
E44	ENSANKHORDA_20041118.1417-E19
E45	ENSANKHORDA_20041118.1417-E20
E46	ENSANKHORDA_20041118.1417-E21
E50	ENSANKHORDA_20041118.1417-E22
E2	ENSANKHORDA_20041118.1417-E23
E4	ENSANKHORDA_20041118.1417-E24
E6	ENSANKHORDA_20041118.1417-E25
E7	ENSANKHORDA_20041118.1417-E26
E8	ENSANKHORDA_20041118.1417-E27
E9	ENSANKHORDA_20041118.1417-E28
E11	ENSANKHORDA_20041118.1417-E29
EM1	ENSANKHORDA_20041118.1417-E10-1
EM21	ENSANKHORDA_20041118.1417-E25-2
EM28	ENSANKHORDA_20041118.1417-E23-3
EM24	ENSANKHORDA_20041118.1417-E27-4
EM72	ENSANKHORDA_20041118.1417-E1-5
EM30	ENSANKHORDA_20041118.1417-E1-6
EM33	ENSANKHORDA_20041118.1417-E1-7
EM32	ENSANKHORDA_20041118.1417-E2-8
EM34	ENSANKHORDA_20041118.1417-E3-9
EM36	ENSANKHORDA_20041118.1417-E4-10
EM37	ENSANKHORDA_20041118.1417-E3-11
EM38	ENSANKHORDA_20041118.1417-E1-12
EM39	ENSANKHORDA_20041118.1417-E1-13
EM40	ENSANKHORDA_20041118.1417-E1-14
EM44	ENSANKHORDA_20041118.1417-E5-15
EM45	ENSANKHORDA_20041118.1417-E6-16
EM43	ENSANKHORDA_20041118.1417-E5-17
EM35	ENSANKHORDA_20041118.1417-E17-18
EM48	ENSANKHORDA_20041118.1417-E23-19
EM49	ENSANKHORDA_20041118.1417-E7-20
EM50	ENSANKHORDA_20041118.1417-E7-21
EM51	ENSANKHORDA_20041118.1417-E7-22
EM52	ENSANKHORDA_20041118.1417-E8-23
EM53	ENSANKHORDA_20041118.1417-E23-24
EM54	ENSANKHORDA_20041118.1417-E23-25
EM56	ENSANKHORDA_20041118.1417-E8-26
EM55	ENSANKHORDA_20041118.1417-E23-27
EM58	ENSANKHORDA_20041118.1417-E9-28
EM57	ENSANKHORDA_20041118.1417-E9-29
EM69	ENSANKHORDA_20041118.1417-E11-30
EM59	ENSANKHORDA_20041118.1417-E1-31
EM60	ENSANKHORDA_20041118.1417-E1-32
EM61	ENSANKHORDA_20041118.1417-E1-33
EM62	ENSANKHORDA_20041118.1417-E24-34
EM81	ENSANKHORDA_20041118.1417-E12-35
EM66	ENSANKHORDA_20041118.1417-E23-36
EM70	ENSANKHORDA_20041118.1417-E28-37
EM71	ENSANKHORDA_20041118.1417-E11-38
EM76	ENSANKHORDA_20041118.1417-E23-39
EM78	ENSANKHORDA_20041118.1417-E13-40
EM79	ENSANKHORDA_20041118.1417-E14-41
EM80	ENSANKHORDA_20041118.1417-E15-42
EM26	ENSANKHORDA_20041118.1417-E16-43
EM27	ENSANKHORDA_20041118.1417-E16-44
EM47	ENSANKHORDA_20041118.1417-E7-45
EM64	ENSANKHORDA_20041118.1417-E23-46
EM29	ENSANKHORDA_20041118.1417-E23-47
EM31	ENSANKHORDA_20041118.1417-E17-48
EM73	ENSANKHORDA_20041118.1417-E18-49
EM74	ENSANKHORDA_20041118.1417-E19-50
EM4	ENSANKHORDA_20041118.1417-E20-51
EM5	ENSANKHORDA_20041118.1417-E21-52
EM10	ENSANKHORDA_20041118.1417-E10-53
EM41	ENSANKHORDA_20041118.1417-E22-54
EM12	ENSANKHORDA_20041118.1417-E23-55
EM14	ENSANKHORDA_20041118.1417-E28-56
EM13	ENSANKHORDA_20041118.1417-E28-57
EM18	ENSANKHORDA_20041118.1417-E23-58
EM8	ENSANKHORDA_20041118.1417-E16-59
EM42	ENSANKHORDA_20041118.1417-E23-60
EM77	ENSANKHORDA_20041118.1417-E23-61
EM20	ENSANKHORDA_20041118.1417-E16-62
EM2	ENSANKHORDA_20041118.1417-E10-63
EM3	ENSANKHORDA_20041118.1417-E23-64
EM6	ENSANKHORDA_20041118.1417-E23-65
EM7	ENSANKHORDA_20041118.1417-E23-66
EM11	ENSANKHORDA_20041118.1417-E24-67
EM63	ENSANKHORDA_20041118.1417-E28-68
EM65	ENSANKHORDA_20041118.1417-E28-69
EM68	ENSANKHORDA_20041118.1417-E28-70
EM19	ENSANKHORDA_20041118.1417-E24-71
EM67	ENSANKHORDA_20041118.1417-E28-72
EM22	ENSANKHORDA_20041118.1417-E25-73
EM23	ENSANKHORDA_20041118.1417-E26-74
EM25	ENSANKHORDA_20041118.1417-E27-75
EM9	ENSANKHORDA_20041118.1417-E10-76
EM15	ENSANKHORDA_20041118.1417-E29-77
EM16	ENSANKHORDA_20041118.1417-E28-78
EM17	ENSANKHORDA_20041118.1417-E23-79
R3	ENSANKHORDA_20041118.1417-R1
R1	ENSANKHORDA_20041118.1417-R2
R2	ENSANKHORDA_20041118.1417-R3
R5	ENSANKHORDA_20041118.1417-R4
RM5	ENSANKHORDA_20041118.1417-R4-1
RM1	ENSANKHORDA_20041118.1417-R2-1
RM2	ENSANKHORDA_20041118.1417-R3-1
RM3	ENSANKHORDA_20041118.1417-R1-1
V7	ENSANKHORDA_20041118.1417-EV1
V5	ENSANKHORDA_20041118.1417-EV2
V1	ENSANKHORDA_20041118.1417-EV3
V3	ENSANKHORDA_20041118.1417-EV4
V2	ENSANKHORDA_20041118.1417-EV5
V4	ENSANKHORDA_20041118.1417-EV6
V6	ENSANKHORDA_20041118.1417-EV7
V8	ENSANKHORDA_20041118.1417-EV8
V9	ENSANKHORDA_20041118.1417-EV9
VM7	ENSANKHORDA_20041118.1417-EV1-1
VM5	ENSANKHORDA_20041118.1417-EV2-1
VM1	ENSANKHORDA_20041118.1417-EV3-1
VM3	ENSANKHORDA_20041118.1417-EV4-1
VM2	ENSANKHORDA_20041118.1417-EV5-1
VM4	ENSANKHORDA_20041118.1417-EV6-1
VM6	ENSANKHORDA_20041118.1417-EV7-1
VM8	ENSANKHORDA_20041118.1417-EV8-1
VM9	ENSANKHORDA_20041118.1417-EV9-1
Q3	ENSANKHORDA_20041118.1417-T1
Q4	ENSANKHORDA_20041118.1417-T2
Q1	ENSANKHORDA_20041118.1417-T3
Q2	ENSANKHORDA_20041118.1417-T4
