CE3	HADOUTA_20041227.1645-CE1
CE1	HADOUTA_20041227.1645-CE2
CE2	HADOUTA_20041227.1645-CE3
CE4	HADOUTA_20041227.1645-CE4
E5	HADOUTA_20041227.1645-E1
E1	HADOUTA_20041227.1645-E2
E2	HADOUTA_20041227.1645-E3
E4	HADOUTA_20041227.1645-E4
EM1	HADOUTA_20041227.1645-E2-1
EM31	HADOUTA_20041227.1645-E1-2
EM32	HADOUTA_20041227.1645-E1-3
EM34	HADOUTA_20041227.1645-E2-4
EM35	HADOUTA_20041227.1645-E4-5
EM36	HADOUTA_20041227.1645-E4-6
EM37	HADOUTA_20041227.1645-E4-7
EM38	HADOUTA_20041227.1645-E4-8
EM39	HADOUTA_20041227.1645-E1-9
EM40	HADOUTA_20041227.1645-E2-10
EM6	HADOUTA_20041227.1645-E3-11
EM7	HADOUTA_20041227.1645-E1-12
EM24	HADOUTA_20041227.1645-E4-13
EM33	HADOUTA_20041227.1645-E1-14
EM9	HADOUTA_20041227.1645-E1-15
EM8	HADOUTA_20041227.1645-E2-16
EM10	HADOUTA_20041227.1645-E1-17
EM11	HADOUTA_20041227.1645-E1-18
EM12	HADOUTA_20041227.1645-E1-19
EM14	HADOUTA_20041227.1645-E1-20
EM2	HADOUTA_20041227.1645-E2-21
EM3	HADOUTA_20041227.1645-E3-22
EM4	HADOUTA_20041227.1645-E3-23
EM5	HADOUTA_20041227.1645-E3-24
EM41	HADOUTA_20041227.1645-E2-25
EM13	HADOUTA_20041227.1645-E2-26
EM15	HADOUTA_20041227.1645-E1-27
EM16	HADOUTA_20041227.1645-E1-28
EM17	HADOUTA_20041227.1645-E1-29
EM18	HADOUTA_20041227.1645-E1-30
EM19	HADOUTA_20041227.1645-E1-31
EM20	HADOUTA_20041227.1645-E1-32
EM21	HADOUTA_20041227.1645-E1-33
EM22	HADOUTA_20041227.1645-E4-34
EM23	HADOUTA_20041227.1645-E4-35
EM25	HADOUTA_20041227.1645-E1-36
EM26	HADOUTA_20041227.1645-E1-37
EM27	HADOUTA_20041227.1645-E1-38
EM28	HADOUTA_20041227.1645-E1-39
EM29	HADOUTA_20041227.1645-E1-40
EM30	HADOUTA_20041227.1645-E1-41
V1	HADOUTA_20041227.1645-EV1
VM1	HADOUTA_20041227.1645-EV1-1
Q1	HADOUTA_20041227.1645-T1
Q2	HADOUTA_20041227.1645-T2
