CE9	EBREAZ_20041125.0450-CE1
CE10	EBREAZ_20041125.0450-CE2
CE11	EBREAZ_20041125.0450-CE3
CE14	EBREAZ_20041125.0450-CE4
CE15	EBREAZ_20041125.0450-CE5
CE3	EBREAZ_20041125.0450-CE6
CE16	EBREAZ_20041125.0450-CE7
CE13	EBREAZ_20041125.0450-CE8
CE17	EBREAZ_20041125.0450-CE9
CE18	EBREAZ_20041125.0450-CE10
CE19	EBREAZ_20041125.0450-CE11
CE2	EBREAZ_20041125.0450-CE12
CE1	EBREAZ_20041125.0450-CE13
CE7	EBREAZ_20041125.0450-CE14
CE20	EBREAZ_20041125.0450-CE15
CE4	EBREAZ_20041125.0450-CE16
CE5	EBREAZ_20041125.0450-CE17
CE6	EBREAZ_20041125.0450-CE18
CE12	EBREAZ_20041125.0450-CE19
CE8	EBREAZ_20041125.0450-CE20
E10	EBREAZ_20041125.0450-E1
E11	EBREAZ_20041125.0450-E2
E12	EBREAZ_20041125.0450-E3
E14	EBREAZ_20041125.0450-E4
E15	EBREAZ_20041125.0450-E5
E33	EBREAZ_20041125.0450-E6
E17	EBREAZ_20041125.0450-E7
E19	EBREAZ_20041125.0450-E8
E20	EBREAZ_20041125.0450-E9
E21	EBREAZ_20041125.0450-E10
E23	EBREAZ_20041125.0450-E11
E1	EBREAZ_20041125.0450-E12
E25	EBREAZ_20041125.0450-E13
E27	EBREAZ_20041125.0450-E14
E28	EBREAZ_20041125.0450-E15
E29	EBREAZ_20041125.0450-E16
E30	EBREAZ_20041125.0450-E17
E36	EBREAZ_20041125.0450-E18
E3	EBREAZ_20041125.0450-E19
E4	EBREAZ_20041125.0450-E20
E5	EBREAZ_20041125.0450-E21
E7	EBREAZ_20041125.0450-E22
E32	EBREAZ_20041125.0450-E23
E9	EBREAZ_20041125.0450-E24
EM23	EBREAZ_20041125.0450-E21-1
EM24	EBREAZ_20041125.0450-E21-2
EM25	EBREAZ_20041125.0450-E1-3
EM26	EBREAZ_20041125.0450-E21-4
EM27	EBREAZ_20041125.0450-E21-5
EM28	EBREAZ_20041125.0450-E21-6
EM29	EBREAZ_20041125.0450-E2-7
EM30	EBREAZ_20041125.0450-E2-8
EM31	EBREAZ_20041125.0450-E2-9
EM32	EBREAZ_20041125.0450-E2-10
EM34	EBREAZ_20041125.0450-E2-11
