CE7	DIGRESSING_20041101.1921-CE1
CE9	DIGRESSING_20041101.1921-CE2
CE10	DIGRESSING_20041101.1921-CE3
CE11	DIGRESSING_20041101.1921-CE4
CE12	DIGRESSING_20041101.1921-CE5
CE2	DIGRESSING_20041101.1921-CE6
CE13	DIGRESSING_20041101.1921-CE7
CE14	DIGRESSING_20041101.1921-CE8
CE17	DIGRESSING_20041101.1921-CE9
CE18	DIGRESSING_20041101.1921-CE10
CE21	DIGRESSING_20041101.1921-CE11
CE19	DIGRESSING_20041101.1921-CE12
CE22	DIGRESSING_20041101.1921-CE13
CE23	DIGRESSING_20041101.1921-CE14
CE24	DIGRESSING_20041101.1921-CE15
CE25	DIGRESSING_20041101.1921-CE16
CE3	DIGRESSING_20041101.1921-CE17
CE26	DIGRESSING_20041101.1921-CE18
CE27	DIGRESSING_20041101.1921-CE19
CE28	DIGRESSING_20041101.1921-CE20
CE29	DIGRESSING_20041101.1921-CE21
CE30	DIGRESSING_20041101.1921-CE22
CE31	DIGRESSING_20041101.1921-CE23
CE32	DIGRESSING_20041101.1921-CE24
CE33	DIGRESSING_20041101.1921-CE25
CE34	DIGRESSING_20041101.1921-CE26
CE35	DIGRESSING_20041101.1921-CE27
CE36	DIGRESSING_20041101.1921-CE28
CE37	DIGRESSING_20041101.1921-CE29
CE38	DIGRESSING_20041101.1921-CE30
CE16	DIGRESSING_20041101.1921-CE31
CE1	DIGRESSING_20041101.1921-CE32
CE8	DIGRESSING_20041101.1921-CE33
CE15	DIGRESSING_20041101.1921-CE34
CE4	DIGRESSING_20041101.1921-CE35
CE5	DIGRESSING_20041101.1921-CE36
CE6	DIGRESSING_20041101.1921-CE37
E5	DIGRESSING_20041101.1921-E1
E8	DIGRESSING_20041101.1921-E2
E9	DIGRESSING_20041101.1921-E3
E10	DIGRESSING_20041101.1921-E4
E11	DIGRESSING_20041101.1921-E5
E13	DIGRESSING_20041101.1921-E6
E14	DIGRESSING_20041101.1921-E7
E15	DIGRESSING_20041101.1921-E8
E16	DIGRESSING_20041101.1921-E9
