CE12	CNNHL_ENG_20030610_133347.7-CE1
CE13	CNNHL_ENG_20030610_133347.7-CE2
CE1	CNNHL_ENG_20030610_133347.7-CE3
CE2	CNNHL_ENG_20030610_133347.7-CE4
CE3	CNNHL_ENG_20030610_133347.7-CE5
CE4	CNNHL_ENG_20030610_133347.7-CE6
CE5	CNNHL_ENG_20030610_133347.7-CE7
CE6	CNNHL_ENG_20030610_133347.7-CE8
CE7	CNNHL_ENG_20030610_133347.7-CE9
CE8	CNNHL_ENG_20030610_133347.7-CE10
CE9	CNNHL_ENG_20030610_133347.7-CE11
CE10	CNNHL_ENG_20030610_133347.7-CE12
E12	CNNHL_ENG_20030610_133347.7-E1
E13	CNNHL_ENG_20030610_133347.7-E2
E1	CNNHL_ENG_20030610_133347.7-E3
E2	CNNHL_ENG_20030610_133347.7-E4
E3	CNNHL_ENG_20030610_133347.7-E5
E4	CNNHL_ENG_20030610_133347.7-E6
E5	CNNHL_ENG_20030610_133347.7-E7
E6	CNNHL_ENG_20030610_133347.7-E8
E7	CNNHL_ENG_20030610_133347.7-E9
E8	CNNHL_ENG_20030610_133347.7-E10
E9	CNNHL_ENG_20030610_133347.7-E11
E10	CNNHL_ENG_20030610_133347.7-E12
EM1	CNNHL_ENG_20030610_133347.7-E3-1
EM23	CNNHL_ENG_20030610_133347.7-E1-2
EM24	CNNHL_ENG_20030610_133347.7-E2-3
EM25	CNNHL_ENG_20030610_133347.7-E2-4
EM26	CNNHL_ENG_20030610_133347.7-E2-5
EM27	CNNHL_ENG_20030610_133347.7-E5-6
EM2	CNNHL_ENG_20030610_133347.7-E4-7
EM3	CNNHL_ENG_20030610_133347.7-E3-8
EM4	CNNHL_ENG_20030610_133347.7-E5-9
EM5	CNNHL_ENG_20030610_133347.7-E5-10
EM6	CNNHL_ENG_20030610_133347.7-E6-11
EM7	CNNHL_ENG_20030610_133347.7-E7-12
EM8	CNNHL_ENG_20030610_133347.7-E8-13
EM9	CNNHL_ENG_20030610_133347.7-E5-14
EM10	CNNHL_ENG_20030610_133347.7-E5-15
EM11	CNNHL_ENG_20030610_133347.7-E5-16
EM12	CNNHL_ENG_20030610_133347.7-E9-17
EM13	CNNHL_ENG_20030610_133347.7-E9-18
EM14	CNNHL_ENG_20030610_133347.7-E10-19
EM15	CNNHL_ENG_20030610_133347.7-E5-20
EM16	CNNHL_ENG_20030610_133347.7-E5-21
EM17	CNNHL_ENG_20030610_133347.7-E11-22
EM18	CNNHL_ENG_20030610_133347.7-E12-23
EM19	CNNHL_ENG_20030610_133347.7-E3-24
EM20	CNNHL_ENG_20030610_133347.7-E5-25
R1	CNNHL_ENG_20030610_133347.7-R1
R2	CNNHL_ENG_20030610_133347.7-R2
R3	CNNHL_ENG_20030610_133347.7-R3
R4	CNNHL_ENG_20030610_133347.7-R4
RM1	CNNHL_ENG_20030610_133347.7-R1-1
RM2	CNNHL_ENG_20030610_133347.7-R2-1
RM3	CNNHL_ENG_20030610_133347.7-R3-1
RM4	CNNHL_ENG_20030610_133347.7-R4-1
V1	CNNHL_ENG_20030610_133347.7-EV1
V2	CNNHL_ENG_20030610_133347.7-EV2
VM1	CNNHL_ENG_20030610_133347.7-EV1-1
VM2	CNNHL_ENG_20030610_133347.7-EV2-1
Q1	CNNHL_ENG_20030610_133347.7-T1
Q2	CNNHL_ENG_20030610_133347.7-T2
Q3	CNNHL_ENG_20030610_133347.7-T3
Q4	CNNHL_ENG_20030610_133347.7-T4
Q5	CNNHL_ENG_20030610_133347.7-T5
Q6	CNNHL_ENG_20030610_133347.7-V1
QM6	CNNHL_ENG_20030610_133347.7-V1-1
