CE14	CNNHL_ENG_20030407_193547.5-CE1
CE15	CNNHL_ENG_20030407_193547.5-CE2
CE2	CNNHL_ENG_20030407_193547.5-CE3
CE3	CNNHL_ENG_20030407_193547.5-CE4
CE4	CNNHL_ENG_20030407_193547.5-CE5
CE5	CNNHL_ENG_20030407_193547.5-CE6
CE6	CNNHL_ENG_20030407_193547.5-CE7
CE8	CNNHL_ENG_20030407_193547.5-CE8
CE9	CNNHL_ENG_20030407_193547.5-CE9
CE11	CNNHL_ENG_20030407_193547.5-CE10
CE12	CNNHL_ENG_20030407_193547.5-CE11
CE13	CNNHL_ENG_20030407_193547.5-CE12
E18	CNNHL_ENG_20030407_193547.5-E1
E2	CNNHL_ENG_20030407_193547.5-E2
E3	CNNHL_ENG_20030407_193547.5-E3
E4	CNNHL_ENG_20030407_193547.5-E4
E5	CNNHL_ENG_20030407_193547.5-E5
E7	CNNHL_ENG_20030407_193547.5-E6
E11	CNNHL_ENG_20030407_193547.5-E7
E12	CNNHL_ENG_20030407_193547.5-E8
E14	CNNHL_ENG_20030407_193547.5-E9
E15	CNNHL_ENG_20030407_193547.5-E10
E16	CNNHL_ENG_20030407_193547.5-E11
E17	CNNHL_ENG_20030407_193547.5-E12
EM18	CNNHL_ENG_20030407_193547.5-E1-1
EM19	CNNHL_ENG_20030407_193547.5-E8-2
EM2	CNNHL_ENG_20030407_193547.5-E2-3
EM3	CNNHL_ENG_20030407_193547.5-E3-4
EM4	CNNHL_ENG_20030407_193547.5-E4-5
EM5	CNNHL_ENG_20030407_193547.5-E4-6
EM6	CNNHL_ENG_20030407_193547.5-E5-7
EM7	CNNHL_ENG_20030407_193547.5-E6-8
EM9	CNNHL_ENG_20030407_193547.5-E7-9
EM10	CNNHL_ENG_20030407_193547.5-E8-10
EM12	CNNHL_ENG_20030407_193547.5-E9-11
EM13	CNNHL_ENG_20030407_193547.5-E10-12
EM14	CNNHL_ENG_20030407_193547.5-E11-13
EM15	CNNHL_ENG_20030407_193547.5-E5-14
EM16	CNNHL_ENG_20030407_193547.5-E12-15
R3	CNNHL_ENG_20030407_193547.5-R1
R4	CNNHL_ENG_20030407_193547.5-R2
R5	CNNHL_ENG_20030407_193547.5-R3
R6	CNNHL_ENG_20030407_193547.5-R4
RM3	CNNHL_ENG_20030407_193547.5-R1-1
RM5	CNNHL_ENG_20030407_193547.5-R2-1
RM6	CNNHL_ENG_20030407_193547.5-R3-1
RM7	CNNHL_ENG_20030407_193547.5-R4-1
Q1	CNNHL_ENG_20030407_193547.5-T1
