CE7	alt.gossip.celebrities_20050218.0826-CE1
CE10	alt.gossip.celebrities_20050218.0826-CE2
CE15	alt.gossip.celebrities_20050218.0826-CE3
CE13	alt.gossip.celebrities_20050218.0826-CE4
CE14	alt.gossip.celebrities_20050218.0826-CE5
CE17	alt.gossip.celebrities_20050218.0826-CE6
CE18	alt.gossip.celebrities_20050218.0826-CE7
CE19	alt.gossip.celebrities_20050218.0826-CE8
CE12	alt.gossip.celebrities_20050218.0826-CE9
CE11	alt.gossip.celebrities_20050218.0826-CE10
CE21	alt.gossip.celebrities_20050218.0826-CE11
CE1	alt.gossip.celebrities_20050218.0826-CE12
CE32	alt.gossip.celebrities_20050218.0826-CE13
CE23	alt.gossip.celebrities_20050218.0826-CE14
CE24	alt.gossip.celebrities_20050218.0826-CE15
CE25	alt.gossip.celebrities_20050218.0826-CE16
CE26	alt.gossip.celebrities_20050218.0826-CE17
CE27	alt.gossip.celebrities_20050218.0826-CE18
CE28	alt.gossip.celebrities_20050218.0826-CE19
CE29	alt.gossip.celebrities_20050218.0826-CE20
CE31	alt.gossip.celebrities_20050218.0826-CE21
CE16	alt.gossip.celebrities_20050218.0826-CE22
CE30	alt.gossip.celebrities_20050218.0826-CE23
CE2	alt.gossip.celebrities_20050218.0826-CE24
CE20	alt.gossip.celebrities_20050218.0826-CE25
CE22	alt.gossip.celebrities_20050218.0826-CE26
CE3	alt.gossip.celebrities_20050218.0826-CE27
CE4	alt.gossip.celebrities_20050218.0826-CE28
CE5	alt.gossip.celebrities_20050218.0826-CE29
CE6	alt.gossip.celebrities_20050218.0826-CE30
CE9	alt.gossip.celebrities_20050218.0826-CE31
CE8	alt.gossip.celebrities_20050218.0826-CE32
E10	alt.gossip.celebrities_20050218.0826-E1
E11	alt.gossip.celebrities_20050218.0826-E2
E12	alt.gossip.celebrities_20050218.0826-E3
E14	alt.gossip.celebrities_20050218.0826-E4
E15	alt.gossip.celebrities_20050218.0826-E5
E17	alt.gossip.celebrities_20050218.0826-E6
E18	alt.gossip.celebrities_20050218.0826-E7
E20	alt.gossip.celebrities_20050218.0826-E8
E1	alt.gossip.celebrities_20050218.0826-E9
E47	alt.gossip.celebrities_20050218.0826-E10
E24	alt.gossip.celebrities_20050218.0826-E11
E48	alt.gossip.celebrities_20050218.0826-E12
E26	alt.gossip.celebrities_20050218.0826-E13
E27	alt.gossip.celebrities_20050218.0826-E14
E59	alt.gossip.celebrities_20050218.0826-E15
E31	alt.gossip.celebrities_20050218.0826-E16
E32	alt.gossip.celebrities_20050218.0826-E17
E33	alt.gossip.celebrities_20050218.0826-E18
E34	alt.gossip.celebrities_20050218.0826-E19
E35	alt.gossip.celebrities_20050218.0826-E20
E36	alt.gossip.celebrities_20050218.0826-E21
E38	alt.gossip.celebrities_20050218.0826-E22
E40	alt.gossip.celebrities_20050218.0826-E23
