CE12	rec.music.phish_20041215.1554-CE1
CE13	rec.music.phish_20041215.1554-CE2
CE14	rec.music.phish_20041215.1554-CE3
CE15	rec.music.phish_20041215.1554-CE4
CE16	rec.music.phish_20041215.1554-CE5
CE17	rec.music.phish_20041215.1554-CE6
CE18	rec.music.phish_20041215.1554-CE7
CE19	rec.music.phish_20041215.1554-CE8
CE20	rec.music.phish_20041215.1554-CE9
CE21	rec.music.phish_20041215.1554-CE10
CE22	rec.music.phish_20041215.1554-CE11
CE23	rec.music.phish_20041215.1554-CE12
CE24	rec.music.phish_20041215.1554-CE13
CE25	rec.music.phish_20041215.1554-CE14
CE26	rec.music.phish_20041215.1554-CE15
CE1	rec.music.phish_20041215.1554-CE16
CE2	rec.music.phish_20041215.1554-CE17
CE3	rec.music.phish_20041215.1554-CE18
CE4	rec.music.phish_20041215.1554-CE19
CE5	rec.music.phish_20041215.1554-CE20
CE6	rec.music.phish_20041215.1554-CE21
CE7	rec.music.phish_20041215.1554-CE22
CE8	rec.music.phish_20041215.1554-CE23
CE9	rec.music.phish_20041215.1554-CE24
CE10	rec.music.phish_20041215.1554-CE25
CE11	rec.music.phish_20041215.1554-CE26
E13	rec.music.phish_20041215.1554-E1
E14	rec.music.phish_20041215.1554-E2
E15	rec.music.phish_20041215.1554-E3
E17	rec.music.phish_20041215.1554-E4
E18	rec.music.phish_20041215.1554-E5
E19	rec.music.phish_20041215.1554-E6
E20	rec.music.phish_20041215.1554-E7
E21	rec.music.phish_20041215.1554-E8
E22	rec.music.phish_20041215.1554-E9
E23	rec.music.phish_20041215.1554-E10
E24	rec.music.phish_20041215.1554-E11
E25	rec.music.phish_20041215.1554-E12
E26	rec.music.phish_20041215.1554-E13
E27	rec.music.phish_20041215.1554-E14
E28	rec.music.phish_20041215.1554-E15
E29	rec.music.phish_20041215.1554-E16
E30	rec.music.phish_20041215.1554-E17
E1	rec.music.phish_20041215.1554-E18
E31	rec.music.phish_20041215.1554-E19
E2	rec.music.phish_20041215.1554-E20
E3	rec.music.phish_20041215.1554-E21
E4	rec.music.phish_20041215.1554-E22
E5	rec.music.phish_20041215.1554-E23
E6	rec.music.phish_20041215.1554-E24
E7	rec.music.phish_20041215.1554-E25
