CE16	CNN_IP_20030328.1600.07-CE1
CE17	CNN_IP_20030328.1600.07-CE2
CE18	CNN_IP_20030328.1600.07-CE3
CE19	CNN_IP_20030328.1600.07-CE4
CE20	CNN_IP_20030328.1600.07-CE5
CE21	CNN_IP_20030328.1600.07-CE6
CE22	CNN_IP_20030328.1600.07-CE7
CE23	CNN_IP_20030328.1600.07-CE8
CE24	CNN_IP_20030328.1600.07-CE9
CE25	CNN_IP_20030328.1600.07-CE10
CE26	CNN_IP_20030328.1600.07-CE11
CE29	CNN_IP_20030328.1600.07-CE12
CE30	CNN_IP_20030328.1600.07-CE13
CE31	CNN_IP_20030328.1600.07-CE14
CE32	CNN_IP_20030328.1600.07-CE15
CE33	CNN_IP_20030328.1600.07-CE16
CE34	CNN_IP_20030328.1600.07-CE17
CE35	CNN_IP_20030328.1600.07-CE18
CE36	CNN_IP_20030328.1600.07-CE19
CE7	CNN_IP_20030328.1600.07-CE20
CE38	CNN_IP_20030328.1600.07-CE21
CE40	CNN_IP_20030328.1600.07-CE22
CE39	CNN_IP_20030328.1600.07-CE23
CE41	CNN_IP_20030328.1600.07-CE24
CE42	CNN_IP_20030328.1600.07-CE25
CE43	CNN_IP_20030328.1600.07-CE26
CE3	CNN_IP_20030328.1600.07-CE27
CE44	CNN_IP_20030328.1600.07-CE28
CE45	CNN_IP_20030328.1600.07-CE29
CE46	CNN_IP_20030328.1600.07-CE30
CE47	CNN_IP_20030328.1600.07-CE31
CE48	CNN_IP_20030328.1600.07-CE32
CE14	CNN_IP_20030328.1600.07-CE33
CE8	CNN_IP_20030328.1600.07-CE34
CE27	CNN_IP_20030328.1600.07-CE35
CE28	CNN_IP_20030328.1600.07-CE36
CE37	CNN_IP_20030328.1600.07-CE37
CE1	CNN_IP_20030328.1600.07-CE38
CE4	CNN_IP_20030328.1600.07-CE39
CE6	CNN_IP_20030328.1600.07-CE40
CE9	CNN_IP_20030328.1600.07-CE41
CE5	CNN_IP_20030328.1600.07-CE42
CE10	CNN_IP_20030328.1600.07-CE43
CE11	CNN_IP_20030328.1600.07-CE44
CE2	CNN_IP_20030328.1600.07-CE45
CE12	CNN_IP_20030328.1600.07-CE46
CE13	CNN_IP_20030328.1600.07-CE47
CE15	CNN_IP_20030328.1600.07-CE48
E20	CNN_IP_20030328.1600.07-E1
E21	CNN_IP_20030328.1600.07-E2
E22	CNN_IP_20030328.1600.07-E3
E23	CNN_IP_20030328.1600.07-E4
E24	CNN_IP_20030328.1600.07-E5
E25	CNN_IP_20030328.1600.07-E6
E26	CNN_IP_20030328.1600.07-E7
E27	CNN_IP_20030328.1600.07-E8
E28	CNN_IP_20030328.1600.07-E9
E29	CNN_IP_20030328.1600.07-E10
E32	CNN_IP_20030328.1600.07-E11
E33	CNN_IP_20030328.1600.07-E12
E34	CNN_IP_20030328.1600.07-E13
E36	CNN_IP_20030328.1600.07-E14
E37	CNN_IP_20030328.1600.07-E15
E39	CNN_IP_20030328.1600.07-E16
E40	CNN_IP_20030328.1600.07-E17
E41	CNN_IP_20030328.1600.07-E18
E42	CNN_IP_20030328.1600.07-E19
E1	CNN_IP_20030328.1600.07-E20
E43	CNN_IP_20030328.1600.07-E21
E44	CNN_IP_20030328.1600.07-E22
E45	CNN_IP_20030328.1600.07-E23
E47	CNN_IP_20030328.1600.07-E24
E48	CNN_IP_20030328.1600.07-E25
