CE15	CNN_IP_20030403.1600.00-1-CE1
CE16	CNN_IP_20030403.1600.00-1-CE2
CE17	CNN_IP_20030403.1600.00-1-CE3
CE18	CNN_IP_20030403.1600.00-1-CE4
CE19	CNN_IP_20030403.1600.00-1-CE5
CE20	CNN_IP_20030403.1600.00-1-CE6
CE21	CNN_IP_20030403.1600.00-1-CE7
CE22	CNN_IP_20030403.1600.00-1-CE8
CE24	CNN_IP_20030403.1600.00-1-CE9
CE23	CNN_IP_20030403.1600.00-1-CE10
CE25	CNN_IP_20030403.1600.00-1-CE11
CE26	CNN_IP_20030403.1600.00-1-CE12
CE27	CNN_IP_20030403.1600.00-1-CE13
CE2	CNN_IP_20030403.1600.00-1-CE14
CE28	CNN_IP_20030403.1600.00-1-CE15
CE29	CNN_IP_20030403.1600.00-1-CE16
CE30	CNN_IP_20030403.1600.00-1-CE17
CE31	CNN_IP_20030403.1600.00-1-CE18
CE32	CNN_IP_20030403.1600.00-1-CE19
CE33	CNN_IP_20030403.1600.00-1-CE20
CE34	CNN_IP_20030403.1600.00-1-CE21
CE35	CNN_IP_20030403.1600.00-1-CE22
CE36	CNN_IP_20030403.1600.00-1-CE23
CE37	CNN_IP_20030403.1600.00-1-CE24
CE38	CNN_IP_20030403.1600.00-1-CE25
CE4	CNN_IP_20030403.1600.00-1-CE26
CE40	CNN_IP_20030403.1600.00-1-CE27
CE41	CNN_IP_20030403.1600.00-1-CE28
CE42	CNN_IP_20030403.1600.00-1-CE29
CE43	CNN_IP_20030403.1600.00-1-CE30
CE44	CNN_IP_20030403.1600.00-1-CE31
CE45	CNN_IP_20030403.1600.00-1-CE32
CE48	CNN_IP_20030403.1600.00-1-CE33
CE47	CNN_IP_20030403.1600.00-1-CE34
CE49	CNN_IP_20030403.1600.00-1-CE35
CE50	CNN_IP_20030403.1600.00-1-CE36
CE51	CNN_IP_20030403.1600.00-1-CE37
CE52	CNN_IP_20030403.1600.00-1-CE38
CE53	CNN_IP_20030403.1600.00-1-CE39
CE54	CNN_IP_20030403.1600.00-1-CE40
CE55	CNN_IP_20030403.1600.00-1-CE41
CE56	CNN_IP_20030403.1600.00-1-CE42
CE57	CNN_IP_20030403.1600.00-1-CE43
CE58	CNN_IP_20030403.1600.00-1-CE44
CE59	CNN_IP_20030403.1600.00-1-CE45
CE60	CNN_IP_20030403.1600.00-1-CE46
CE61	CNN_IP_20030403.1600.00-1-CE47
CE62	CNN_IP_20030403.1600.00-1-CE48
CE63	CNN_IP_20030403.1600.00-1-CE49
CE64	CNN_IP_20030403.1600.00-1-CE50
CE65	CNN_IP_20030403.1600.00-1-CE51
CE3	CNN_IP_20030403.1600.00-1-CE52
CE66	CNN_IP_20030403.1600.00-1-CE53
CE67	CNN_IP_20030403.1600.00-1-CE54
CE5	CNN_IP_20030403.1600.00-1-CE55
CE68	CNN_IP_20030403.1600.00-1-CE56
CE46	CNN_IP_20030403.1600.00-1-CE57
CE6	CNN_IP_20030403.1600.00-1-CE58
CE7	CNN_IP_20030403.1600.00-1-CE59
CE8	CNN_IP_20030403.1600.00-1-CE60
CE9	CNN_IP_20030403.1600.00-1-CE61
CE10	CNN_IP_20030403.1600.00-1-CE62
CE1	CNN_IP_20030403.1600.00-1-CE63
CE11	CNN_IP_20030403.1600.00-1-CE64
CE13	CNN_IP_20030403.1600.00-1-CE65
CE12	CNN_IP_20030403.1600.00-1-CE66
CE14	CNN_IP_20030403.1600.00-1-CE67
E17	CNN_IP_20030403.1600.00-1-E1
E18	CNN_IP_20030403.1600.00-1-E2
E104	CNN_IP_20030403.1600.00-1-E3
E20	CNN_IP_20030403.1600.00-1-E4
E21	CNN_IP_20030403.1600.00-1-E5
E22	CNN_IP_20030403.1600.00-1-E6
E23	CNN_IP_20030403.1600.00-1-E7
E24	CNN_IP_20030403.1600.00-1-E8
E25	CNN_IP_20030403.1600.00-1-E9
E26	CNN_IP_20030403.1600.00-1-E10
E27	CNN_IP_20030403.1600.00-1-E11
E28	CNN_IP_20030403.1600.00-1-E12
E29	CNN_IP_20030403.1600.00-1-E13
E30	CNN_IP_20030403.1600.00-1-E14
E31	CNN_IP_20030403.1600.00-1-E15
E105	CNN_IP_20030403.1600.00-1-E16
E32	CNN_IP_20030403.1600.00-1-E17
E33	CNN_IP_20030403.1600.00-1-E18
E34	CNN_IP_20030403.1600.00-1-E19
E36	CNN_IP_20030403.1600.00-1-E20
E37	CNN_IP_20030403.1600.00-1-E21
E38	CNN_IP_20030403.1600.00-1-E22
E39	CNN_IP_20030403.1600.00-1-E23
E40	CNN_IP_20030403.1600.00-1-E24
E106	CNN_IP_20030403.1600.00-1-E25
E44	CNN_IP_20030403.1600.00-1-E26
E45	CNN_IP_20030403.1600.00-1-E27
E1	CNN_IP_20030403.1600.00-1-E28
E46	CNN_IP_20030403.1600.00-1-E29
E47	CNN_IP_20030403.1600.00-1-E30
E48	CNN_IP_20030403.1600.00-1-E31
