CE12	CNN_IP_20030402.1600.02-1-CE1
CE13	CNN_IP_20030402.1600.02-1-CE2
CE14	CNN_IP_20030402.1600.02-1-CE3
CE44	CNN_IP_20030402.1600.02-1-CE4
CE15	CNN_IP_20030402.1600.02-1-CE5
CE16	CNN_IP_20030402.1600.02-1-CE6
CE17	CNN_IP_20030402.1600.02-1-CE7
CE18	CNN_IP_20030402.1600.02-1-CE8
CE19	CNN_IP_20030402.1600.02-1-CE9
CE20	CNN_IP_20030402.1600.02-1-CE10
CE50	CNN_IP_20030402.1600.02-1-CE11
CE1	CNN_IP_20030402.1600.02-1-CE12
CE30	CNN_IP_20030402.1600.02-1-CE13
CE23	CNN_IP_20030402.1600.02-1-CE14
CE3	CNN_IP_20030402.1600.02-1-CE15
CE24	CNN_IP_20030402.1600.02-1-CE16
CE25	CNN_IP_20030402.1600.02-1-CE17
CE26	CNN_IP_20030402.1600.02-1-CE18
CE27	CNN_IP_20030402.1600.02-1-CE19
CE28	CNN_IP_20030402.1600.02-1-CE20
CE32	CNN_IP_20030402.1600.02-1-CE21
CE33	CNN_IP_20030402.1600.02-1-CE22
CE34	CNN_IP_20030402.1600.02-1-CE23
CE35	CNN_IP_20030402.1600.02-1-CE24
CE36	CNN_IP_20030402.1600.02-1-CE25
CE37	CNN_IP_20030402.1600.02-1-CE26
CE39	CNN_IP_20030402.1600.02-1-CE27
CE38	CNN_IP_20030402.1600.02-1-CE28
CE21	CNN_IP_20030402.1600.02-1-CE29
CE40	CNN_IP_20030402.1600.02-1-CE30
CE4	CNN_IP_20030402.1600.02-1-CE31
CE41	CNN_IP_20030402.1600.02-1-CE32
CE29	CNN_IP_20030402.1600.02-1-CE33
CE42	CNN_IP_20030402.1600.02-1-CE34
CE31	CNN_IP_20030402.1600.02-1-CE35
CE43	CNN_IP_20030402.1600.02-1-CE36
CE45	CNN_IP_20030402.1600.02-1-CE37
CE51	CNN_IP_20030402.1600.02-1-CE38
CE46	CNN_IP_20030402.1600.02-1-CE39
CE47	CNN_IP_20030402.1600.02-1-CE40
CE48	CNN_IP_20030402.1600.02-1-CE41
CE49	CNN_IP_20030402.1600.02-1-CE42
CE5	CNN_IP_20030402.1600.02-1-CE43
CE6	CNN_IP_20030402.1600.02-1-CE44
CE2	CNN_IP_20030402.1600.02-1-CE45
CE7	CNN_IP_20030402.1600.02-1-CE46
CE8	CNN_IP_20030402.1600.02-1-CE47
CE10	CNN_IP_20030402.1600.02-1-CE48
CE9	CNN_IP_20030402.1600.02-1-CE49
CE11	CNN_IP_20030402.1600.02-1-CE50
CE22	CNN_IP_20030402.1600.02-1-CE51
E15	CNN_IP_20030402.1600.02-1-E1
E16	CNN_IP_20030402.1600.02-1-E2
E17	CNN_IP_20030402.1600.02-1-E3
E18	CNN_IP_20030402.1600.02-1-E4
E104	CNN_IP_20030402.1600.02-1-E5
E21	CNN_IP_20030402.1600.02-1-E6
E24	CNN_IP_20030402.1600.02-1-E7
E25	CNN_IP_20030402.1600.02-1-E8
E26	CNN_IP_20030402.1600.02-1-E9
E27	CNN_IP_20030402.1600.02-1-E10
E28	CNN_IP_20030402.1600.02-1-E11
E29	CNN_IP_20030402.1600.02-1-E12
E30	CNN_IP_20030402.1600.02-1-E13
E31	CNN_IP_20030402.1600.02-1-E14
