CE12	CNN_CF_20030303.1900.06-1-CE1
CE13	CNN_CF_20030303.1900.06-1-CE2
CE14	CNN_CF_20030303.1900.06-1-CE3
CE15	CNN_CF_20030303.1900.06-1-CE4
CE16	CNN_CF_20030303.1900.06-1-CE5
CE1	CNN_CF_20030303.1900.06-1-CE6
CE17	CNN_CF_20030303.1900.06-1-CE7
CE18	CNN_CF_20030303.1900.06-1-CE8
CE19	CNN_CF_20030303.1900.06-1-CE9
CE20	CNN_CF_20030303.1900.06-1-CE10
CE21	CNN_CF_20030303.1900.06-1-CE11
CE22	CNN_CF_20030303.1900.06-1-CE12
CE23	CNN_CF_20030303.1900.06-1-CE13
CE24	CNN_CF_20030303.1900.06-1-CE14
CE25	CNN_CF_20030303.1900.06-1-CE15
CE26	CNN_CF_20030303.1900.06-1-CE16
CE27	CNN_CF_20030303.1900.06-1-CE17
CE28	CNN_CF_20030303.1900.06-1-CE18
CE2	CNN_CF_20030303.1900.06-1-CE19
CE3	CNN_CF_20030303.1900.06-1-CE20
CE4	CNN_CF_20030303.1900.06-1-CE21
CE5	CNN_CF_20030303.1900.06-1-CE22
CE6	CNN_CF_20030303.1900.06-1-CE23
CE7	CNN_CF_20030303.1900.06-1-CE24
CE8	CNN_CF_20030303.1900.06-1-CE25
CE9	CNN_CF_20030303.1900.06-1-CE26
CE11	CNN_CF_20030303.1900.06-1-CE27
CE10	CNN_CF_20030303.1900.06-1-CE28
E12	CNN_CF_20030303.1900.06-1-E1
E13	CNN_CF_20030303.1900.06-1-E2
E14	CNN_CF_20030303.1900.06-1-E3
E16	CNN_CF_20030303.1900.06-1-E4
E18	CNN_CF_20030303.1900.06-1-E5
E19	CNN_CF_20030303.1900.06-1-E6
E22	CNN_CF_20030303.1900.06-1-E7
E24	CNN_CF_20030303.1900.06-1-E8
E25	CNN_CF_20030303.1900.06-1-E9
E26	CNN_CF_20030303.1900.06-1-E10
E27	CNN_CF_20030303.1900.06-1-E11
E28	CNN_CF_20030303.1900.06-1-E12
E29	CNN_CF_20030303.1900.06-1-E13
E30	CNN_CF_20030303.1900.06-1-E14
E31	CNN_CF_20030303.1900.06-1-E15
E33	CNN_CF_20030303.1900.06-1-E16
E1	CNN_CF_20030303.1900.06-1-E17
E34	CNN_CF_20030303.1900.06-1-E18
E35	CNN_CF_20030303.1900.06-1-E19
E36	CNN_CF_20030303.1900.06-1-E20
E47	CNN_CF_20030303.1900.06-1-E21
E39	CNN_CF_20030303.1900.06-1-E22
E41	CNN_CF_20030303.1900.06-1-E23
E48	CNN_CF_20030303.1900.06-1-E24
E44	CNN_CF_20030303.1900.06-1-E25
E2	CNN_CF_20030303.1900.06-1-E26
E3	CNN_CF_20030303.1900.06-1-E27
E4	CNN_CF_20030303.1900.06-1-E28
E5	CNN_CF_20030303.1900.06-1-E29
E6	CNN_CF_20030303.1900.06-1-E30
E8	CNN_CF_20030303.1900.06-1-E31
E9	CNN_CF_20030303.1900.06-1-E32
E10	CNN_CF_20030303.1900.06-1-E33
E11	CNN_CF_20030303.1900.06-1-E34
EM1	CNN_CF_20030303.1900.06-1-E17-1
EM18	CNN_CF_20030303.1900.06-1-E1-2
EM20	CNN_CF_20030303.1900.06-1-E34-3
EM21	CNN_CF_20030303.1900.06-1-E34-4
EM22	CNN_CF_20030303.1900.06-1-E2-5
EM23	CNN_CF_20030303.1900.06-1-E3-6
EM25	CNN_CF_20030303.1900.06-1-E34-7
EM26	CNN_CF_20030303.1900.06-1-E4-8
EM33	CNN_CF_20030303.1900.06-1-E34-9
EM27	CNN_CF_20030303.1900.06-1-E5-10
EM28	CNN_CF_20030303.1900.06-1-E6-11
EM29	CNN_CF_20030303.1900.06-1-E3-12
EM31	CNN_CF_20030303.1900.06-1-E7-13
EM32	CNN_CF_20030303.1900.06-1-E3-14
EM24	CNN_CF_20030303.1900.06-1-E33-15
EM35	CNN_CF_20030303.1900.06-1-E32-16
EM36	CNN_CF_20030303.1900.06-1-E31-17
EM37	CNN_CF_20030303.1900.06-1-E32-18
EM38	CNN_CF_20030303.1900.06-1-E31-19
EM39	CNN_CF_20030303.1900.06-1-E8-20
EM40	CNN_CF_20030303.1900.06-1-E9-21
EM41	CNN_CF_20030303.1900.06-1-E10-22
EM42	CNN_CF_20030303.1900.06-1-E32-23
EM43	CNN_CF_20030303.1900.06-1-E11-24
EM44	CNN_CF_20030303.1900.06-1-E9-25
EM45	CNN_CF_20030303.1900.06-1-E30-26
EM46	CNN_CF_20030303.1900.06-1-E12-27
EM47	CNN_CF_20030303.1900.06-1-E13-28
EM48	CNN_CF_20030303.1900.06-1-E14-29
EM49	CNN_CF_20030303.1900.06-1-E15-30
EM50	CNN_CF_20030303.1900.06-1-E32-31
EM67	CNN_CF_20030303.1900.06-1-E21-32
EM53	CNN_CF_20030303.1900.06-1-E13-33
EM54	CNN_CF_20030303.1900.06-1-E30-34
EM55	CNN_CF_20030303.1900.06-1-E15-35
EM56	CNN_CF_20030303.1900.06-1-E30-36
EM57	CNN_CF_20030303.1900.06-1-E16-37
EM58	CNN_CF_20030303.1900.06-1-E16-38
EM59	CNN_CF_20030303.1900.06-1-E3-39
EM60	CNN_CF_20030303.1900.06-1-E18-40
EM61	CNN_CF_20030303.1900.06-1-E19-41
EM62	CNN_CF_20030303.1900.06-1-E20-42
EM63	CNN_CF_20030303.1900.06-1-E22-43
EM64	CNN_CF_20030303.1900.06-1-E3-44
EM65	CNN_CF_20030303.1900.06-1-E3-45
EM66	CNN_CF_20030303.1900.06-1-E3-46
EM30	CNN_CF_20030303.1900.06-1-E31-47
EM68	CNN_CF_20030303.1900.06-1-E34-48
EM69	CNN_CF_20030303.1900.06-1-E3-49
EM34	CNN_CF_20030303.1900.06-1-E31-50
EM70	CNN_CF_20030303.1900.06-1-E23-51
EM51	CNN_CF_20030303.1900.06-1-E15-52
EM52	CNN_CF_20030303.1900.06-1-E24-53
EM71	CNN_CF_20030303.1900.06-1-E3-54
EM72	CNN_CF_20030303.1900.06-1-E3-55
EM73	CNN_CF_20030303.1900.06-1-E3-56
EM6	CNN_CF_20030303.1900.06-1-E28-57
EM74	CNN_CF_20030303.1900.06-1-E25-58
EM2	CNN_CF_20030303.1900.06-1-E26-59
EM3	CNN_CF_20030303.1900.06-1-E27-60
EM4	CNN_CF_20030303.1900.06-1-E28-61
EM5	CNN_CF_20030303.1900.06-1-E29-62
EM7	CNN_CF_20030303.1900.06-1-E30-63
EM9	CNN_CF_20030303.1900.06-1-E26-64
