CE9	CTV20001106.1330.1311-CE1
CE10	CTV20001106.1330.1311-CE2
CE11	CTV20001106.1330.1311-CE3
CE12	CTV20001106.1330.1311-CE4
CE13	CTV20001106.1330.1311-CE5
CE14	CTV20001106.1330.1311-CE6
CE16	CTV20001106.1330.1311-CE7
CE17	CTV20001106.1330.1311-CE8
CE18	CTV20001106.1330.1311-CE9
CE19	CTV20001106.1330.1311-CE10
CE20	CTV20001106.1330.1311-CE11
CE21	CTV20001106.1330.1311-CE12
CE22	CTV20001106.1330.1311-CE13
CE23	CTV20001106.1330.1311-CE14
CE24	CTV20001106.1330.1311-CE15
CE25	CTV20001106.1330.1311-CE16
CE26	CTV20001106.1330.1311-CE17
CE27	CTV20001106.1330.1311-CE18
CE28	CTV20001106.1330.1311-CE19
CE29	CTV20001106.1330.1311-CE20
CE30	CTV20001106.1330.1311-CE21
CE31	CTV20001106.1330.1311-CE22
CE32	CTV20001106.1330.1311-CE23
CE1	CTV20001106.1330.1311-CE24
CE3	CTV20001106.1330.1311-CE25
CE4	CTV20001106.1330.1311-CE26
CE5	CTV20001106.1330.1311-CE27
CE6	CTV20001106.1330.1311-CE28
CE7	CTV20001106.1330.1311-CE29
CE8	CTV20001106.1330.1311-CE30
E12	CTV20001106.1330.1311-E1
E13	CTV20001106.1330.1311-E2
E14	CTV20001106.1330.1311-E3
E15	CTV20001106.1330.1311-E4
E16	CTV20001106.1330.1311-E5
E17	CTV20001106.1330.1311-E6
E18	CTV20001106.1330.1311-E7
E20	CTV20001106.1330.1311-E8
E21	CTV20001106.1330.1311-E9
E22	CTV20001106.1330.1311-E10
E23	CTV20001106.1330.1311-E11
E24	CTV20001106.1330.1311-E12
E25	CTV20001106.1330.1311-E13
E26	CTV20001106.1330.1311-E14
E27	CTV20001106.1330.1311-E15
E28	CTV20001106.1330.1311-E16
E29	CTV20001106.1330.1311-E17
E30	CTV20001106.1330.1311-E18
E31	CTV20001106.1330.1311-E19
E1	CTV20001106.1330.1311-E20
