CE12	CNR20001016.1700.0645-CE1
CE13	CNR20001016.1700.0645-CE2
CE14	CNR20001016.1700.0645-CE3
CE15	CNR20001016.1700.0645-CE4
CE16	CNR20001016.1700.0645-CE5
CE17	CNR20001016.1700.0645-CE6
CE18	CNR20001016.1700.0645-CE7
CE19	CNR20001016.1700.0645-CE8
CE20	CNR20001016.1700.0645-CE9
CE21	CNR20001016.1700.0645-CE10
CE22	CNR20001016.1700.0645-CE11
CE23	CNR20001016.1700.0645-CE12
CE24	CNR20001016.1700.0645-CE13
CE25	CNR20001016.1700.0645-CE14
CE26	CNR20001016.1700.0645-CE15
CE27	CNR20001016.1700.0645-CE16
CE28	CNR20001016.1700.0645-CE17
CE29	CNR20001016.1700.0645-CE18
CE30	CNR20001016.1700.0645-CE19
CE32	CNR20001016.1700.0645-CE20
CE33	CNR20001016.1700.0645-CE21
CE34	CNR20001016.1700.0645-CE22
CE35	CNR20001016.1700.0645-CE23
CE36	CNR20001016.1700.0645-CE24
CE38	CNR20001016.1700.0645-CE25
CE39	CNR20001016.1700.0645-CE26
CE40	CNR20001016.1700.0645-CE27
CE41	CNR20001016.1700.0645-CE28
CE42	CNR20001016.1700.0645-CE29
CE43	CNR20001016.1700.0645-CE30
CE44	CNR20001016.1700.0645-CE31
CE45	CNR20001016.1700.0645-CE32
CE46	CNR20001016.1700.0645-CE33
CE47	CNR20001016.1700.0645-CE34
CE48	CNR20001016.1700.0645-CE35
CE49	CNR20001016.1700.0645-CE36
CE50	CNR20001016.1700.0645-CE37
CE51	CNR20001016.1700.0645-CE38
CE52	CNR20001016.1700.0645-CE39
CE53	CNR20001016.1700.0645-CE40
CE55	CNR20001016.1700.0645-CE41
CE56	CNR20001016.1700.0645-CE42
CE2	CNR20001016.1700.0645-CE43
CE57	CNR20001016.1700.0645-CE44
CE3	CNR20001016.1700.0645-CE45
CE4	CNR20001016.1700.0645-CE46
CE5	CNR20001016.1700.0645-CE47
CE6	CNR20001016.1700.0645-CE48
CE7	CNR20001016.1700.0645-CE49
CE8	CNR20001016.1700.0645-CE50
CE9	CNR20001016.1700.0645-CE51
CE10	CNR20001016.1700.0645-CE52
CE11	CNR20001016.1700.0645-CE53
E14	CNR20001016.1700.0645-E1
E15	CNR20001016.1700.0645-E2
E16	CNR20001016.1700.0645-E3
E17	CNR20001016.1700.0645-E4
E18	CNR20001016.1700.0645-E5
E19	CNR20001016.1700.0645-E6
E20	CNR20001016.1700.0645-E7
E21	CNR20001016.1700.0645-E8
E22	CNR20001016.1700.0645-E9
E23	CNR20001016.1700.0645-E10
E24	CNR20001016.1700.0645-E11
E25	CNR20001016.1700.0645-E12
E26	CNR20001016.1700.0645-E13
E27	CNR20001016.1700.0645-E14
E28	CNR20001016.1700.0645-E15
E29	CNR20001016.1700.0645-E16
E30	CNR20001016.1700.0645-E17
E31	CNR20001016.1700.0645-E18
E32	CNR20001016.1700.0645-E19
E34	CNR20001016.1700.0645-E20
E35	CNR20001016.1700.0645-E21
E36	CNR20001016.1700.0645-E22
E37	CNR20001016.1700.0645-E23
E38	CNR20001016.1700.0645-E24
E40	CNR20001016.1700.0645-E25
E41	CNR20001016.1700.0645-E26
E42	CNR20001016.1700.0645-E27
E43	CNR20001016.1700.0645-E28
E44	CNR20001016.1700.0645-E29
E45	CNR20001016.1700.0645-E30
E46	CNR20001016.1700.0645-E31
E47	CNR20001016.1700.0645-E32
E48	CNR20001016.1700.0645-E33
E49	CNR20001016.1700.0645-E34
E50	CNR20001016.1700.0645-E35
E51	CNR20001016.1700.0645-E36
E52	CNR20001016.1700.0645-E37
E53	CNR20001016.1700.0645-E38
E54	CNR20001016.1700.0645-E39
E55	CNR20001016.1700.0645-E40
