CE10	CBS20001219.1000.0782-CE1
CE1	CBS20001219.1000.0782-CE2
CE2	CBS20001219.1000.0782-CE3
CE3	CBS20001219.1000.0782-CE4
CE4	CBS20001219.1000.0782-CE5
CE5	CBS20001219.1000.0782-CE6
CE6	CBS20001219.1000.0782-CE7
CE7	CBS20001219.1000.0782-CE8
CE8	CBS20001219.1000.0782-CE9
CE9	CBS20001219.1000.0782-CE10
E12	CBS20001219.1000.0782-E1
E13	CBS20001219.1000.0782-E2
E14	CBS20001219.1000.0782-E3
E1	CBS20001219.1000.0782-E4
E2	CBS20001219.1000.0782-E5
E3	CBS20001219.1000.0782-E6
E4	CBS20001219.1000.0782-E7
E5	CBS20001219.1000.0782-E8
E6	CBS20001219.1000.0782-E9
E7	CBS20001219.1000.0782-E10
E8	CBS20001219.1000.0782-E11
E9	CBS20001219.1000.0782-E12
E10	CBS20001219.1000.0782-E13
E11	CBS20001219.1000.0782-E14
EM1	CBS20001219.1000.0782-E4-1
EM20	CBS20001219.1000.0782-E4-2
EM21	CBS20001219.1000.0782-E1-3
EM22	CBS20001219.1000.0782-E6-4
EM23	CBS20001219.1000.0782-E7-5
EM24	CBS20001219.1000.0782-E4-6
EM25	CBS20001219.1000.0782-E2-7
EM26	CBS20001219.1000.0782-E2-8
EM27	CBS20001219.1000.0782-E3-9
EM28	CBS20001219.1000.0782-E7-10
EM29	CBS20001219.1000.0782-E8-11
EM30	CBS20001219.1000.0782-E11-12
EM31	CBS20001219.1000.0782-E7-13
EM32	CBS20001219.1000.0782-E6-14
EM33	CBS20001219.1000.0782-E8-15
EM34	CBS20001219.1000.0782-E11-16
EM35	CBS20001219.1000.0782-E8-17
EM38	CBS20001219.1000.0782-E8-18
EM39	CBS20001219.1000.0782-E9-19
EM40	CBS20001219.1000.0782-E10-20
EM37	CBS20001219.1000.0782-E10-21
EM41	CBS20001219.1000.0782-E8-22
EM42	CBS20001219.1000.0782-E9-23
EM43	CBS20001219.1000.0782-E10-24
EM2	CBS20001219.1000.0782-E4-25
EM3	CBS20001219.1000.0782-E5-26
EM4	CBS20001219.1000.0782-E6-27
EM5	CBS20001219.1000.0782-E7-28
EM6	CBS20001219.1000.0782-E7-29
EM7	CBS20001219.1000.0782-E8-30
EM8	CBS20001219.1000.0782-E7-31
EM9	CBS20001219.1000.0782-E6-32
EM10	CBS20001219.1000.0782-E9-33
EM11	CBS20001219.1000.0782-E10-34
EM12	CBS20001219.1000.0782-E8-35
EM13	CBS20001219.1000.0782-E11-36
EM14	CBS20001219.1000.0782-E11-37
EM15	CBS20001219.1000.0782-E12-38
EM16	CBS20001219.1000.0782-E13-39
EM17	CBS20001219.1000.0782-E7-40
EM18	CBS20001219.1000.0782-E14-41
EM19	CBS20001219.1000.0782-E11-42
R1	CBS20001219.1000.0782-R1
R2	CBS20001219.1000.0782-R2
R3	CBS20001219.1000.0782-R3
R4	CBS20001219.1000.0782-R4
R5	CBS20001219.1000.0782-R5
R6	CBS20001219.1000.0782-R6
R7	CBS20001219.1000.0782-R7
R8	CBS20001219.1000.0782-R8
R9	CBS20001219.1000.0782-R9
RM1	CBS20001219.1000.0782-R1-1
RM2	CBS20001219.1000.0782-R2-1
RM3	CBS20001219.1000.0782-R3-1
RM4	CBS20001219.1000.0782-R4-1
RM5	CBS20001219.1000.0782-R5-1
RM6	CBS20001219.1000.0782-R6-1
RM7	CBS20001219.1000.0782-R6-2
RM8	CBS20001219.1000.0782-R8-1
RM9	CBS20001219.1000.0782-R2-2
V1	CBS20001219.1000.0782-EV1
V2	CBS20001219.1000.0782-EV2
VM1	CBS20001219.1000.0782-EV1-1
VM2	CBS20001219.1000.0782-EV2-1
Q10	CBS20001219.1000.0782-T1
Q1	CBS20001219.1000.0782-T2
Q2	CBS20001219.1000.0782-T3
Q3	CBS20001219.1000.0782-T4
Q4	CBS20001219.1000.0782-T5
Q5	CBS20001219.1000.0782-T6
Q6	CBS20001219.1000.0782-T7
Q7	CBS20001219.1000.0782-T8
Q8	CBS20001219.1000.0782-T9
Q11	CBS20001219.1000.0782-V1
QM11	CBS20001219.1000.0782-V1-1
