CE15	CBS20001214.1000.0480-CE1
CE16	CBS20001214.1000.0480-CE2
CE17	CBS20001214.1000.0480-CE3
CE18	CBS20001214.1000.0480-CE4
CE19	CBS20001214.1000.0480-CE5
CE20	CBS20001214.1000.0480-CE6
CE21	CBS20001214.1000.0480-CE7
CE22	CBS20001214.1000.0480-CE8
CE23	CBS20001214.1000.0480-CE9
CE24	CBS20001214.1000.0480-CE10
CE25	CBS20001214.1000.0480-CE11
CE26	CBS20001214.1000.0480-CE12
CE27	CBS20001214.1000.0480-CE13
CE28	CBS20001214.1000.0480-CE14
CE29	CBS20001214.1000.0480-CE15
CE30	CBS20001214.1000.0480-CE16
CE31	CBS20001214.1000.0480-CE17
CE1	CBS20001214.1000.0480-CE18
CE2	CBS20001214.1000.0480-CE19
CE3	CBS20001214.1000.0480-CE20
CE4	CBS20001214.1000.0480-CE21
CE5	CBS20001214.1000.0480-CE22
CE6	CBS20001214.1000.0480-CE23
CE7	CBS20001214.1000.0480-CE24
CE8	CBS20001214.1000.0480-CE25
CE9	CBS20001214.1000.0480-CE26
CE10	CBS20001214.1000.0480-CE27
CE11	CBS20001214.1000.0480-CE28
CE12	CBS20001214.1000.0480-CE29
CE13	CBS20001214.1000.0480-CE30
CE14	CBS20001214.1000.0480-CE31
E15	CBS20001214.1000.0480-E1
E16	CBS20001214.1000.0480-E2
E17	CBS20001214.1000.0480-E3
E18	CBS20001214.1000.0480-E4
E19	CBS20001214.1000.0480-E5
E20	CBS20001214.1000.0480-E6
E21	CBS20001214.1000.0480-E7
E22	CBS20001214.1000.0480-E8
E23	CBS20001214.1000.0480-E9
E24	CBS20001214.1000.0480-E10
E25	CBS20001214.1000.0480-E11
E26	CBS20001214.1000.0480-E12
E27	CBS20001214.1000.0480-E13
E28	CBS20001214.1000.0480-E14
E29	CBS20001214.1000.0480-E15
E30	CBS20001214.1000.0480-E16
E31	CBS20001214.1000.0480-E17
E32	CBS20001214.1000.0480-E18
E1	CBS20001214.1000.0480-E19
E2	CBS20001214.1000.0480-E20
E3	CBS20001214.1000.0480-E21
E4	CBS20001214.1000.0480-E22
E5	CBS20001214.1000.0480-E23
E6	CBS20001214.1000.0480-E24
E7	CBS20001214.1000.0480-E25
E8	CBS20001214.1000.0480-E26
E9	CBS20001214.1000.0480-E27
E10	CBS20001214.1000.0480-E28
E11	CBS20001214.1000.0480-E29
E12	CBS20001214.1000.0480-E30
E13	CBS20001214.1000.0480-E31
E14	CBS20001214.1000.0480-E32
EM1	CBS20001214.1000.0480-E19-1
EM17	CBS20001214.1000.0480-E1-2
EM18	CBS20001214.1000.0480-E21-3
EM19	CBS20001214.1000.0480-E2-4
EM20	CBS20001214.1000.0480-E31-5
EM21	CBS20001214.1000.0480-E3-6
EM22	CBS20001214.1000.0480-E4-7
EM23	CBS20001214.1000.0480-E5-8
EM24	CBS20001214.1000.0480-E4-9
EM25	CBS20001214.1000.0480-E30-10
EM26	CBS20001214.1000.0480-E21-11
EM27	CBS20001214.1000.0480-E6-12
EM28	CBS20001214.1000.0480-E7-13
EM29	CBS20001214.1000.0480-E8-14
EM30	CBS20001214.1000.0480-E21-15
EM31	CBS20001214.1000.0480-E21-16
EM32	CBS20001214.1000.0480-E9-17
EM33	CBS20001214.1000.0480-E10-18
EM34	CBS20001214.1000.0480-E11-19
EM35	CBS20001214.1000.0480-E12-20
EM36	CBS20001214.1000.0480-E13-21
EM37	CBS20001214.1000.0480-E14-22
