CE10	CTS20001025.1300.1022-CE1
CE1	CTS20001025.1300.1022-CE2
CE2	CTS20001025.1300.1022-CE3
CE3	CTS20001025.1300.1022-CE4
CE4	CTS20001025.1300.1022-CE5
CE5	CTS20001025.1300.1022-CE6
CE6	CTS20001025.1300.1022-CE7
CE7	CTS20001025.1300.1022-CE8
CE8	CTS20001025.1300.1022-CE9
CE9	CTS20001025.1300.1022-CE10
E10	CTS20001025.1300.1022-E1
E1	CTS20001025.1300.1022-E2
E2	CTS20001025.1300.1022-E3
E3	CTS20001025.1300.1022-E4
E4	CTS20001025.1300.1022-E5
E5	CTS20001025.1300.1022-E6
E6	CTS20001025.1300.1022-E7
E7	CTS20001025.1300.1022-E8
E8	CTS20001025.1300.1022-E9
E9	CTS20001025.1300.1022-E10
EM1	CTS20001025.1300.1022-E2-1
EM10	CTS20001025.1300.1022-E1-2
EM17	CTS20001025.1300.1022-E10-3
EM2	CTS20001025.1300.1022-E3-4
EM3	CTS20001025.1300.1022-E4-5
EM4	CTS20001025.1300.1022-E5-6
EM5	CTS20001025.1300.1022-E6-7
EM6	CTS20001025.1300.1022-E3-8
EM7	CTS20001025.1300.1022-E3-9
EM8	CTS20001025.1300.1022-E2-10
EM9	CTS20001025.1300.1022-E3-11
EM11	CTS20001025.1300.1022-E7-12
EM12	CTS20001025.1300.1022-E8-13
EM13	CTS20001025.1300.1022-E9-14
EM14	CTS20001025.1300.1022-E5-15
EM15	CTS20001025.1300.1022-E10-16
R1	CTS20001025.1300.1022-R1
R2	CTS20001025.1300.1022-R2
R3	CTS20001025.1300.1022-R3
RM1	CTS20001025.1300.1022-R1-1
RM2	CTS20001025.1300.1022-R2-1
RM3	CTS20001025.1300.1022-R3-1
V1	CTS20001025.1300.1022-EV1
V2	CTS20001025.1300.1022-EV2
VM1	CTS20001025.1300.1022-EV1-1
VM2	CTS20001025.1300.1022-EV2-1
VM3	CTS20001025.1300.1022-EV1-2
Q5	CTS20001025.1300.1022-T1
Q6	CTS20001025.1300.1022-V1
Q7	CTS20001025.1300.1022-V2
Q1	CTS20001025.1300.1022-T2
Q2	CTS20001025.1300.1022-T3
Q3	CTS20001025.1300.1022-T4
Q4	CTS20001025.1300.1022-T5
QM6	CTS20001025.1300.1022-V1-1
QM7	CTS20001025.1300.1022-V2-1
