CE10	CTS20001006.1300.0413-CE1
CE11	CTS20001006.1300.0413-CE2
CE1	CTS20001006.1300.0413-CE3
CE2	CTS20001006.1300.0413-CE4
CE3	CTS20001006.1300.0413-CE5
CE4	CTS20001006.1300.0413-CE6
CE5	CTS20001006.1300.0413-CE7
CE6	CTS20001006.1300.0413-CE8
CE7	CTS20001006.1300.0413-CE9
CE8	CTS20001006.1300.0413-CE10
CE9	CTS20001006.1300.0413-CE11
E10	CTS20001006.1300.0413-E1
E11	CTS20001006.1300.0413-E2
E1	CTS20001006.1300.0413-E3
E2	CTS20001006.1300.0413-E4
E3	CTS20001006.1300.0413-E5
E4	CTS20001006.1300.0413-E6
E5	CTS20001006.1300.0413-E7
E6	CTS20001006.1300.0413-E8
E7	CTS20001006.1300.0413-E9
E8	CTS20001006.1300.0413-E10
E9	CTS20001006.1300.0413-E11
EM1	CTS20001006.1300.0413-E3-1
EM22	CTS20001006.1300.0413-E1-2
EM23	CTS20001006.1300.0413-E6-3
EM24	CTS20001006.1300.0413-E6-4
EM25	CTS20001006.1300.0413-E2-5
EM26	CTS20001006.1300.0413-E6-6
EM27	CTS20001006.1300.0413-E4-7
EM28	CTS20001006.1300.0413-E8-8
EM29	CTS20001006.1300.0413-E6-9
EM2	CTS20001006.1300.0413-E4-10
EM3	CTS20001006.1300.0413-E5-11
EM5	CTS20001006.1300.0413-E6-12
EM6	CTS20001006.1300.0413-E4-13
EM7	CTS20001006.1300.0413-E5-14
EM8	CTS20001006.1300.0413-E5-15
EM9	CTS20001006.1300.0413-E4-16
EM10	CTS20001006.1300.0413-E7-17
EM11	CTS20001006.1300.0413-E8-18
EM12	CTS20001006.1300.0413-E6-19
EM13	CTS20001006.1300.0413-E9-20
EM14	CTS20001006.1300.0413-E10-21
EM15	CTS20001006.1300.0413-E4-22
EM16	CTS20001006.1300.0413-E10-23
EM17	CTS20001006.1300.0413-E11-24
EM18	CTS20001006.1300.0413-E4-25
EM19	CTS20001006.1300.0413-E6-26
EM20	CTS20001006.1300.0413-E4-27
EM21	CTS20001006.1300.0413-E4-28
R1	CTS20001006.1300.0413-R1
R2	CTS20001006.1300.0413-R2
R3	CTS20001006.1300.0413-R3
R4	CTS20001006.1300.0413-R4
R5	CTS20001006.1300.0413-R5
R6	CTS20001006.1300.0413-R6
R7	CTS20001006.1300.0413-R7
R8	CTS20001006.1300.0413-R8
R9	CTS20001006.1300.0413-R9
R10	CTS20001006.1300.0413-R10
R11	CTS20001006.1300.0413-R11
R12	CTS20001006.1300.0413-R12
RM1	CTS20001006.1300.0413-R1-1
RM2	CTS20001006.1300.0413-R2-1
RM3	CTS20001006.1300.0413-R3-1
RM4	CTS20001006.1300.0413-R1-2
RM5	CTS20001006.1300.0413-R1-3
RM6	CTS20001006.1300.0413-R6-1
RM8	CTS20001006.1300.0413-R8-1
RM9	CTS20001006.1300.0413-R9-1
RM10	CTS20001006.1300.0413-R10-1
RM11	CTS20001006.1300.0413-R11-1
RM12	CTS20001006.1300.0413-R8-2
RM7	CTS20001006.1300.0413-R10-2
V1	CTS20001006.1300.0413-EV1
V2	CTS20001006.1300.0413-EV2
V3	CTS20001006.1300.0413-EV3
V4	CTS20001006.1300.0413-EV4
VM1	CTS20001006.1300.0413-EV1-1
VM2	CTS20001006.1300.0413-EV2-1
VM3	CTS20001006.1300.0413-EV1-2
VM4	CTS20001006.1300.0413-EV1-3
VM5	CTS20001006.1300.0413-EV1-4
VM6	CTS20001006.1300.0413-EV3-1
VM7	CTS20001006.1300.0413-EV1-5
VM8	CTS20001006.1300.0413-EV2-2
VM9	CTS20001006.1300.0413-EV4-1
VM10	CTS20001006.1300.0413-EV2-3
Q1	CTS20001006.1300.0413-T1
Q2	CTS20001006.1300.0413-T2
Q3	CTS20001006.1300.0413-T3
Q4	CTS20001006.1300.0413-T4
Q5	CTS20001006.1300.0413-T5
Q6	CTS20001006.1300.0413-T6
Q7	CTS20001006.1300.0413-T7
Q8	CTS20001006.1300.0413-T8
Q9	CTS20001006.1300.0413-T9
Q10	CTS20001006.1300.0413-T10
Q11	CTS20001006.1300.0413-T11
Q12	CTS20001006.1300.0413-T12
