CE12	CTV20001208.1330.0743-CE1
CE1	CTV20001208.1330.0743-CE2
CE2	CTV20001208.1330.0743-CE3
CE3	CTV20001208.1330.0743-CE4
CE4	CTV20001208.1330.0743-CE5
CE5	CTV20001208.1330.0743-CE6
CE6	CTV20001208.1330.0743-CE7
CE7	CTV20001208.1330.0743-CE8
CE8	CTV20001208.1330.0743-CE9
CE9	CTV20001208.1330.0743-CE10
CE10	CTV20001208.1330.0743-CE11
CE11	CTV20001208.1330.0743-CE12
E12	CTV20001208.1330.0743-E1
E1	CTV20001208.1330.0743-E2
E2	CTV20001208.1330.0743-E3
E3	CTV20001208.1330.0743-E4
E4	CTV20001208.1330.0743-E5
E5	CTV20001208.1330.0743-E6
E6	CTV20001208.1330.0743-E7
E7	CTV20001208.1330.0743-E8
E8	CTV20001208.1330.0743-E9
E9	CTV20001208.1330.0743-E10
E10	CTV20001208.1330.0743-E11
E11	CTV20001208.1330.0743-E12
EM1	CTV20001208.1330.0743-E2-1
EM3	CTV20001208.1330.0743-E3-2
EM4	CTV20001208.1330.0743-E4-3
EM5	CTV20001208.1330.0743-E5-4
EM6	CTV20001208.1330.0743-E6-5
EM7	CTV20001208.1330.0743-E7-6
EM8	CTV20001208.1330.0743-E7-7
EM9	CTV20001208.1330.0743-E8-8
EM10	CTV20001208.1330.0743-E2-9
EM11	CTV20001208.1330.0743-E3-10
EM12	CTV20001208.1330.0743-E9-11
EM13	CTV20001208.1330.0743-E10-12
EM14	CTV20001208.1330.0743-E11-13
EM15	CTV20001208.1330.0743-E7-14
EM16	CTV20001208.1330.0743-E12-15
EM17	CTV20001208.1330.0743-E7-16
EM18	CTV20001208.1330.0743-E1-17
R1	CTV20001208.1330.0743-R1
RM1	CTV20001208.1330.0743-R1-1
V1	CTV20001208.1330.0743-EV1
VM1	CTV20001208.1330.0743-EV1-1
Q1	CTV20001208.1330.0743-T1
Q2	CTV20001208.1330.0743-T2
Q3	CTV20001208.1330.0743-V1
Q4	CTV20001208.1330.0743-V2
Q5	CTV20001208.1330.0743-V3
Q6	CTV20001208.1330.0743-T3
Q7	CTV20001208.1330.0743-T4
Q8	CTV20001208.1330.0743-T5
Q9	CTV20001208.1330.0743-T6
QM3	CTV20001208.1330.0743-V1-1
QM4	CTV20001208.1330.0743-V2-1
QM5	CTV20001208.1330.0743-V3-1
