CE10	CBS20001103.1000.0823-CE1
CE11	CBS20001103.1000.0823-CE2
CE12	CBS20001103.1000.0823-CE3
CE13	CBS20001103.1000.0823-CE4
CE14	CBS20001103.1000.0823-CE5
CE15	CBS20001103.1000.0823-CE6
CE16	CBS20001103.1000.0823-CE7
CE1	CBS20001103.1000.0823-CE8
CE2	CBS20001103.1000.0823-CE9
CE3	CBS20001103.1000.0823-CE10
CE4	CBS20001103.1000.0823-CE11
CE5	CBS20001103.1000.0823-CE12
CE6	CBS20001103.1000.0823-CE13
CE7	CBS20001103.1000.0823-CE14
CE8	CBS20001103.1000.0823-CE15
CE9	CBS20001103.1000.0823-CE16
E12	CBS20001103.1000.0823-E1
E13	CBS20001103.1000.0823-E2
E14	CBS20001103.1000.0823-E3
E15	CBS20001103.1000.0823-E4
E16	CBS20001103.1000.0823-E5
E17	CBS20001103.1000.0823-E6
E18	CBS20001103.1000.0823-E7
E19	CBS20001103.1000.0823-E8
E20	CBS20001103.1000.0823-E9
E1	CBS20001103.1000.0823-E10
E2	CBS20001103.1000.0823-E11
E3	CBS20001103.1000.0823-E12
E4	CBS20001103.1000.0823-E13
E5	CBS20001103.1000.0823-E14
E6	CBS20001103.1000.0823-E15
E7	CBS20001103.1000.0823-E16
E8	CBS20001103.1000.0823-E17
E9	CBS20001103.1000.0823-E18
E10	CBS20001103.1000.0823-E19
E11	CBS20001103.1000.0823-E20
EM1	CBS20001103.1000.0823-E10-1
EM21	CBS20001103.1000.0823-E2-2
EM22	CBS20001103.1000.0823-E11-3
EM23	CBS20001103.1000.0823-E1-4
EM24	CBS20001103.1000.0823-E3-5
EM25	CBS20001103.1000.0823-E16-6
EM26	CBS20001103.1000.0823-E16-7
EM27	CBS20001103.1000.0823-E18-8
EM28	CBS20001103.1000.0823-E15-9
EM29	CBS20001103.1000.0823-E4-10
EM30	CBS20001103.1000.0823-E5-11
EM31	CBS20001103.1000.0823-E6-12
EM32	CBS20001103.1000.0823-E12-13
EM33	CBS20001103.1000.0823-E7-14
EM34	CBS20001103.1000.0823-E11-15
EM35	CBS20001103.1000.0823-E12-16
EM36	CBS20001103.1000.0823-E20-17
EM37	CBS20001103.1000.0823-E1-18
EM39	CBS20001103.1000.0823-E14-19
EM40	CBS20001103.1000.0823-E12-20
EM41	CBS20001103.1000.0823-E8-21
EM42	CBS20001103.1000.0823-E9-22
EM43	CBS20001103.1000.0823-E9-23
EM2	CBS20001103.1000.0823-E11-24
EM3	CBS20001103.1000.0823-E12-25
EM4	CBS20001103.1000.0823-E13-26
EM5	CBS20001103.1000.0823-E14-27
EM6	CBS20001103.1000.0823-E12-28
EM7	CBS20001103.1000.0823-E14-29
EM8	CBS20001103.1000.0823-E15-30
EM9	CBS20001103.1000.0823-E11-31
EM10	CBS20001103.1000.0823-E16-32
EM11	CBS20001103.1000.0823-E17-33
EM12	CBS20001103.1000.0823-E18-34
EM13	CBS20001103.1000.0823-E11-35
EM14	CBS20001103.1000.0823-E19-36
EM15	CBS20001103.1000.0823-E10-37
EM16	CBS20001103.1000.0823-E20-38
EM17	CBS20001103.1000.0823-E12-39
EM18	CBS20001103.1000.0823-E14-40
EM19	CBS20001103.1000.0823-E14-41
EM20	CBS20001103.1000.0823-E1-42
R1	CBS20001103.1000.0823-R1
R2	CBS20001103.1000.0823-R2
R3	CBS20001103.1000.0823-R3
R4	CBS20001103.1000.0823-R4
R5	CBS20001103.1000.0823-R5
R6	CBS20001103.1000.0823-R6
R7	CBS20001103.1000.0823-R7
R8	CBS20001103.1000.0823-R8
R9	CBS20001103.1000.0823-R9
R10	CBS20001103.1000.0823-R10
R11	CBS20001103.1000.0823-R11
R12	CBS20001103.1000.0823-R12
R13	CBS20001103.1000.0823-R13
R14	CBS20001103.1000.0823-R14
R15	CBS20001103.1000.0823-R15
RM1	CBS20001103.1000.0823-R1-1
RM2	CBS20001103.1000.0823-R2-1
RM3	CBS20001103.1000.0823-R3-1
RM4	CBS20001103.1000.0823-R4-1
RM5	CBS20001103.1000.0823-R5-1
RM6	CBS20001103.1000.0823-R6-1
RM7	CBS20001103.1000.0823-R7-1
RM8	CBS20001103.1000.0823-R8-1
RM9	CBS20001103.1000.0823-R4-2
RM10	CBS20001103.1000.0823-R4-3
RM11	CBS20001103.1000.0823-R11-1
RM12	CBS20001103.1000.0823-R12-1
RM13	CBS20001103.1000.0823-R13-1
RM14	CBS20001103.1000.0823-R14-1
RM15	CBS20001103.1000.0823-R15-1
V1	CBS20001103.1000.0823-EV1
V2	CBS20001103.1000.0823-EV2
V3	CBS20001103.1000.0823-EV3
VM1	CBS20001103.1000.0823-EV1-1
VM2	CBS20001103.1000.0823-EV2-1
VM3	CBS20001103.1000.0823-EV3-1
VM4	CBS20001103.1000.0823-EV1-2
Q1	CBS20001103.1000.0823-T1
Q2	CBS20001103.1000.0823-T2
Q3	CBS20001103.1000.0823-T3
Q4	CBS20001103.1000.0823-T4
Q5	CBS20001103.1000.0823-T5
Q6	CBS20001103.1000.0823-T6
Q7	CBS20001103.1000.0823-T7
