CE13	ENSANKHORDA_20041118.1417-CE1
CE14	ENSANKHORDA_20041118.1417-CE2
CE16	ENSANKHORDA_20041118.1417-CE3
CE17	ENSANKHORDA_20041118.1417-CE4
CE19	ENSANKHORDA_20041118.1417-CE5
CE20	ENSANKHORDA_20041118.1417-CE6
CE21	ENSANKHORDA_20041118.1417-CE7
CE22	ENSANKHORDA_20041118.1417-CE8
CE23	ENSANKHORDA_20041118.1417-CE9
CE24	ENSANKHORDA_20041118.1417-CE10
CE25	ENSANKHORDA_20041118.1417-CE11
CE26	ENSANKHORDA_20041118.1417-CE12
CE27	ENSANKHORDA_20041118.1417-CE13
CE28	ENSANKHORDA_20041118.1417-CE14
CE29	ENSANKHORDA_20041118.1417-CE15
CE30	ENSANKHORDA_20041118.1417-CE16
CE1	ENSANKHORDA_20041118.1417-CE17
CE3	ENSANKHORDA_20041118.1417-CE18
CE4	ENSANKHORDA_20041118.1417-CE19
CE6	ENSANKHORDA_20041118.1417-CE20
CE7	ENSANKHORDA_20041118.1417-CE21
CE8	ENSANKHORDA_20041118.1417-CE22
CE9	ENSANKHORDA_20041118.1417-CE23
CE10	ENSANKHORDA_20041118.1417-CE24
E15	ENSANKHORDA_20041118.1417-E1
E17	ENSANKHORDA_20041118.1417-E2
E19	ENSANKHORDA_20041118.1417-E3
E20	ENSANKHORDA_20041118.1417-E4
E21	ENSANKHORDA_20041118.1417-E5
E22	ENSANKHORDA_20041118.1417-E6
E24	ENSANKHORDA_20041118.1417-E7
E25	ENSANKHORDA_20041118.1417-E8
E26	ENSANKHORDA_20041118.1417-E9
E27	ENSANKHORDA_20041118.1417-E10
E28	ENSANKHORDA_20041118.1417-E11
E29	ENSANKHORDA_20041118.1417-E12
E1	ENSANKHORDA_20041118.1417-E13
E30	ENSANKHORDA_20041118.1417-E14
E31	ENSANKHORDA_20041118.1417-E15
E32	ENSANKHORDA_20041118.1417-E16
E33	ENSANKHORDA_20041118.1417-E17
E34	ENSANKHORDA_20041118.1417-E18
E35	ENSANKHORDA_20041118.1417-E19
E3	ENSANKHORDA_20041118.1417-E20
E4	ENSANKHORDA_20041118.1417-E21
E6	ENSANKHORDA_20041118.1417-E22
E7	ENSANKHORDA_20041118.1417-E23
E8	ENSANKHORDA_20041118.1417-E24
E9	ENSANKHORDA_20041118.1417-E25
E10	ENSANKHORDA_20041118.1417-E26
E11	ENSANKHORDA_20041118.1417-E27
EM1	ENSANKHORDA_20041118.1417-E13-1
EM19	ENSANKHORDA_20041118.1417-E22-2
EM20	ENSANKHORDA_20041118.1417-E5-3
EM25	ENSANKHORDA_20041118.1417-E1-4
EM26	ENSANKHORDA_20041118.1417-E1-5
EM27	ENSANKHORDA_20041118.1417-E2-6
EM29	ENSANKHORDA_20041118.1417-E3-7
EM30	ENSANKHORDA_20041118.1417-E4-8
EM31	ENSANKHORDA_20041118.1417-E3-9
EM32	ENSANKHORDA_20041118.1417-E1-10
EM33	ENSANKHORDA_20041118.1417-E1-11
EM34	ENSANKHORDA_20041118.1417-E1-12
EM35	ENSANKHORDA_20041118.1417-E5-13
EM36	ENSANKHORDA_20041118.1417-E6-14
EM37	ENSANKHORDA_20041118.1417-E5-15
EM39	ENSANKHORDA_20041118.1417-E5-16
EM40	ENSANKHORDA_20041118.1417-E7-17
EM41	ENSANKHORDA_20041118.1417-E7-18
EM42	ENSANKHORDA_20041118.1417-E7-19
EM43	ENSANKHORDA_20041118.1417-E8-20
EM44	ENSANKHORDA_20041118.1417-E5-21
EM45	ENSANKHORDA_20041118.1417-E5-22
EM46	ENSANKHORDA_20041118.1417-E8-23
EM47	ENSANKHORDA_20041118.1417-E5-24
EM48	ENSANKHORDA_20041118.1417-E9-25
EM49	ENSANKHORDA_20041118.1417-E9-26
EM53	ENSANKHORDA_20041118.1417-E1-27
EM54	ENSANKHORDA_20041118.1417-E1-28
EM55	ENSANKHORDA_20041118.1417-E1-29
EM56	ENSANKHORDA_20041118.1417-E21-30
EM57	ENSANKHORDA_20041118.1417-E10-31
EM58	ENSANKHORDA_20041118.1417-E5-32
EM59	ENSANKHORDA_20041118.1417-E11-33
EM60	ENSANKHORDA_20041118.1417-E5-34
EM61	ENSANKHORDA_20041118.1417-E12-35
EM62	ENSANKHORDA_20041118.1417-E12-36
EM63	ENSANKHORDA_20041118.1417-E25-37
EM64	ENSANKHORDA_20041118.1417-E14-38
EM65	ENSANKHORDA_20041118.1417-E13-39
EM69	ENSANKHORDA_20041118.1417-E21-40
EM70	ENSANKHORDA_20041118.1417-E5-41
EM71	ENSANKHORDA_20041118.1417-E15-42
EM72	ENSANKHORDA_20041118.1417-E16-43
EM73	ENSANKHORDA_20041118.1417-E17-44
EM74	ENSANKHORDA_20041118.1417-E18-45
EM75	ENSANKHORDA_20041118.1417-E18-46
EM76	ENSANKHORDA_20041118.1417-E7-47
EM77	ENSANKHORDA_20041118.1417-E5-48
EM78	ENSANKHORDA_20041118.1417-E5-49
EM79	ENSANKHORDA_20041118.1417-E19-50
EM2	ENSANKHORDA_20041118.1417-E13-51
EM3	ENSANKHORDA_20041118.1417-E5-52
EM81	ENSANKHORDA_20041118.1417-E5-53
EM4	ENSANKHORDA_20041118.1417-E5-54
EM5	ENSANKHORDA_20041118.1417-E5-55
EM6	ENSANKHORDA_20041118.1417-E20-56
EM7	ENSANKHORDA_20041118.1417-E21-57
EM15	ENSANKHORDA_20041118.1417-E26-58
EM10	ENSANKHORDA_20041118.1417-E21-59
EM11	ENSANKHORDA_20041118.1417-E5-60
EM12	ENSANKHORDA_20041118.1417-E22-61
EM13	ENSANKHORDA_20041118.1417-E23-62
EM14	ENSANKHORDA_20041118.1417-E24-63
EM16	ENSANKHORDA_20041118.1417-E27-64
EM17	ENSANKHORDA_20041118.1417-E25-65
EM18	ENSANKHORDA_20041118.1417-E5-66
R3	ENSANKHORDA_20041118.1417-R1
R5	ENSANKHORDA_20041118.1417-R2
R9	ENSANKHORDA_20041118.1417-R3
RM3	ENSANKHORDA_20041118.1417-R1-1
RM5	ENSANKHORDA_20041118.1417-R2-1
RM9	ENSANKHORDA_20041118.1417-R3-1
V37	ENSANKHORDA_20041118.1417-EV1
V18	ENSANKHORDA_20041118.1417-EV2
V26	ENSANKHORDA_20041118.1417-EV3
V27	ENSANKHORDA_20041118.1417-EV4
V28	ENSANKHORDA_20041118.1417-EV5
V29	ENSANKHORDA_20041118.1417-EV6
V32	ENSANKHORDA_20041118.1417-EV7
V33	ENSANKHORDA_20041118.1417-EV8
VM37	ENSANKHORDA_20041118.1417-EV1-1
VM17	ENSANKHORDA_20041118.1417-EV2-1
VM25	ENSANKHORDA_20041118.1417-EV3-1
VM26	ENSANKHORDA_20041118.1417-EV4-1
VM27	ENSANKHORDA_20041118.1417-EV5-1
VM28	ENSANKHORDA_20041118.1417-EV6-1
VM32	ENSANKHORDA_20041118.1417-EV7-1
VM33	ENSANKHORDA_20041118.1417-EV8-1
Q2	ENSANKHORDA_20041118.1417-T1
Q3	ENSANKHORDA_20041118.1417-T2
Q1	ENSANKHORDA_20041118.1417-T3
Q4	ENSANKHORDA_20041118.1417-T4
