CE10	EBREAZ_20041203.1056-CE1
CE11	EBREAZ_20041203.1056-CE2
CE12	EBREAZ_20041203.1056-CE3
CE13	EBREAZ_20041203.1056-CE4
CE14	EBREAZ_20041203.1056-CE5
CE15	EBREAZ_20041203.1056-CE6
CE16	EBREAZ_20041203.1056-CE7
CE17	EBREAZ_20041203.1056-CE8
CE18	EBREAZ_20041203.1056-CE9
CE19	EBREAZ_20041203.1056-CE10
CE20	EBREAZ_20041203.1056-CE11
CE21	EBREAZ_20041203.1056-CE12
CE22	EBREAZ_20041203.1056-CE13
CE24	EBREAZ_20041203.1056-CE14
CE25	EBREAZ_20041203.1056-CE15
CE26	EBREAZ_20041203.1056-CE16
CE27	EBREAZ_20041203.1056-CE17
CE1	EBREAZ_20041203.1056-CE18
CE28	EBREAZ_20041203.1056-CE19
CE29	EBREAZ_20041203.1056-CE20
CE30	EBREAZ_20041203.1056-CE21
CE31	EBREAZ_20041203.1056-CE22
CE32	EBREAZ_20041203.1056-CE23
CE33	EBREAZ_20041203.1056-CE24
CE34	EBREAZ_20041203.1056-CE25
CE35	EBREAZ_20041203.1056-CE26
CE38	EBREAZ_20041203.1056-CE27
CE36	EBREAZ_20041203.1056-CE28
CE2	EBREAZ_20041203.1056-CE29
CE4	EBREAZ_20041203.1056-CE30
CE5	EBREAZ_20041203.1056-CE31
CE6	EBREAZ_20041203.1056-CE32
CE7	EBREAZ_20041203.1056-CE33
CE8	EBREAZ_20041203.1056-CE34
CE9	EBREAZ_20041203.1056-CE35
E13	EBREAZ_20041203.1056-E1
E14	EBREAZ_20041203.1056-E2
E15	EBREAZ_20041203.1056-E3
E16	EBREAZ_20041203.1056-E4
E17	EBREAZ_20041203.1056-E5
E18	EBREAZ_20041203.1056-E6
E19	EBREAZ_20041203.1056-E7
E20	EBREAZ_20041203.1056-E8
E21	EBREAZ_20041203.1056-E9
E22	EBREAZ_20041203.1056-E10
E23	EBREAZ_20041203.1056-E11
E24	EBREAZ_20041203.1056-E12
E25	EBREAZ_20041203.1056-E13
E27	EBREAZ_20041203.1056-E14
E1	EBREAZ_20041203.1056-E15
E28	EBREAZ_20041203.1056-E16
E29	EBREAZ_20041203.1056-E17
E30	EBREAZ_20041203.1056-E18
E31	EBREAZ_20041203.1056-E19
E32	EBREAZ_20041203.1056-E20
E33	EBREAZ_20041203.1056-E21
E34	EBREAZ_20041203.1056-E22
E35	EBREAZ_20041203.1056-E23
E36	EBREAZ_20041203.1056-E24
E37	EBREAZ_20041203.1056-E25
E38	EBREAZ_20041203.1056-E26
E42	EBREAZ_20041203.1056-E27
E39	EBREAZ_20041203.1056-E28
E3	EBREAZ_20041203.1056-E29
E5	EBREAZ_20041203.1056-E30
E6	EBREAZ_20041203.1056-E31
E8	EBREAZ_20041203.1056-E32
E9	EBREAZ_20041203.1056-E33
E10	EBREAZ_20041203.1056-E34
E11	EBREAZ_20041203.1056-E35
E12	EBREAZ_20041203.1056-E36
EM1	EBREAZ_20041203.1056-E15-1
EM20	EBREAZ_20041203.1056-E13-2
EM21	EBREAZ_20041203.1056-E30-3
EM22	EBREAZ_20041203.1056-E13-4
EM23	EBREAZ_20041203.1056-E13-5
EM24	EBREAZ_20041203.1056-E1-6
EM25	EBREAZ_20041203.1056-E1-7
EM26	EBREAZ_20041203.1056-E2-8
EM27	EBREAZ_20041203.1056-E1-9
EM28	EBREAZ_20041203.1056-E3-10
EM29	EBREAZ_20041203.1056-E3-11
EM30	EBREAZ_20041203.1056-E3-12
EM31	EBREAZ_20041203.1056-E4-13
EM33	EBREAZ_20041203.1056-E15-14
EM34	EBREAZ_20041203.1056-E15-15
EM35	EBREAZ_20041203.1056-E15-16
EM36	EBREAZ_20041203.1056-E15-17
EM37	EBREAZ_20041203.1056-E15-18
EM38	EBREAZ_20041203.1056-E6-19
EM39	EBREAZ_20041203.1056-E7-20
EM40	EBREAZ_20041203.1056-E8-21
EM41	EBREAZ_20041203.1056-E9-22
EM42	EBREAZ_20041203.1056-E10-23
EM43	EBREAZ_20041203.1056-E5-24
EM44	EBREAZ_20041203.1056-E11-25
EM98	EBREAZ_20041203.1056-E5-26
EM46	EBREAZ_20041203.1056-E12-27
EM47	EBREAZ_20041203.1056-E12-28
EM48	EBREAZ_20041203.1056-E12-29
EM49	EBREAZ_20041203.1056-E5-30
EM50	EBREAZ_20041203.1056-E15-31
EM51	EBREAZ_20041203.1056-E15-32
EM99	EBREAZ_20041203.1056-E18-33
EM53	EBREAZ_20041203.1056-E13-34
EM176	EBREAZ_20041203.1056-E5-35
EM179	EBREAZ_20041203.1056-E5-36
EM56	EBREAZ_20041203.1056-E3-37
EM82	EBREAZ_20041203.1056-E5-38
EM58	EBREAZ_20041203.1056-E15-39
