CE8	EBREAZ_20041125.0450-CE1
CE9	EBREAZ_20041125.0450-CE2
CE10	EBREAZ_20041125.0450-CE3
CE11	EBREAZ_20041125.0450-CE4
CE12	EBREAZ_20041125.0450-CE5
CE13	EBREAZ_20041125.0450-CE6
CE14	EBREAZ_20041125.0450-CE7
CE15	EBREAZ_20041125.0450-CE8
CE16	EBREAZ_20041125.0450-CE9
CE17	EBREAZ_20041125.0450-CE10
CE18	EBREAZ_20041125.0450-CE11
CE20	EBREAZ_20041125.0450-CE12
CE21	EBREAZ_20041125.0450-CE13
CE22	EBREAZ_20041125.0450-CE14
CE23	EBREAZ_20041125.0450-CE15
CE1	EBREAZ_20041125.0450-CE16
CE2	EBREAZ_20041125.0450-CE17
CE3	EBREAZ_20041125.0450-CE18
CE4	EBREAZ_20041125.0450-CE19
CE6	EBREAZ_20041125.0450-CE20
CE7	EBREAZ_20041125.0450-CE21
E10	EBREAZ_20041125.0450-E1
E11	EBREAZ_20041125.0450-E2
E12	EBREAZ_20041125.0450-E3
E13	EBREAZ_20041125.0450-E4
E14	EBREAZ_20041125.0450-E5
E15	EBREAZ_20041125.0450-E6
E17	EBREAZ_20041125.0450-E7
E18	EBREAZ_20041125.0450-E8
E19	EBREAZ_20041125.0450-E9
E20	EBREAZ_20041125.0450-E10
E21	EBREAZ_20041125.0450-E11
E23	EBREAZ_20041125.0450-E12
E1	EBREAZ_20041125.0450-E13
E25	EBREAZ_20041125.0450-E14
E27	EBREAZ_20041125.0450-E15
E28	EBREAZ_20041125.0450-E16
E29	EBREAZ_20041125.0450-E17
E30	EBREAZ_20041125.0450-E18
E3	EBREAZ_20041125.0450-E19
E4	EBREAZ_20041125.0450-E20
E5	EBREAZ_20041125.0450-E21
E7	EBREAZ_20041125.0450-E22
E8	EBREAZ_20041125.0450-E23
E9	EBREAZ_20041125.0450-E24
EM1	EBREAZ_20041125.0450-E13-1
EM23	EBREAZ_20041125.0450-E21-2
EM24	EBREAZ_20041125.0450-E21-3
EM25	EBREAZ_20041125.0450-E1-4
EM26	EBREAZ_20041125.0450-E21-5
EM27	EBREAZ_20041125.0450-E21-6
EM28	EBREAZ_20041125.0450-E21-7
EM29	EBREAZ_20041125.0450-E2-8
EM30	EBREAZ_20041125.0450-E2-9
EM31	EBREAZ_20041125.0450-E2-10
EM32	EBREAZ_20041125.0450-E2-11
EM33	EBREAZ_20041125.0450-E2-12
EM34	EBREAZ_20041125.0450-E2-13
EM35	EBREAZ_20041125.0450-E21-14
EM36	EBREAZ_20041125.0450-E21-15
EM37	EBREAZ_20041125.0450-E21-16
EM38	EBREAZ_20041125.0450-E2-17
EM39	EBREAZ_20041125.0450-E21-18
EM40	EBREAZ_20041125.0450-E21-19
EM41	EBREAZ_20041125.0450-E21-20
EM43	EBREAZ_20041125.0450-E21-21
EM44	EBREAZ_20041125.0450-E3-22
EM45	EBREAZ_20041125.0450-E21-23
EM46	EBREAZ_20041125.0450-E21-24
EM47	EBREAZ_20041125.0450-E21-25
EM48	EBREAZ_20041125.0450-E4-26
EM49	EBREAZ_20041125.0450-E21-27
EM51	EBREAZ_20041125.0450-E21-28
EM52	EBREAZ_20041125.0450-E21-29
EM53	EBREAZ_20041125.0450-E21-30
EM54	EBREAZ_20041125.0450-E21-31
EM55	EBREAZ_20041125.0450-E5-32
