CE12	DIGRESSING_20050107.1751-CE1
CE13	DIGRESSING_20050107.1751-CE2
CE14	DIGRESSING_20050107.1751-CE3
CE15	DIGRESSING_20050107.1751-CE4
CE16	DIGRESSING_20050107.1751-CE5
CE17	DIGRESSING_20050107.1751-CE6
CE18	DIGRESSING_20050107.1751-CE7
CE19	DIGRESSING_20050107.1751-CE8
CE20	DIGRESSING_20050107.1751-CE9
CE21	DIGRESSING_20050107.1751-CE10
CE22	DIGRESSING_20050107.1751-CE11
CE23	DIGRESSING_20050107.1751-CE12
CE24	DIGRESSING_20050107.1751-CE13
CE65	DIGRESSING_20050107.1751-CE14
CE26	DIGRESSING_20050107.1751-CE15
CE27	DIGRESSING_20050107.1751-CE16
CE28	DIGRESSING_20050107.1751-CE17
CE29	DIGRESSING_20050107.1751-CE18
CE30	DIGRESSING_20050107.1751-CE19
CE1	DIGRESSING_20050107.1751-CE20
CE31	DIGRESSING_20050107.1751-CE21
CE32	DIGRESSING_20050107.1751-CE22
CE33	DIGRESSING_20050107.1751-CE23
CE34	DIGRESSING_20050107.1751-CE24
CE35	DIGRESSING_20050107.1751-CE25
CE36	DIGRESSING_20050107.1751-CE26
CE37	DIGRESSING_20050107.1751-CE27
CE38	DIGRESSING_20050107.1751-CE28
CE39	DIGRESSING_20050107.1751-CE29
CE40	DIGRESSING_20050107.1751-CE30
CE41	DIGRESSING_20050107.1751-CE31
CE42	DIGRESSING_20050107.1751-CE32
CE43	DIGRESSING_20050107.1751-CE33
CE44	DIGRESSING_20050107.1751-CE34
CE45	DIGRESSING_20050107.1751-CE35
CE46	DIGRESSING_20050107.1751-CE36
CE47	DIGRESSING_20050107.1751-CE37
CE48	DIGRESSING_20050107.1751-CE38
CE49	DIGRESSING_20050107.1751-CE39
CE50	DIGRESSING_20050107.1751-CE40
CE51	DIGRESSING_20050107.1751-CE41
CE52	DIGRESSING_20050107.1751-CE42
CE53	DIGRESSING_20050107.1751-CE43
CE54	DIGRESSING_20050107.1751-CE44
CE55	DIGRESSING_20050107.1751-CE45
CE56	DIGRESSING_20050107.1751-CE46
CE57	DIGRESSING_20050107.1751-CE47
CE58	DIGRESSING_20050107.1751-CE48
CE59	DIGRESSING_20050107.1751-CE49
CE60	DIGRESSING_20050107.1751-CE50
CE61	DIGRESSING_20050107.1751-CE51
CE62	DIGRESSING_20050107.1751-CE52
CE63	DIGRESSING_20050107.1751-CE53
CE2	DIGRESSING_20050107.1751-CE54
CE64	DIGRESSING_20050107.1751-CE55
CE3	DIGRESSING_20050107.1751-CE56
CE4	DIGRESSING_20050107.1751-CE57
CE5	DIGRESSING_20050107.1751-CE58
CE6	DIGRESSING_20050107.1751-CE59
CE7	DIGRESSING_20050107.1751-CE60
CE8	DIGRESSING_20050107.1751-CE61
CE9	DIGRESSING_20050107.1751-CE62
