CE10	ZAYEDALSAIDI_20050129.2053-CE1
CE11	ZAYEDALSAIDI_20050129.2053-CE2
CE12	ZAYEDALSAIDI_20050129.2053-CE3
CE13	ZAYEDALSAIDI_20050129.2053-CE4
CE14	ZAYEDALSAIDI_20050129.2053-CE5
CE15	ZAYEDALSAIDI_20050129.2053-CE6
CE16	ZAYEDALSAIDI_20050129.2053-CE7
CE17	ZAYEDALSAIDI_20050129.2053-CE8
CE18	ZAYEDALSAIDI_20050129.2053-CE9
CE19	ZAYEDALSAIDI_20050129.2053-CE10
CE21	ZAYEDALSAIDI_20050129.2053-CE11
CE22	ZAYEDALSAIDI_20050129.2053-CE12
CE23	ZAYEDALSAIDI_20050129.2053-CE13
CE24	ZAYEDALSAIDI_20050129.2053-CE14
CE1	ZAYEDALSAIDI_20050129.2053-CE15
CE2	ZAYEDALSAIDI_20050129.2053-CE16
CE3	ZAYEDALSAIDI_20050129.2053-CE17
CE4	ZAYEDALSAIDI_20050129.2053-CE18
CE6	ZAYEDALSAIDI_20050129.2053-CE19
CE7	ZAYEDALSAIDI_20050129.2053-CE20
CE8	ZAYEDALSAIDI_20050129.2053-CE21
CE9	ZAYEDALSAIDI_20050129.2053-CE22
E12	ZAYEDALSAIDI_20050129.2053-E1
E13	ZAYEDALSAIDI_20050129.2053-E2
E14	ZAYEDALSAIDI_20050129.2053-E3
E15	ZAYEDALSAIDI_20050129.2053-E4
E16	ZAYEDALSAIDI_20050129.2053-E5
E17	ZAYEDALSAIDI_20050129.2053-E6
E18	ZAYEDALSAIDI_20050129.2053-E7
E19	ZAYEDALSAIDI_20050129.2053-E8
E20	ZAYEDALSAIDI_20050129.2053-E9
E21	ZAYEDALSAIDI_20050129.2053-E10
E23	ZAYEDALSAIDI_20050129.2053-E11
E24	ZAYEDALSAIDI_20050129.2053-E12
E25	ZAYEDALSAIDI_20050129.2053-E13
E1	ZAYEDALSAIDI_20050129.2053-E14
E27	ZAYEDALSAIDI_20050129.2053-E15
E28	ZAYEDALSAIDI_20050129.2053-E16
E29	ZAYEDALSAIDI_20050129.2053-E17
E2	ZAYEDALSAIDI_20050129.2053-E18
E3	ZAYEDALSAIDI_20050129.2053-E19
E4	ZAYEDALSAIDI_20050129.2053-E20
E30	ZAYEDALSAIDI_20050129.2053-E21
E6	ZAYEDALSAIDI_20050129.2053-E22
E9	ZAYEDALSAIDI_20050129.2053-E23
E10	ZAYEDALSAIDI_20050129.2053-E24
E11	ZAYEDALSAIDI_20050129.2053-E25
EM1	ZAYEDALSAIDI_20050129.2053-E14-1
EM21	ZAYEDALSAIDI_20050129.2053-E1-2
EM22	ZAYEDALSAIDI_20050129.2053-E2-3
EM24	ZAYEDALSAIDI_20050129.2053-E2-4
EM25	ZAYEDALSAIDI_20050129.2053-E3-5
EM26	ZAYEDALSAIDI_20050129.2053-E3-6
EM28	ZAYEDALSAIDI_20050129.2053-E3-7
EM29	ZAYEDALSAIDI_20050129.2053-E3-8
EM30	ZAYEDALSAIDI_20050129.2053-E3-9
EM31	ZAYEDALSAIDI_20050129.2053-E3-10
EM32	ZAYEDALSAIDI_20050129.2053-E3-11
EM33	ZAYEDALSAIDI_20050129.2053-E4-12
EM34	ZAYEDALSAIDI_20050129.2053-E4-13
EM36	ZAYEDALSAIDI_20050129.2053-E5-14
EM37	ZAYEDALSAIDI_20050129.2053-E5-15
EM38	ZAYEDALSAIDI_20050129.2053-E5-16
EM39	ZAYEDALSAIDI_20050129.2053-E5-17
EM40	ZAYEDALSAIDI_20050129.2053-E5-18
EM42	ZAYEDALSAIDI_20050129.2053-E5-19
EM43	ZAYEDALSAIDI_20050129.2053-E6-20
EM44	ZAYEDALSAIDI_20050129.2053-E7-21
EM45	ZAYEDALSAIDI_20050129.2053-E8-22
EM46	ZAYEDALSAIDI_20050129.2053-E8-23
EM47	ZAYEDALSAIDI_20050129.2053-E9-24
EM48	ZAYEDALSAIDI_20050129.2053-E10-25
EM49	ZAYEDALSAIDI_20050129.2053-E10-26
EM50	ZAYEDALSAIDI_20050129.2053-E10-27
EM51	ZAYEDALSAIDI_20050129.2053-E8-28
EM52	ZAYEDALSAIDI_20050129.2053-E8-29
EM55	ZAYEDALSAIDI_20050129.2053-E11-30
EM56	ZAYEDALSAIDI_20050129.2053-E12-31
EM57	ZAYEDALSAIDI_20050129.2053-E13-32
EM58	ZAYEDALSAIDI_20050129.2053-E13-33
EM59	ZAYEDALSAIDI_20050129.2053-E2-34
EM60	ZAYEDALSAIDI_20050129.2053-E22-35
EM62	ZAYEDALSAIDI_20050129.2053-E22-36
EM63	ZAYEDALSAIDI_20050129.2053-E22-37
EM64	ZAYEDALSAIDI_20050129.2053-E13-38
EM61	ZAYEDALSAIDI_20050129.2053-E22-39
EM65	ZAYEDALSAIDI_20050129.2053-E2-40
EM66	ZAYEDALSAIDI_20050129.2053-E3-41
EM67	ZAYEDALSAIDI_20050129.2053-E3-42
EM68	ZAYEDALSAIDI_20050129.2053-E3-43
EM69	ZAYEDALSAIDI_20050129.2053-E3-44
EM70	ZAYEDALSAIDI_20050129.2053-E3-45
EM71	ZAYEDALSAIDI_20050129.2053-E13-46
EM73	ZAYEDALSAIDI_20050129.2053-E13-47
EM74	ZAYEDALSAIDI_20050129.2053-E13-48
EM75	ZAYEDALSAIDI_20050129.2053-E15-49
EM76	ZAYEDALSAIDI_20050129.2053-E13-50
EM77	ZAYEDALSAIDI_20050129.2053-E13-51
EM78	ZAYEDALSAIDI_20050129.2053-E13-52
EM10	ZAYEDALSAIDI_20050129.2053-E16-53
EM8	ZAYEDALSAIDI_20050129.2053-E17-54
EM80	ZAYEDALSAIDI_20050129.2053-E22-55
EM2	ZAYEDALSAIDI_20050129.2053-E18-56
EM3	ZAYEDALSAIDI_20050129.2053-E19-57
EM4	ZAYEDALSAIDI_20050129.2053-E18-58
EM5	ZAYEDALSAIDI_20050129.2053-E20-59
EM81	ZAYEDALSAIDI_20050129.2053-E21-60
EM82	ZAYEDALSAIDI_20050129.2053-E14-61
EM9	ZAYEDALSAIDI_20050129.2053-E22-62
EM11	ZAYEDALSAIDI_20050129.2053-E22-63
EM12	ZAYEDALSAIDI_20050129.2053-E22-64
EM13	ZAYEDALSAIDI_20050129.2053-E23-65
EM14	ZAYEDALSAIDI_20050129.2053-E23-66
EM15	ZAYEDALSAIDI_20050129.2053-E23-67
EM17	ZAYEDALSAIDI_20050129.2053-E23-68
EM18	ZAYEDALSAIDI_20050129.2053-E22-69
EM19	ZAYEDALSAIDI_20050129.2053-E24-70
EM20	ZAYEDALSAIDI_20050129.2053-E25-71
Q1	ZAYEDALSAIDI_20050129.2053-T1
Q2	ZAYEDALSAIDI_20050129.2053-T2
