CE9	ENSANKHORDA_20041104.1315-CE1
CE10	ENSANKHORDA_20041104.1315-CE2
CE14	ENSANKHORDA_20041104.1315-CE3
CE12	ENSANKHORDA_20041104.1315-CE4
CE13	ENSANKHORDA_20041104.1315-CE5
CE1	ENSANKHORDA_20041104.1315-CE6
CE2	ENSANKHORDA_20041104.1315-CE7
CE3	ENSANKHORDA_20041104.1315-CE8
CE4	ENSANKHORDA_20041104.1315-CE9
CE6	ENSANKHORDA_20041104.1315-CE10
CE7	ENSANKHORDA_20041104.1315-CE11
CE8	ENSANKHORDA_20041104.1315-CE12
E9	ENSANKHORDA_20041104.1315-E1
E10	ENSANKHORDA_20041104.1315-E2
E14	ENSANKHORDA_20041104.1315-E3
E12	ENSANKHORDA_20041104.1315-E4
E13	ENSANKHORDA_20041104.1315-E5
E1	ENSANKHORDA_20041104.1315-E6
E2	ENSANKHORDA_20041104.1315-E7
E3	ENSANKHORDA_20041104.1315-E8
E4	ENSANKHORDA_20041104.1315-E9
E6	ENSANKHORDA_20041104.1315-E10
E7	ENSANKHORDA_20041104.1315-E11
E8	ENSANKHORDA_20041104.1315-E12
EM61	ENSANKHORDA_20041104.1315-E6-1
EM25	ENSANKHORDA_20041104.1315-E1-2
EM26	ENSANKHORDA_20041104.1315-E1-3
EM27	ENSANKHORDA_20041104.1315-E2-4
EM28	ENSANKHORDA_20041104.1315-E2-5
EM29	ENSANKHORDA_20041104.1315-E2-6
EM30	ENSANKHORDA_20041104.1315-E2-7
EM31	ENSANKHORDA_20041104.1315-E2-8
EM64	ENSANKHORDA_20041104.1315-E6-9
EM33	ENSANKHORDA_20041104.1315-E6-10
EM65	ENSANKHORDA_20041104.1315-E6-11
EM34	ENSANKHORDA_20041104.1315-E10-12
EM66	ENSANKHORDA_20041104.1315-E10-13
EM36	ENSANKHORDA_20041104.1315-E10-14
EM37	ENSANKHORDA_20041104.1315-E10-15
EM38	ENSANKHORDA_20041104.1315-E4-16
EM39	ENSANKHORDA_20041104.1315-E4-17
EM40	ENSANKHORDA_20041104.1315-E4-18
EM42	ENSANKHORDA_20041104.1315-E4-19
EM43	ENSANKHORDA_20041104.1315-E6-20
EM44	ENSANKHORDA_20041104.1315-E4-21
EM46	ENSANKHORDA_20041104.1315-E11-22
EM47	ENSANKHORDA_20041104.1315-E11-23
EM48	ENSANKHORDA_20041104.1315-E11-24
EM49	ENSANKHORDA_20041104.1315-E7-25
EM50	ENSANKHORDA_20041104.1315-E7-26
EM52	ENSANKHORDA_20041104.1315-E11-27
EM53	ENSANKHORDA_20041104.1315-E5-28
EM54	ENSANKHORDA_20041104.1315-E5-29
EM55	ENSANKHORDA_20041104.1315-E11-30
EM56	ENSANKHORDA_20041104.1315-E10-31
EM58	ENSANKHORDA_20041104.1315-E11-32
EM59	ENSANKHORDA_20041104.1315-E6-33
EM60	ENSANKHORDA_20041104.1315-E10-34
EM62	ENSANKHORDA_20041104.1315-E10-35
EM3	ENSANKHORDA_20041104.1315-E6-36
EM4	ENSANKHORDA_20041104.1315-E6-37
EM5	ENSANKHORDA_20041104.1315-E6-38
EM6	ENSANKHORDA_20041104.1315-E7-39
EM7	ENSANKHORDA_20041104.1315-E7-40
EM8	ENSANKHORDA_20041104.1315-E8-41
EM9	ENSANKHORDA_20041104.1315-E8-42
EM10	ENSANKHORDA_20041104.1315-E6-43
EM11	ENSANKHORDA_20041104.1315-E6-44
EM12	ENSANKHORDA_20041104.1315-E9-45
EM13	ENSANKHORDA_20041104.1315-E9-46
EM67	ENSANKHORDA_20041104.1315-E11-47
EM63	ENSANKHORDA_20041104.1315-E3-48
EM16	ENSANKHORDA_20041104.1315-E10-49
EM17	ENSANKHORDA_20041104.1315-E10-50
EM18	ENSANKHORDA_20041104.1315-E11-51
EM19	ENSANKHORDA_20041104.1315-E11-52
EM20	ENSANKHORDA_20041104.1315-E6-53
EM21	ENSANKHORDA_20041104.1315-E6-54
EM22	ENSANKHORDA_20041104.1315-E12-55
EM23	ENSANKHORDA_20041104.1315-E12-56
EM24	ENSANKHORDA_20041104.1315-E1-57
R7	ENSANKHORDA_20041104.1315-R1
R8	ENSANKHORDA_20041104.1315-R2
R10	ENSANKHORDA_20041104.1315-R3
R3	ENSANKHORDA_20041104.1315-R4
R11	ENSANKHORDA_20041104.1315-R5
R12	ENSANKHORDA_20041104.1315-R6
RM7	ENSANKHORDA_20041104.1315-R1-1
RM8	ENSANKHORDA_20041104.1315-R2-1
RM10	ENSANKHORDA_20041104.1315-R3-1
RM11	ENSANKHORDA_20041104.1315-R1-2
RM3	ENSANKHORDA_20041104.1315-R4-1
RM12	ENSANKHORDA_20041104.1315-R3-2
Q1	ENSANKHORDA_20041104.1315-T1
Q2	ENSANKHORDA_20041104.1315-T2
