CE8	MISRDIGITAL_20050126.0079-CE1
CE9	MISRDIGITAL_20050126.0079-CE2
CE10	MISRDIGITAL_20050126.0079-CE3
CE11	MISRDIGITAL_20050126.0079-CE4
CE12	MISRDIGITAL_20050126.0079-CE5
CE13	MISRDIGITAL_20050126.0079-CE6
CE1	MISRDIGITAL_20050126.0079-CE7
CE2	MISRDIGITAL_20050126.0079-CE8
CE3	MISRDIGITAL_20050126.0079-CE9
CE4	MISRDIGITAL_20050126.0079-CE10
CE5	MISRDIGITAL_20050126.0079-CE11
CE6	MISRDIGITAL_20050126.0079-CE12
CE7	MISRDIGITAL_20050126.0079-CE13
E8	MISRDIGITAL_20050126.0079-E1
E9	MISRDIGITAL_20050126.0079-E2
E10	MISRDIGITAL_20050126.0079-E3
E11	MISRDIGITAL_20050126.0079-E4
E12	MISRDIGITAL_20050126.0079-E5
E13	MISRDIGITAL_20050126.0079-E6
E1	MISRDIGITAL_20050126.0079-E7
E2	MISRDIGITAL_20050126.0079-E8
E3	MISRDIGITAL_20050126.0079-E9
E4	MISRDIGITAL_20050126.0079-E10
E5	MISRDIGITAL_20050126.0079-E11
E6	MISRDIGITAL_20050126.0079-E12
E7	MISRDIGITAL_20050126.0079-E13
EM1	MISRDIGITAL_20050126.0079-E7-1
EM23	MISRDIGITAL_20050126.0079-E10-2
EM24	MISRDIGITAL_20050126.0079-E10-3
EM25	MISRDIGITAL_20050126.0079-E10-4
EM26	MISRDIGITAL_20050126.0079-E1-5
EM27	MISRDIGITAL_20050126.0079-E2-6
EM28	MISRDIGITAL_20050126.0079-E1-7
EM29	MISRDIGITAL_20050126.0079-E1-8
EM30	MISRDIGITAL_20050126.0079-E1-9
EM31	MISRDIGITAL_20050126.0079-E8-10
EM32	MISRDIGITAL_20050126.0079-E7-11
EM33	MISRDIGITAL_20050126.0079-E7-12
EM34	MISRDIGITAL_20050126.0079-E1-13
EM35	MISRDIGITAL_20050126.0079-E1-14
EM36	MISRDIGITAL_20050126.0079-E1-15
EM37	MISRDIGITAL_20050126.0079-E1-16
EM38	MISRDIGITAL_20050126.0079-E1-17
EM39	MISRDIGITAL_20050126.0079-E3-18
EM40	MISRDIGITAL_20050126.0079-E7-19
EM41	MISRDIGITAL_20050126.0079-E7-20
EM42	MISRDIGITAL_20050126.0079-E1-21
EM43	MISRDIGITAL_20050126.0079-E1-22
EM45	MISRDIGITAL_20050126.0079-E8-23
EM46	MISRDIGITAL_20050126.0079-E7-24
EM47	MISRDIGITAL_20050126.0079-E7-25
EM48	MISRDIGITAL_20050126.0079-E7-26
EM49	MISRDIGITAL_20050126.0079-E7-27
EM51	MISRDIGITAL_20050126.0079-E4-28
EM52	MISRDIGITAL_20050126.0079-E5-29
EM54	MISRDIGITAL_20050126.0079-E6-30
EM55	MISRDIGITAL_20050126.0079-E6-31
EM56	MISRDIGITAL_20050126.0079-E10-32
EM57	MISRDIGITAL_20050126.0079-E6-33
EM2	MISRDIGITAL_20050126.0079-E7-34
EM3	MISRDIGITAL_20050126.0079-E8-35
EM4	MISRDIGITAL_20050126.0079-E9-36
EM5	MISRDIGITAL_20050126.0079-E9-37
EM6	MISRDIGITAL_20050126.0079-E9-38
EM7	MISRDIGITAL_20050126.0079-E7-39
EM8	MISRDIGITAL_20050126.0079-E7-40
EM9	MISRDIGITAL_20050126.0079-E9-41
EM10	MISRDIGITAL_20050126.0079-E9-42
EM11	MISRDIGITAL_20050126.0079-E9-43
EM12	MISRDIGITAL_20050126.0079-E10-44
EM13	MISRDIGITAL_20050126.0079-E10-45
EM14	MISRDIGITAL_20050126.0079-E11-46
EM15	MISRDIGITAL_20050126.0079-E12-47
EM17	MISRDIGITAL_20050126.0079-E12-48
EM18	MISRDIGITAL_20050126.0079-E11-49
EM19	MISRDIGITAL_20050126.0079-E11-50
EM20	MISRDIGITAL_20050126.0079-E11-51
EM21	MISRDIGITAL_20050126.0079-E13-52
EM22	MISRDIGITAL_20050126.0079-E10-53
R7	MISRDIGITAL_20050126.0079-R1
RM7	MISRDIGITAL_20050126.0079-R1-1
V2	MISRDIGITAL_20050126.0079-EV1
V3	MISRDIGITAL_20050126.0079-EV2
VM2	MISRDIGITAL_20050126.0079-EV1-1
VM3	MISRDIGITAL_20050126.0079-EV2-1
Q2	MISRDIGITAL_20050126.0079-T1
Q3	MISRDIGITAL_20050126.0079-T2
Q4	MISRDIGITAL_20050126.0079-T3
Q5	MISRDIGITAL_20050126.0079-T4
