CE8	EBREAZ_20041212.0822-CE1
CE9	EBREAZ_20041212.0822-CE2
CE10	EBREAZ_20041212.0822-CE3
CE11	EBREAZ_20041212.0822-CE4
CE12	EBREAZ_20041212.0822-CE5
CE13	EBREAZ_20041212.0822-CE6
CE14	EBREAZ_20041212.0822-CE7
CE15	EBREAZ_20041212.0822-CE8
CE1	EBREAZ_20041212.0822-CE9
CE2	EBREAZ_20041212.0822-CE10
CE3	EBREAZ_20041212.0822-CE11
CE4	EBREAZ_20041212.0822-CE12
CE5	EBREAZ_20041212.0822-CE13
CE6	EBREAZ_20041212.0822-CE14
CE7	EBREAZ_20041212.0822-CE15
E9	EBREAZ_20041212.0822-E1
E10	EBREAZ_20041212.0822-E2
E11	EBREAZ_20041212.0822-E3
E12	EBREAZ_20041212.0822-E4
E13	EBREAZ_20041212.0822-E5
E14	EBREAZ_20041212.0822-E6
E15	EBREAZ_20041212.0822-E7
E16	EBREAZ_20041212.0822-E8
E1	EBREAZ_20041212.0822-E9
E2	EBREAZ_20041212.0822-E10
E3	EBREAZ_20041212.0822-E11
E4	EBREAZ_20041212.0822-E12
E5	EBREAZ_20041212.0822-E13
E6	EBREAZ_20041212.0822-E14
E7	EBREAZ_20041212.0822-E15
E8	EBREAZ_20041212.0822-E16
EM1	EBREAZ_20041212.0822-E9-1
EM23	EBREAZ_20041212.0822-E16-2
EM24	EBREAZ_20041212.0822-E16-3
EM25	EBREAZ_20041212.0822-E16-4
EM26	EBREAZ_20041212.0822-E16-5
EM27	EBREAZ_20041212.0822-E16-6
EM28	EBREAZ_20041212.0822-E16-7
EM29	EBREAZ_20041212.0822-E16-8
EM30	EBREAZ_20041212.0822-E16-9
EM31	EBREAZ_20041212.0822-E16-10
EM32	EBREAZ_20041212.0822-E16-11
EM33	EBREAZ_20041212.0822-E16-12
EM34	EBREAZ_20041212.0822-E16-13
EM35	EBREAZ_20041212.0822-E16-14
EM36	EBREAZ_20041212.0822-E16-15
EM37	EBREAZ_20041212.0822-E16-16
EM38	EBREAZ_20041212.0822-E16-17
EM39	EBREAZ_20041212.0822-E16-18
EM40	EBREAZ_20041212.0822-E1-19
EM41	EBREAZ_20041212.0822-E2-20
EM42	EBREAZ_20041212.0822-E2-21
EM43	EBREAZ_20041212.0822-E2-22
EM44	EBREAZ_20041212.0822-E2-23
EM45	EBREAZ_20041212.0822-E3-24
EM46	EBREAZ_20041212.0822-E3-25
EM47	EBREAZ_20041212.0822-E3-26
EM48	EBREAZ_20041212.0822-E3-27
EM49	EBREAZ_20041212.0822-E3-28
EM50	EBREAZ_20041212.0822-E16-29
EM51	EBREAZ_20041212.0822-E16-30
EM52	EBREAZ_20041212.0822-E4-31
EM53	EBREAZ_20041212.0822-E5-32
EM54	EBREAZ_20041212.0822-E16-33
EM55	EBREAZ_20041212.0822-E6-34
EM56	EBREAZ_20041212.0822-E7-35
EM57	EBREAZ_20041212.0822-E6-36
EM58	EBREAZ_20041212.0822-E6-37
EM59	EBREAZ_20041212.0822-E6-38
EM60	EBREAZ_20041212.0822-E8-39
EM61	EBREAZ_20041212.0822-E16-40
EM63	EBREAZ_20041212.0822-E11-41
EM64	EBREAZ_20041212.0822-E12-42
EM65	EBREAZ_20041212.0822-E11-43
EM2	EBREAZ_20041212.0822-E9-44
EM62	EBREAZ_20041212.0822-E10-45
EM4	EBREAZ_20041212.0822-E10-46
EM5	EBREAZ_20041212.0822-E10-47
EM7	EBREAZ_20041212.0822-E11-48
EM8	EBREAZ_20041212.0822-E9-49
EM9	EBREAZ_20041212.0822-E12-50
EM10	EBREAZ_20041212.0822-E12-51
EM11	EBREAZ_20041212.0822-E12-52
EM12	EBREAZ_20041212.0822-E12-53
EM13	EBREAZ_20041212.0822-E13-54
EM14	EBREAZ_20041212.0822-E12-55
EM15	EBREAZ_20041212.0822-E14-56
EM16	EBREAZ_20041212.0822-E14-57
EM17	EBREAZ_20041212.0822-E11-58
EM18	EBREAZ_20041212.0822-E11-59
EM19	EBREAZ_20041212.0822-E15-60
EM20	EBREAZ_20041212.0822-E16-61
EM21	EBREAZ_20041212.0822-E16-62
EM22	EBREAZ_20041212.0822-E16-63
Q1	EBREAZ_20041212.0822-T1
Q2	EBREAZ_20041212.0822-T2
