CE11	HADOUTA_20050111.0755-CE1
CE13	HADOUTA_20050111.0755-CE2
CE1	HADOUTA_20050111.0755-CE3
CE14	HADOUTA_20050111.0755-CE4
CE5	HADOUTA_20050111.0755-CE5
CE6	HADOUTA_20050111.0755-CE6
CE15	HADOUTA_20050111.0755-CE7
CE8	HADOUTA_20050111.0755-CE8
CE16	HADOUTA_20050111.0755-CE9
E11	HADOUTA_20050111.0755-E1
E13	HADOUTA_20050111.0755-E2
E1	HADOUTA_20050111.0755-E3
E14	HADOUTA_20050111.0755-E4
E15	HADOUTA_20050111.0755-E5
E5	HADOUTA_20050111.0755-E6
E6	HADOUTA_20050111.0755-E7
E8	HADOUTA_20050111.0755-E8
E16	HADOUTA_20050111.0755-E9
EM23	HADOUTA_20050111.0755-E7-1
EM24	HADOUTA_20050111.0755-E8-2
EM25	HADOUTA_20050111.0755-E7-3
EM26	HADOUTA_20050111.0755-E7-4
EM60	HADOUTA_20050111.0755-E5-5
EM61	HADOUTA_20050111.0755-E9-6
EM62	HADOUTA_20050111.0755-E4-7
EM30	HADOUTA_20050111.0755-E1-8
EM31	HADOUTA_20050111.0755-E7-9
EM32	HADOUTA_20050111.0755-E7-10
EM34	HADOUTA_20050111.0755-E7-11
EM35	HADOUTA_20050111.0755-E7-12
EM36	HADOUTA_20050111.0755-E7-13
EM37	HADOUTA_20050111.0755-E7-14
EM38	HADOUTA_20050111.0755-E7-15
EM39	HADOUTA_20050111.0755-E7-16
EM40	HADOUTA_20050111.0755-E7-17
EM41	HADOUTA_20050111.0755-E7-18
EM43	HADOUTA_20050111.0755-E2-19
EM44	HADOUTA_20050111.0755-E7-20
EM45	HADOUTA_20050111.0755-E7-21
EM46	HADOUTA_20050111.0755-E7-22
EM47	HADOUTA_20050111.0755-E3-23
EM48	HADOUTA_20050111.0755-E3-24
EM49	HADOUTA_20050111.0755-E3-25
EM50	HADOUTA_20050111.0755-E3-26
EM52	HADOUTA_20050111.0755-E8-27
EM33	HADOUTA_20050111.0755-E1-28
EM51	HADOUTA_20050111.0755-E1-29
EM1	HADOUTA_20050111.0755-E3-30
EM53	HADOUTA_20050111.0755-E3-31
EM54	HADOUTA_20050111.0755-E4-32
EM55	HADOUTA_20050111.0755-E4-33
EM56	HADOUTA_20050111.0755-E5-34
EM8	HADOUTA_20050111.0755-E6-35
EM9	HADOUTA_20050111.0755-E6-36
EM10	HADOUTA_20050111.0755-E7-37
EM11	HADOUTA_20050111.0755-E6-38
EM57	HADOUTA_20050111.0755-E5-39
EM58	HADOUTA_20050111.0755-E9-40
EM13	HADOUTA_20050111.0755-E7-41
EM14	HADOUTA_20050111.0755-E3-42
EM15	HADOUTA_20050111.0755-E7-43
EM16	HADOUTA_20050111.0755-E3-44
EM17	HADOUTA_20050111.0755-E7-45
EM18	HADOUTA_20050111.0755-E8-46
EM59	HADOUTA_20050111.0755-E5-47
EM21	HADOUTA_20050111.0755-E8-48
EM22	HADOUTA_20050111.0755-E8-49
R1	HADOUTA_20050111.0755-R1
RM1	HADOUTA_20050111.0755-R1-1
V1	HADOUTA_20050111.0755-EV1
V2	HADOUTA_20050111.0755-EV2
V3	HADOUTA_20050111.0755-EV3
V4	HADOUTA_20050111.0755-EV4
VM1	HADOUTA_20050111.0755-EV1-1
VM2	HADOUTA_20050111.0755-EV2-1
VM3	HADOUTA_20050111.0755-EV3-1
VM4	HADOUTA_20050111.0755-EV4-1
Q1	HADOUTA_20050111.0755-T1
Q4	HADOUTA_20050111.0755-T2
Q5	HADOUTA_20050111.0755-T3
Q6	HADOUTA_20050111.0755-T4
Q7	HADOUTA_20050111.0755-T5
