CE11	GLIMMERMAN_20050118.0339-CE1
CE12	GLIMMERMAN_20050118.0339-CE2
CE13	GLIMMERMAN_20050118.0339-CE3
CE14	GLIMMERMAN_20050118.0339-CE4
CE15	GLIMMERMAN_20050118.0339-CE5
CE16	GLIMMERMAN_20050118.0339-CE6
CE17	GLIMMERMAN_20050118.0339-CE7
CE18	GLIMMERMAN_20050118.0339-CE8
CE19	GLIMMERMAN_20050118.0339-CE9
CE20	GLIMMERMAN_20050118.0339-CE10
CE21	GLIMMERMAN_20050118.0339-CE11
CE1	GLIMMERMAN_20050118.0339-CE12
CE2	GLIMMERMAN_20050118.0339-CE13
CE3	GLIMMERMAN_20050118.0339-CE14
CE5	GLIMMERMAN_20050118.0339-CE15
CE6	GLIMMERMAN_20050118.0339-CE16
CE7	GLIMMERMAN_20050118.0339-CE17
CE8	GLIMMERMAN_20050118.0339-CE18
CE9	GLIMMERMAN_20050118.0339-CE19
CE10	GLIMMERMAN_20050118.0339-CE20
E13	GLIMMERMAN_20050118.0339-E1
E14	GLIMMERMAN_20050118.0339-E2
E15	GLIMMERMAN_20050118.0339-E3
E16	GLIMMERMAN_20050118.0339-E4
E17	GLIMMERMAN_20050118.0339-E5
E18	GLIMMERMAN_20050118.0339-E6
E19	GLIMMERMAN_20050118.0339-E7
E20	GLIMMERMAN_20050118.0339-E8
E21	GLIMMERMAN_20050118.0339-E9
E22	GLIMMERMAN_20050118.0339-E10
E23	GLIMMERMAN_20050118.0339-E11
E24	GLIMMERMAN_20050118.0339-E12
E25	GLIMMERMAN_20050118.0339-E13
E26	GLIMMERMAN_20050118.0339-E14
E27	GLIMMERMAN_20050118.0339-E15
E1	GLIMMERMAN_20050118.0339-E16
E2	GLIMMERMAN_20050118.0339-E17
E3	GLIMMERMAN_20050118.0339-E18
E5	GLIMMERMAN_20050118.0339-E19
E6	GLIMMERMAN_20050118.0339-E20
E7	GLIMMERMAN_20050118.0339-E21
E8	GLIMMERMAN_20050118.0339-E22
E9	GLIMMERMAN_20050118.0339-E23
E10	GLIMMERMAN_20050118.0339-E24
E11	GLIMMERMAN_20050118.0339-E25
E12	GLIMMERMAN_20050118.0339-E26
EM1	GLIMMERMAN_20050118.0339-E16-1
EM21	GLIMMERMAN_20050118.0339-E1-2
