CE8	EBREAZ_20041122.0146-CE1
CE9	EBREAZ_20041122.0146-CE2
CE10	EBREAZ_20041122.0146-CE3
CE11	EBREAZ_20041122.0146-CE4
CE12	EBREAZ_20041122.0146-CE5
CE13	EBREAZ_20041122.0146-CE6
CE1	EBREAZ_20041122.0146-CE7
CE2	EBREAZ_20041122.0146-CE8
CE3	EBREAZ_20041122.0146-CE9
CE4	EBREAZ_20041122.0146-CE10
CE5	EBREAZ_20041122.0146-CE11
CE6	EBREAZ_20041122.0146-CE12
CE7	EBREAZ_20041122.0146-CE13
E11	EBREAZ_20041122.0146-E1
E12	EBREAZ_20041122.0146-E2
E13	EBREAZ_20041122.0146-E3
E14	EBREAZ_20041122.0146-E4
E15	EBREAZ_20041122.0146-E5
E1	EBREAZ_20041122.0146-E6
E2	EBREAZ_20041122.0146-E7
E3	EBREAZ_20041122.0146-E8
E4	EBREAZ_20041122.0146-E9
E5	EBREAZ_20041122.0146-E10
E6	EBREAZ_20041122.0146-E11
E7	EBREAZ_20041122.0146-E12
E8	EBREAZ_20041122.0146-E13
E9	EBREAZ_20041122.0146-E14
E10	EBREAZ_20041122.0146-E15
EM1	EBREAZ_20041122.0146-E6-1
EM23	EBREAZ_20041122.0146-E14-2
EM24	EBREAZ_20041122.0146-E1-3
EM25	EBREAZ_20041122.0146-E14-4
EM26	EBREAZ_20041122.0146-E1-5
EM72	EBREAZ_20041122.0146-E6-6
EM28	EBREAZ_20041122.0146-E6-7
EM29	EBREAZ_20041122.0146-E6-8
EM30	EBREAZ_20041122.0146-E6-9
EM31	EBREAZ_20041122.0146-E2-10
EM32	EBREAZ_20041122.0146-E7-11
EM33	EBREAZ_20041122.0146-E3-12
EM34	EBREAZ_20041122.0146-E6-13
EM35	EBREAZ_20041122.0146-E2-14
EM36	EBREAZ_20041122.0146-E2-15
EM37	EBREAZ_20041122.0146-E4-16
EM38	EBREAZ_20041122.0146-E6-17
EM39	EBREAZ_20041122.0146-E10-18
EM40	EBREAZ_20041122.0146-E10-19
EM41	EBREAZ_20041122.0146-E10-20
EM42	EBREAZ_20041122.0146-E10-21
EM43	EBREAZ_20041122.0146-E6-22
EM44	EBREAZ_20041122.0146-E6-23
EM45	EBREAZ_20041122.0146-E10-24
EM46	EBREAZ_20041122.0146-E10-25
EM47	EBREAZ_20041122.0146-E10-26
EM48	EBREAZ_20041122.0146-E10-27
EM49	EBREAZ_20041122.0146-E10-28
EM51	EBREAZ_20041122.0146-E10-29
EM52	EBREAZ_20041122.0146-E8-30
EM53	EBREAZ_20041122.0146-E8-31
EM54	EBREAZ_20041122.0146-E10-32
EM55	EBREAZ_20041122.0146-E10-33
EM56	EBREAZ_20041122.0146-E10-34
EM57	EBREAZ_20041122.0146-E10-35
EM58	EBREAZ_20041122.0146-E5-36
EM59	EBREAZ_20041122.0146-E5-37
EM60	EBREAZ_20041122.0146-E5-38
EM61	EBREAZ_20041122.0146-E5-39
EM62	EBREAZ_20041122.0146-E5-40
EM63	EBREAZ_20041122.0146-E5-41
EM64	EBREAZ_20041122.0146-E5-42
EM65	EBREAZ_20041122.0146-E5-43
EM66	EBREAZ_20041122.0146-E5-44
EM67	EBREAZ_20041122.0146-E5-45
EM68	EBREAZ_20041122.0146-E5-46
EM69	EBREAZ_20041122.0146-E5-47
EM70	EBREAZ_20041122.0146-E5-48
EM71	EBREAZ_20041122.0146-E6-49
EM2	EBREAZ_20041122.0146-E7-50
EM3	EBREAZ_20041122.0146-E6-51
EM4	EBREAZ_20041122.0146-E8-52
EM5	EBREAZ_20041122.0146-E6-53
EM6	EBREAZ_20041122.0146-E9-54
EM7	EBREAZ_20041122.0146-E10-55
EM8	EBREAZ_20041122.0146-E10-56
EM9	EBREAZ_20041122.0146-E11-57
EM10	EBREAZ_20041122.0146-E10-58
EM11	EBREAZ_20041122.0146-E10-59
EM13	EBREAZ_20041122.0146-E10-60
EM14	EBREAZ_20041122.0146-E12-61
EM15	EBREAZ_20041122.0146-E12-62
EM16	EBREAZ_20041122.0146-E12-63
EM17	EBREAZ_20041122.0146-E13-64
EM18	EBREAZ_20041122.0146-E12-65
EM19	EBREAZ_20041122.0146-E10-66
EM20	EBREAZ_20041122.0146-E6-67
EM21	EBREAZ_20041122.0146-E14-68
EM22	EBREAZ_20041122.0146-E15-69
R1	EBREAZ_20041122.0146-R1
R2	EBREAZ_20041122.0146-R2
RM1	EBREAZ_20041122.0146-R1-1
RM2	EBREAZ_20041122.0146-R2-1
Q1	EBREAZ_20041122.0146-T1
Q2	EBREAZ_20041122.0146-T2
