CE43	MISRDIGITAL_20050216.0005-CE1
CE10	MISRDIGITAL_20050216.0005-CE2
CE11	MISRDIGITAL_20050216.0005-CE3
CE13	MISRDIGITAL_20050216.0005-CE4
CE15	MISRDIGITAL_20050216.0005-CE5
CE16	MISRDIGITAL_20050216.0005-CE6
CE44	MISRDIGITAL_20050216.0005-CE7
CE17	MISRDIGITAL_20050216.0005-CE8
CE19	MISRDIGITAL_20050216.0005-CE9
CE21	MISRDIGITAL_20050216.0005-CE10
CE45	MISRDIGITAL_20050216.0005-CE11
CE22	MISRDIGITAL_20050216.0005-CE12
CE23	MISRDIGITAL_20050216.0005-CE13
CE24	MISRDIGITAL_20050216.0005-CE14
CE25	MISRDIGITAL_20050216.0005-CE15
CE26	MISRDIGITAL_20050216.0005-CE16
CE27	MISRDIGITAL_20050216.0005-CE17
CE28	MISRDIGITAL_20050216.0005-CE18
CE29	MISRDIGITAL_20050216.0005-CE19
CE1	MISRDIGITAL_20050216.0005-CE20
CE30	MISRDIGITAL_20050216.0005-CE21
CE46	MISRDIGITAL_20050216.0005-CE22
CE47	MISRDIGITAL_20050216.0005-CE23
CE31	MISRDIGITAL_20050216.0005-CE24
CE32	MISRDIGITAL_20050216.0005-CE25
CE33	MISRDIGITAL_20050216.0005-CE26
CE34	MISRDIGITAL_20050216.0005-CE27
CE35	MISRDIGITAL_20050216.0005-CE28
CE48	MISRDIGITAL_20050216.0005-CE29
CE36	MISRDIGITAL_20050216.0005-CE30
CE37	MISRDIGITAL_20050216.0005-CE31
CE38	MISRDIGITAL_20050216.0005-CE32
CE39	MISRDIGITAL_20050216.0005-CE33
CE41	MISRDIGITAL_20050216.0005-CE34
CE42	MISRDIGITAL_20050216.0005-CE35
CE49	MISRDIGITAL_20050216.0005-CE36
CE51	MISRDIGITAL_20050216.0005-CE37
CE52	MISRDIGITAL_20050216.0005-CE38
CE53	MISRDIGITAL_20050216.0005-CE39
CE54	MISRDIGITAL_20050216.0005-CE40
CE55	MISRDIGITAL_20050216.0005-CE41
CE56	MISRDIGITAL_20050216.0005-CE42
CE57	MISRDIGITAL_20050216.0005-CE43
CE2	MISRDIGITAL_20050216.0005-CE44
CE3	MISRDIGITAL_20050216.0005-CE45
CE4	MISRDIGITAL_20050216.0005-CE46
CE5	MISRDIGITAL_20050216.0005-CE47
CE7	MISRDIGITAL_20050216.0005-CE48
CE8	MISRDIGITAL_20050216.0005-CE49
