CE9	HADOUTA_20041215.0106-CE1
CE10	HADOUTA_20041215.0106-CE2
CE1	HADOUTA_20041215.0106-CE3
CE2	HADOUTA_20041215.0106-CE4
CE5	HADOUTA_20041215.0106-CE5
CE6	HADOUTA_20041215.0106-CE6
CE7	HADOUTA_20041215.0106-CE7
E9	HADOUTA_20041215.0106-E1
E10	HADOUTA_20041215.0106-E2
E1	HADOUTA_20041215.0106-E3
E2	HADOUTA_20041215.0106-E4
E5	HADOUTA_20041215.0106-E5
E6	HADOUTA_20041215.0106-E6
E7	HADOUTA_20041215.0106-E7
EM23	HADOUTA_20041215.0106-E7-1
EM26	HADOUTA_20041215.0106-E4-2
EM28	HADOUTA_20041215.0106-E1-3
EM29	HADOUTA_20041215.0106-E1-4
EM30	HADOUTA_20041215.0106-E1-5
EM31	HADOUTA_20041215.0106-E4-6
EM32	HADOUTA_20041215.0106-E2-7
EM33	HADOUTA_20041215.0106-E2-8
EM34	HADOUTA_20041215.0106-E2-9
EM35	HADOUTA_20041215.0106-E2-10
EM24	HADOUTA_20041215.0106-E2-11
EM39	HADOUTA_20041215.0106-E2-12
EM1	HADOUTA_20041215.0106-E3-13
EM2	HADOUTA_20041215.0106-E3-14
EM3	HADOUTA_20041215.0106-E4-15
EM36	HADOUTA_20041215.0106-E3-16
EM37	HADOUTA_20041215.0106-E5-17
EM38	HADOUTA_20041215.0106-E3-18
EM6	HADOUTA_20041215.0106-E3-19
EM7	HADOUTA_20041215.0106-E3-20
EM8	HADOUTA_20041215.0106-E5-21
EM9	HADOUTA_20041215.0106-E5-22
EM10	HADOUTA_20041215.0106-E3-23
EM11	HADOUTA_20041215.0106-E3-24
EM12	HADOUTA_20041215.0106-E3-25
EM13	HADOUTA_20041215.0106-E6-26
EM14	HADOUTA_20041215.0106-E6-27
EM15	HADOUTA_20041215.0106-E3-28
EM16	HADOUTA_20041215.0106-E6-29
EM17	HADOUTA_20041215.0106-E7-30
EM18	HADOUTA_20041215.0106-E7-31
EM19	HADOUTA_20041215.0106-E7-32
EM20	HADOUTA_20041215.0106-E7-33
EM21	HADOUTA_20041215.0106-E7-34
EM22	HADOUTA_20041215.0106-E7-35
V1	HADOUTA_20041215.0106-EV1
VM1	HADOUTA_20041215.0106-EV1-1
Q2	HADOUTA_20041215.0106-T1
Q1	HADOUTA_20041215.0106-T2
