CE3	BANYADAM_20050225.0158-CE1
CE4	BANYADAM_20050225.0158-CE2
CE5	BANYADAM_20050225.0158-CE3
CE1	BANYADAM_20050225.0158-CE4
CE2	BANYADAM_20050225.0158-CE5
E4	BANYADAM_20050225.0158-E1
E5	BANYADAM_20050225.0158-E2
E1	BANYADAM_20050225.0158-E3
E2	BANYADAM_20050225.0158-E4
E3	BANYADAM_20050225.0158-E5
EM1	BANYADAM_20050225.0158-E3-1
EM28	BANYADAM_20050225.0158-E1-2
EM29	BANYADAM_20050225.0158-E2-3
EM2	BANYADAM_20050225.0158-E3-4
EM3	BANYADAM_20050225.0158-E4-5
EM4	BANYADAM_20050225.0158-E4-6
EM5	BANYADAM_20050225.0158-E3-7
EM6	BANYADAM_20050225.0158-E3-8
EM7	BANYADAM_20050225.0158-E3-9
EM8	BANYADAM_20050225.0158-E3-10
EM9	BANYADAM_20050225.0158-E4-11
EM10	BANYADAM_20050225.0158-E3-12
EM11	BANYADAM_20050225.0158-E3-13
EM12	BANYADAM_20050225.0158-E3-14
EM13	BANYADAM_20050225.0158-E3-15
EM14	BANYADAM_20050225.0158-E3-16
EM15	BANYADAM_20050225.0158-E3-17
EM16	BANYADAM_20050225.0158-E3-18
EM17	BANYADAM_20050225.0158-E4-19
EM18	BANYADAM_20050225.0158-E4-20
EM19	BANYADAM_20050225.0158-E4-21
EM20	BANYADAM_20050225.0158-E3-22
EM21	BANYADAM_20050225.0158-E3-23
EM22	BANYADAM_20050225.0158-E4-24
EM23	BANYADAM_20050225.0158-E4-25
EM24	BANYADAM_20050225.0158-E3-26
EM25	BANYADAM_20050225.0158-E4-27
EM26	BANYADAM_20050225.0158-E4-28
EM27	BANYADAM_20050225.0158-E5-29
Q1	BANYADAM_20050225.0158-T1
Q2	BANYADAM_20050225.0158-T2
