CE4	MELEGY_20050220.1954-CE1
CE15	MELEGY_20050220.1954-CE2
CE5	MELEGY_20050220.1954-CE3
CE6	MELEGY_20050220.1954-CE4
CE7	MELEGY_20050220.1954-CE5
CE8	MELEGY_20050220.1954-CE6
CE9	MELEGY_20050220.1954-CE7
CE10	MELEGY_20050220.1954-CE8
CE11	MELEGY_20050220.1954-CE9
CE12	MELEGY_20050220.1954-CE10
CE13	MELEGY_20050220.1954-CE11
CE14	MELEGY_20050220.1954-CE12
CE16	MELEGY_20050220.1954-CE13
CE1	MELEGY_20050220.1954-CE14
CE17	MELEGY_20050220.1954-CE15
CE18	MELEGY_20050220.1954-CE16
CE19	MELEGY_20050220.1954-CE17
CE21	MELEGY_20050220.1954-CE18
CE22	MELEGY_20050220.1954-CE19
CE24	MELEGY_20050220.1954-CE20
CE25	MELEGY_20050220.1954-CE21
CE26	MELEGY_20050220.1954-CE22
CE2	MELEGY_20050220.1954-CE23
CE3	MELEGY_20050220.1954-CE24
E4	MELEGY_20050220.1954-E1
E5	MELEGY_20050220.1954-E2
E6	MELEGY_20050220.1954-E3
E7	MELEGY_20050220.1954-E4
E8	MELEGY_20050220.1954-E5
E9	MELEGY_20050220.1954-E6
E10	MELEGY_20050220.1954-E7
E11	MELEGY_20050220.1954-E8
E12	MELEGY_20050220.1954-E9
E13	MELEGY_20050220.1954-E10
E1	MELEGY_20050220.1954-E11
E14	MELEGY_20050220.1954-E12
E15	MELEGY_20050220.1954-E13
E16	MELEGY_20050220.1954-E14
E17	MELEGY_20050220.1954-E15
E19	MELEGY_20050220.1954-E16
E20	MELEGY_20050220.1954-E17
E21	MELEGY_20050220.1954-E18
E22	MELEGY_20050220.1954-E19
E23	MELEGY_20050220.1954-E20
E24	MELEGY_20050220.1954-E21
E26	MELEGY_20050220.1954-E22
E27	MELEGY_20050220.1954-E23
E29	MELEGY_20050220.1954-E24
E30	MELEGY_20050220.1954-E25
E31	MELEGY_20050220.1954-E26
E32	MELEGY_20050220.1954-E27
E2	MELEGY_20050220.1954-E28
E3	MELEGY_20050220.1954-E29
E18	MELEGY_20050220.1954-E30
EM1	MELEGY_20050220.1954-E11-1
EM30	MELEGY_20050220.1954-E29-2
EM31	MELEGY_20050220.1954-E1-3
EM32	MELEGY_20050220.1954-E29-4
EM33	MELEGY_20050220.1954-E29-5
EM34	MELEGY_20050220.1954-E11-6
EM36	MELEGY_20050220.1954-E11-7
EM96	MELEGY_20050220.1954-E30-8
EM38	MELEGY_20050220.1954-E11-9
EM39	MELEGY_20050220.1954-E11-10
EM40	MELEGY_20050220.1954-E2-11
EM41	MELEGY_20050220.1954-E3-12
EM42	MELEGY_20050220.1954-E11-13
EM43	MELEGY_20050220.1954-E11-14
EM44	MELEGY_20050220.1954-E11-15
EM45	MELEGY_20050220.1954-E11-16
EM46	MELEGY_20050220.1954-E11-17
EM47	MELEGY_20050220.1954-E11-18
EM48	MELEGY_20050220.1954-E4-19
EM49	MELEGY_20050220.1954-E4-20
EM50	MELEGY_20050220.1954-E4-21
EM51	MELEGY_20050220.1954-E4-22
EM52	MELEGY_20050220.1954-E4-23
EM53	MELEGY_20050220.1954-E5-24
EM54	MELEGY_20050220.1954-E6-25
EM55	MELEGY_20050220.1954-E4-26
EM56	MELEGY_20050220.1954-E7-27
EM57	MELEGY_20050220.1954-E3-28
EM58	MELEGY_20050220.1954-E11-29
EM59	MELEGY_20050220.1954-E11-30
EM60	MELEGY_20050220.1954-E11-31
EM61	MELEGY_20050220.1954-E11-32
EM62	MELEGY_20050220.1954-E11-33
EM63	MELEGY_20050220.1954-E11-34
EM64	MELEGY_20050220.1954-E11-35
EM65	MELEGY_20050220.1954-E11-36
EM66	MELEGY_20050220.1954-E8-37
EM67	MELEGY_20050220.1954-E11-38
EM68	MELEGY_20050220.1954-E10-39
EM69	MELEGY_20050220.1954-E9-40
EM70	MELEGY_20050220.1954-E9-41
EM71	MELEGY_20050220.1954-E9-42
EM72	MELEGY_20050220.1954-E9-43
EM73	MELEGY_20050220.1954-E9-44
EM74	MELEGY_20050220.1954-E9-45
EM76	MELEGY_20050220.1954-E9-46
EM77	MELEGY_20050220.1954-E9-47
EM78	MELEGY_20050220.1954-E9-48
EM79	MELEGY_20050220.1954-E9-49
EM80	MELEGY_20050220.1954-E9-50
EM81	MELEGY_20050220.1954-E9-51
EM82	MELEGY_20050220.1954-E9-52
EM83	MELEGY_20050220.1954-E12-53
EM84	MELEGY_20050220.1954-E13-54
EM85	MELEGY_20050220.1954-E13-55
EM86	MELEGY_20050220.1954-E11-56
EM87	MELEGY_20050220.1954-E11-57
EM88	MELEGY_20050220.1954-E11-58
EM89	MELEGY_20050220.1954-E11-59
EM90	MELEGY_20050220.1954-E14-60
EM91	MELEGY_20050220.1954-E11-61
EM92	MELEGY_20050220.1954-E15-62
EM93	MELEGY_20050220.1954-E13-63
EM97	MELEGY_20050220.1954-E30-64
EM98	MELEGY_20050220.1954-E30-65
EM99	MELEGY_20050220.1954-E17-66
EM100	MELEGY_20050220.1954-E16-67
EM101	MELEGY_20050220.1954-E11-68
EM102	MELEGY_20050220.1954-E18-69
EM103	MELEGY_20050220.1954-E16-70
EM104	MELEGY_20050220.1954-E11-71
EM105	MELEGY_20050220.1954-E11-72
EM106	MELEGY_20050220.1954-E16-73
EM107	MELEGY_20050220.1954-E16-74
EM108	MELEGY_20050220.1954-E16-75
EM109	MELEGY_20050220.1954-E19-76
EM110	MELEGY_20050220.1954-E20-77
EM111	MELEGY_20050220.1954-E16-78
EM112	MELEGY_20050220.1954-E11-79
EM113	MELEGY_20050220.1954-E11-80
EM138	MELEGY_20050220.1954-E11-81
EM115	MELEGY_20050220.1954-E21-82
EM116	MELEGY_20050220.1954-E3-83
EM117	MELEGY_20050220.1954-E22-84
EM119	MELEGY_20050220.1954-E23-85
EM121	MELEGY_20050220.1954-E24-86
EM122	MELEGY_20050220.1954-E24-87
EM124	MELEGY_20050220.1954-E23-88
EM125	MELEGY_20050220.1954-E23-89
EM126	MELEGY_20050220.1954-E22-90
EM127	MELEGY_20050220.1954-E25-91
EM128	MELEGY_20050220.1954-E22-92
EM129	MELEGY_20050220.1954-E22-93
EM130	MELEGY_20050220.1954-E22-94
EM131	MELEGY_20050220.1954-E9-95
EM94	MELEGY_20050220.1954-E13-96
EM132	MELEGY_20050220.1954-E22-97
EM133	MELEGY_20050220.1954-E22-98
EM134	MELEGY_20050220.1954-E22-99
EM135	MELEGY_20050220.1954-E26-100
EM136	MELEGY_20050220.1954-E11-101
EM3	MELEGY_20050220.1954-E11-102
EM137	MELEGY_20050220.1954-E27-103
EM4	MELEGY_20050220.1954-E11-104
EM6	MELEGY_20050220.1954-E11-105
EM7	MELEGY_20050220.1954-E11-106
EM8	MELEGY_20050220.1954-E11-107
EM9	MELEGY_20050220.1954-E28-108
EM10	MELEGY_20050220.1954-E11-109
EM95	MELEGY_20050220.1954-E30-110
EM12	MELEGY_20050220.1954-E11-111
EM13	MELEGY_20050220.1954-E11-112
EM14	MELEGY_20050220.1954-E11-113
EM15	MELEGY_20050220.1954-E11-114
EM16	MELEGY_20050220.1954-E11-115
EM17	MELEGY_20050220.1954-E11-116
EM19	MELEGY_20050220.1954-E11-117
EM20	MELEGY_20050220.1954-E29-118
EM21	MELEGY_20050220.1954-E29-119
EM22	MELEGY_20050220.1954-E29-120
EM23	MELEGY_20050220.1954-E11-121
EM24	MELEGY_20050220.1954-E29-122
EM25	MELEGY_20050220.1954-E29-123
EM26	MELEGY_20050220.1954-E11-124
EM27	MELEGY_20050220.1954-E29-125
EM29	MELEGY_20050220.1954-E29-126
R1	MELEGY_20050220.1954-R1
R2	MELEGY_20050220.1954-R2
RM1	MELEGY_20050220.1954-R1-1
