CE15	MISRDIGITAL_20041219.0000-CE1
CE16	MISRDIGITAL_20041219.0000-CE2
CE17	MISRDIGITAL_20041219.0000-CE3
CE18	MISRDIGITAL_20041219.0000-CE4
CE19	MISRDIGITAL_20041219.0000-CE5
CE20	MISRDIGITAL_20041219.0000-CE6
CE21	MISRDIGITAL_20041219.0000-CE7
CE22	MISRDIGITAL_20041219.0000-CE8
CE23	MISRDIGITAL_20041219.0000-CE9
CE25	MISRDIGITAL_20041219.0000-CE10
CE26	MISRDIGITAL_20041219.0000-CE11
CE27	MISRDIGITAL_20041219.0000-CE12
CE28	MISRDIGITAL_20041219.0000-CE13
CE30	MISRDIGITAL_20041219.0000-CE14
CE31	MISRDIGITAL_20041219.0000-CE15
CE32	MISRDIGITAL_20041219.0000-CE16
CE33	MISRDIGITAL_20041219.0000-CE17
CE35	MISRDIGITAL_20041219.0000-CE18
CE1	MISRDIGITAL_20041219.0000-CE19
CE36	MISRDIGITAL_20041219.0000-CE20
CE37	MISRDIGITAL_20041219.0000-CE21
CE38	MISRDIGITAL_20041219.0000-CE22
CE39	MISRDIGITAL_20041219.0000-CE23
CE40	MISRDIGITAL_20041219.0000-CE24
CE41	MISRDIGITAL_20041219.0000-CE25
CE42	MISRDIGITAL_20041219.0000-CE26
CE43	MISRDIGITAL_20041219.0000-CE27
CE44	MISRDIGITAL_20041219.0000-CE28
CE45	MISRDIGITAL_20041219.0000-CE29
CE46	MISRDIGITAL_20041219.0000-CE30
CE47	MISRDIGITAL_20041219.0000-CE31
CE48	MISRDIGITAL_20041219.0000-CE32
CE49	MISRDIGITAL_20041219.0000-CE33
CE50	MISRDIGITAL_20041219.0000-CE34
CE51	MISRDIGITAL_20041219.0000-CE35
CE52	MISRDIGITAL_20041219.0000-CE36
CE53	MISRDIGITAL_20041219.0000-CE37
CE54	MISRDIGITAL_20041219.0000-CE38
CE55	MISRDIGITAL_20041219.0000-CE39
CE2	MISRDIGITAL_20041219.0000-CE40
CE3	MISRDIGITAL_20041219.0000-CE41
CE4	MISRDIGITAL_20041219.0000-CE42
CE5	MISRDIGITAL_20041219.0000-CE43
CE6	MISRDIGITAL_20041219.0000-CE44
CE7	MISRDIGITAL_20041219.0000-CE45
